"Week","SNFG","Reference","Product","Sediaan","Unit of Measure","Scheduled Start Date","Scheduled Finished Date","State","Manufacturing Order","Manufacturing Order/Finished Product/Lot/Serial Number"
"3","HC-NS-W170ML/I0003","MO-HC-NS-BULK/I0003","[HC-NS-BULK] Nutri Shine Conditioner","L","kg","2023-01-20","2023-01-23","Done","MO/230002514","AJ21A"
"3","FW-RPBCFLS100-W/I0004","MO-FW-RPBCFLS-BULK/I0004","[FW-RPBCFLS-BULK] Wardah Perfect Bright Creamy Foam Bright + Smooth Glow","L","kg","2023-01-16","2023-02-01","Done","MO/230002538","AJ23A"
"3","SRM-PB-W/I0002","MO-SRM-PB-BULK/I0002","[SRM-PB-BULK] Wardah Perfect Bright SuperGlow Berry Serum","L","kg","2023-01-18","2023-01-23","Done","MO/230003355","AJ18A"
"3","2PR--MO100ML/I0001","MO-2PR-A-BULK/I0001","[2PR-A-BULK] MAKE OVER Make Up Remover Fase A Bulk","L","kg","2023-01-16","2023-01-17","Done","MO/230002276","AJ16A"
"3","2PR--MO100ML/I0001","MO-2PR-B-BULK/I0001","[2PR-B-BULK] MAKE OVER Make Up Remover Fase B Bulk","L","kg","2023-01-16","2023-01-17","Done","MO/230002277","AJ16A"
"3","A-PRT-W100ML/I0003","MO-A-PRT-BULK/I0003","[A-PRT-BULK] Wardah Acnederm Pore Refining Toner Bulk","L","kg","2023-01-16","2023-01-18","Done","MO/230002278","AJ16A"
"3","BP-SBSBM-W100ML/I0001","MO-BP-SBSBM-BULK/I0001","[BP-SBSBM-BULK] Wardah Scentsation bliss body mist","L","kg","2023-01-17","2023-01-19","Done","MO/230003175","AJ17A"
"3","FMI-LGT-W/I0004","MO-FMI-LGT-BULK/I0004","[FMI-LGT-BULK] Wardah Lightening Face Mist bulk","L","kg","2023-01-16","2023-01-18","Done","MO/230002279","AJ16A"
"3","FT-LFT-W/I0005","MO-FT-LFT-BULK/I0007","[FT-LFT-BULK] Wardah Lightening Face Toner","L","kg","2023-01-14","2023-01-17","Done","MO/230002253","AJ16A"
"3","FT-LFT-W/I0006","MO-FT-LFT-BULK/I0008","[FT-LFT-BULK] Wardah Lightening Face Toner","L","kg","2023-01-14","2023-01-18","Done","MO/230002254","AJ16B"
