"SNFG","Reference","Product","Sediaan","Scheduled Start Date","Scheduled Finished Date","Manufacturing Order"
"L-REMA02-W/I0011","L-REMA02-W/I0011","[L-REMA02-W] Wardah Exclusive Matte Lipstick 02 Magenta 3.5 g","S","2023-05-05","2023-05-07","MO/230024816"
"L-HSLWA-MO/I0014","L-HSLWA-MO/I0014","[L-HSLWA-MO] Make Over Hydrastay Smooth Lip Whip C01 Grace 6.5 g","S","2023-05-05","2023-05-07","MO/230024820"
"L-HSLWB-MO/I0009","L-HSLWB-MO/I0009","[L-HSLWB-MO] Make Over Hydrastay Smooth Lip Whip C02 Ballad 6.5 g","S","2023-05-05","2023-05-07","MO/230024821"
"L-HSLWC-MO/I0012","L-HSLWC-MO/I0012","[L-HSLWC-MO] Make Over Hydrastay Smooth Lip Whip C03 Poetic 6.5 g","S","2023-05-05","2023-05-07","MO/230024822"
"L-HSLWD-MO/I0011","L-HSLWD-MO/I0011","[L-HSLWD-MO] Make Over Hydrastay Smooth Lip Whip C04 Real 6.5 g","S","2023-05-05","2023-05-07","MO/230024823"
"L-HSLWE-MO/I0015","L-HSLWE-MO/I0015","[L-HSLWE-MO] Make Over Hydrastay Smooth Lip Whip C05 Swift 6.5 g","S","2023-05-05","2023-05-07","MO/230024824"
"L-HSLWE-MO/I0016","L-HSLWE-MO/I0016","[L-HSLWE-MO] Make Over Hydrastay Smooth Lip Whip C05 Swift 6.5 g","S","2023-05-05","2023-05-07","MO/230024825"
"L-HSLWE-MO/I0017","L-HSLWE-MO/I0017","[L-HSLWE-MO] Make Over Hydrastay Smooth Lip Whip C05 Swift 6.5 g","S","2023-05-05","2023-05-07","MO/230024826"
"L-HSLWG-MO/I0014","L-HSLWG-MO/I0014","[L-HSLWG-MO] Make Over Hydrastay Smooth Lip Whip C07 Soirée 6.5 g","S","2023-05-05","2023-05-07","MO/230024828"
"L-HSLWJ-MO/I0018","L-HSLWJ-MO/I0018","[L-HSLWJ-MO] Make Over Hydrastay Smooth Lip Whip C10 Vow 6.5 g","S","2023-05-05","2023-05-07","MO/230024832"
"L-HSLWK-MO/I0018","L-HSLWK-MO/I0018","[L-HSLWK-MO] Make Over Hydrastay Smooth Lip Whip C11 Suave 6.5 g","S","2023-05-05","2023-05-07","MO/230024834"
"L-HSLWL-MO/I0015","L-HSLWL-MO/I0015","[L-HSLWL-MO] Make Over Hydrastay Smooth Lip Whip C12 Detail 6.5 g","S","2023-05-05","2023-05-07","MO/230024835"
"L-CUM03-W/I0009","L-CUM03-W/I0009","[L-CUM03-W] Wardah Colorfit Ultralight Matte Lipstick 03 Caramel Nude 3.6 g","S","2023-05-05","2023-05-07","MO/230024837"
"L-CUM01-W/I0011","L-CUM01-W/I0011","[L-CUM01-W] Wardah Colorfit Ultralight Matte Lipstick 01 Parfait Pink 3.6 g","S","2023-05-05","2023-05-07","MO/230024838"
"L-CUM02-W/I0008","L-CUM02-W/I0008","[L-CUM02-W] Wardah Colorfit Ultralight Matte Lipstick 02 Summer Peach 3.6 g","S","2023-05-05","2023-05-07","MO/230024842"
"L-CUM06-W/I0009","L-CUM06-W/I0009","[L-CUM06-W] Wardah Colorfit Ultralight Matte Lipstick 06 Punch Fuchsia 3.6 g","S","2023-05-05","2023-05-07","MO/230024845"
"L-SLWCL-W/BSI0002","L-SLWCL-W/BSI0002","[L-SLWCL-W] Wardah Colorfit Last All Day Lip Paint 05 Stay Russet 4.2 g","S","2023-05-08","2023-05-19","MO/230024959"
"L-CM13-EM5.5GR/I0003","L-CM13-EM5.5GR/I0003","[L-CM13-EM5.5GR] Emina Creamatte 13 Beet Bites 5.5 gr","S","2023-05-10","2023-05-11","MO/230024981"
"BO-MMB05-MO/I0019","BO-MMB05-MO/I0019","[BO-MMB05-MO] MAKE OVER Multifix Matte Blusher 05 Heatshot 9 g","S","2023-05-11","2023-05-14","MO/230024993"
"L-CHC01-MO/I0010","L-CHC01-MO/I0010","[L-CHC01-MO] MAKE OVER Color Hypnose Creamy Lipmatte 01 Charm 4.3 g","S","2023-05-11","2023-05-14","MO/230024995"
"L-CHC08-MO/I0010","L-CHC08-MO/I0010","[L-CHC08-MO] MAKE OVER Color Hypnose Creamy Lipmatte 08 Addicted 4.3 g","S","2023-05-11","2023-05-14","MO/230025000"
"L-HSLWD-MO/I0012","L-HSLWD-MO/I0012","[L-HSLWD-MO] Make Over Hydrastay Smooth Lip Whip C04 Real 6.5 g","S","2023-05-11","2023-05-14","MO/230025004"
"L-HSLWG-MO/I0015","L-HSLWG-MO/I0015","[L-HSLWG-MO] Make Over Hydrastay Smooth Lip Whip C07 Soirée 6.5 g","S","2023-05-11","2023-05-14","MO/230025005"
"L-HSLWH-MO/I0014","L-HSLWH-MO/I0014","[L-HSLWH-MO] Make Over Hydrastay Smooth Lip Whip C08 Devoted 6.5 g","S","2023-05-11","2023-05-14","MO/230025006"
"L-HSLWK-MO/I0019","L-HSLWK-MO/I0019","[L-HSLWK-MO] Make Over Hydrastay Smooth Lip Whip C11 Suave 6.5 g","S","2023-05-11","2023-05-14","MO/230025007"
"L-IMC017-MO6,5G/I0014","L-IMC017-MO6,5G/I0014","[L-IMC017-MO6,5G] MAKE OVER Intense Matte Lip Cream 017 Savvy 6,5 g (Pc(s))","S","2023-05-11","2023-05-14","MO/230025008"
"L-IPMMS01-W3.5G/I0011","L-IPMMS01-W3.5G/I0011","[L-IPMMS01-W3.5G] Instaperfect MATTETITUDE Matte Stain Lipstick 01. SWING 3.5 g","S","2023-05-11","2023-05-14","MO/230025009"
"L-REMA05-W/I0010","L-REMA05-W/I0010","[L-REMA05-W] Wardah Exclusive Matte Lipstick 05 Peach 3.5 g","S","2023-05-11","2023-05-14","MO/230025010"
"L-REMA17-W/I0010","L-REMA17-W/I0010","[L-REMA17-W] Wardah Exclusive Matte Lipstick 17 Gorgeous Pink 3.5 g","S","2023-05-11","2023-05-14","MO/230025011"
"CON-SMULCA-EM/I0003","CON-SMULCA-EM/I0003","[CON-SMULCA-EM] Emina Squeeze Me Up Liquid Concealer Light 8 g","S","2023-05-16","2023-05-17","MO/230025012"
"CON-CPADC02-W/I0004","CON-CPADC02-W/I0004","[CON-CPADC02-W] CRYSTALLURE Precious All Day Corrective Concealer 12 BEIGE1.9 ml","S","2023-05-11","2023-05-14","MO/230025050"
