"SNFG","Reference","Product","Sediaan","Scheduled Start Date","Scheduled Finished Date","Operation Type","Manufacturing Order","State","Streamline","Unit of Measure"
"ES-EP01-W/I0003","MO-ES-EP01-W-02-BULK/I0003","[ES-EP01-W-02-BULK] Exclusive EYe Shadow Palette 01 Sunset Brown 02","P","2023-02-03","2023-02-09","PTI: Jatake 1 - Olah","MO/230005357","Confirmed","B","kg"
"ES-EP01-W/I0003","ES-EP01-W/I0003/02/01","[ES-EP01-W-02-RP-W1GR] Refill Press Exclusive Eye Shadow Palette 01 Sunset Brown 02","P","2023-02-06","2023-02-09","PTI: Jatake 1 - Press","MO/230004772","Confirmed","B","Pc(s)"
"ES-EP01-W/I0003","MO-ES-EP01-W-03-BULK/I0003","[ES-EP01-W-03-BULK] EXclusive eye Shadow Palette 01 Sunset Brown 03","P","2023-02-03","2023-02-09","PTI: Jatake 1 - Olah","MO/230005362","Confirmed","B","kg"
"ES-EP01-W/I0003","ES-EP01-W/I0003/03/01","[ES-EP01-W-03-RP-W1GR] Refill Press Exclusive Eye Shadow Palette 01 Sunset Brown 03","P","2023-02-06","2023-02-09","PTI: Jatake 1 - Press","MO/230004773","Confirmed","B","Pc(s)"
"ES-EP01-W/I0003","MO-ES-EP01-W-04-BULK/I0003","[ES-EP01-W-04-BULK] Exclusive Eye Shadow Palette 01 Sunset Brown 04","P","2023-02-02","2023-02-09","PTI: Jatake 1 - Olah","MO/230005341","Confirmed","B","kg"
"ES-EP01-W/I0003","ES-EP01-W/I0003/04/01","[ES-EP01-W-04-RP-W1GR] Refill Press Exclusive Eye Shadow Palette 01 Sunset Brown 04","P","2023-02-03","2023-02-09","PTI: Jatake 1 - Press","MO/230004774","Confirmed","B","Pc(s)"
"ES-EP01-W/I0003","MO-ES-EP01-W-05-BULK/I0003","[ES-EP01-W-05-BULK] Exclusive Eye Shadow Palette 01 Sunset Brown 05","P","2023-02-03","2023-02-09","PTI: Jatake 1 - Olah","MO/230005360","Confirmed","B","kg"
"ES-EP01-W/I0003","ES-EP01-W/I0003/05/01","[ES-EP01-W-05-RP-W1GR] Refill Press Exclusive Eye Shadow Palette 01 Sunset Brown 05","P","2023-02-07","2023-02-09","PTI: Jatake 1 - Press","MO/230004775","Confirmed","B","Pc(s)"
"ES-EP01-W/I0003","MO-ES-EP01-W-06-BULK/I0003","[ES-EP01-W-06-BULK] Exclusive Eye Shadow Palette 01 Sunset Brown 06","P","2023-02-02","2023-02-09","PTI: Jatake 1 - Olah","MO/230005336","Confirmed","B","kg"
"ES-EP01-W/I0003","ES-EP01-W/I0003/06/01","[ES-EP01-W-06-RP-W1GR] Refill Press Exclusive Eye Shadow Palette 01 Sunset Brown 06","P","2023-02-03","2023-02-09","PTI: Jatake 1 - Press","MO/230004776","Confirmed","B","Pc(s)"
"ES-EP01-W/I0003","MO-ES-EP01-W-07-BULK/I0003","[ES-EP01-W-07-BULK] Exclusive Eye Shadow Palette 01 Sunset Brown 07","P","2023-02-03","2023-02-09","PTI: Jatake 1 - Olah","MO/230005363","Confirmed","B","kg"
"ES-EP01-W/I0003","ES-EP01-W/I0003/07/01","[ES-EP01-W-07-RP-W1GR] Refill Press Exclusive Eye Shadow Palette 01 Sunset Brown 07","P","2023-02-06","2023-02-09","PTI: Jatake 1 - Press","MO/230004777","Confirmed","B","Pc(s)"
"ES-EP01-W/I0003","MO-ES-EP01-W-08-BULK/I0003","[ES-EP01-W-08-BULK] Exclusive Eye Shadow Palette 01 Sunset Brown 08","P","2023-02-03","2023-02-09","PTI: Jatake 1 - Olah","MO/230005354","Confirmed","B","kg"
"ES-EP01-W/I0003","ES-EP01-W/I0003/08/01","[ES-EP01-W-08-RP-W1GR] Refill Press Exclusive Eye Shadow Palette 01 Sunset Brown 08","P","2023-02-06","2023-02-09","PTI: Jatake 1 - Press","MO/230004778","Confirmed","B","Pc(s)"
"B-PT05-MO35G/I0003","B-PT05-MO35G/I0003","[B-PT05-MO35G] MAKE OVER Silky Smooth Translucent Powder 05 Snow 35 g (Pc(s))","P","2023-01-31","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004706","Confirmed","C","Pc(s)"
"B-PT05-MO35G/I0003","MO-B-PT05-BULK/I0003","[B-PT05-BULK] Silky Smooth Translucent Powder 05 Snow","P","2023-01-31","2023-02-03","PTI: Jatake 1 - Olah","MO/230005322","Confirmed","C","kg"
"B-PT06-MO35G/I0008","B-PT06-MO35G/I0008","[B-PT06-MO35G] MAKE OVER Silky Smooth Translucent Powder 06 Buttermilk 35 g","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004707","Confirmed","C","Pc(s)"
"B-PT06-MO35G/I0008","MO-B-PT06-BULK/I0008","[B-PT06-BULK] Silky Smooth Translucent Powder 06 Buttermilk","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Olah","MO/230005125","Confirmed","C","kg"
"B-PT06-MO35G/I0009","B-PT06-MO35G/I0009","[B-PT06-MO35G] MAKE OVER Silky Smooth Translucent Powder 06 Buttermilk 35 g","P","2023-01-31","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004708","Confirmed","C","Pc(s)"
"B-PT06-MO35G/I0009","MO-B-PT06-BULK/I0009","[B-PT06-BULK] Silky Smooth Translucent Powder 06 Buttermilk","P","2023-01-31","2023-02-03","PTI: Jatake 1 - Olah","MO/230005306","Confirmed","C","kg"
"B-PT07-MO35G/I0005","B-PT07-MO35G/I0005","[B-PT07-MO35G] MAKE OVER Silky Smooth Translucent Powder 07 Vanilla 35 g","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004709","Confirmed","C","Pc(s)"
"B-PT07-MO35G/I0005","MO-B-PT07-BULK/I0005","[B-PT07-BULK] Silky Smooth Translucent Powder 07 Vanilla","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Olah","MO/230005117","Confirmed","C","kg"
"B-PT07-MO35G/I0006","B-PT07-MO35G/I0006","[B-PT07-MO35G] MAKE OVER Silky Smooth Translucent Powder 07 Vanilla 35 g","P","2023-01-31","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004710","Confirmed","C","Pc(s)"
"B-PT07-MO35G/I0006","MO-B-PT07-BULK/I0006","[B-PT07-BULK] Silky Smooth Translucent Powder 07 Vanilla","P","2023-01-31","2023-02-03","PTI: Jatake 1 - Olah","MO/230005315","Confirmed","C","kg"
