"Reference","Source Location","Destination Location","Contact","Scheduled Date","Source Document","Status","Activity Exception Decoration"
"INT/230058152","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-02-06 00:00:00","MO/230006796","Ready",""
"INT/230101272","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-06 00:00:00","MO/230006805","Ready",""
"INT/230086030","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-06 00:00:00","MO/230006806","Ready",""
"INT/230063888","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-06 00:00:00","MO/230006819","Ready",""
"INT/230063869","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-06 00:00:00","MO/230006845","Ready",""
"INT/230059435","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-02-07 00:00:00","MO/230007018","Ready",""
"INT/230065195","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-07 00:00:00","MO/230007087","Ready",""
"INT/230065204","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-07 00:00:00","MO/230007094","Ready",""
"INT/230077493","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-07 00:00:00","MO/230007118","Ready",""
"INT/230073217","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-08 00:00:00","MO/230007288","Ready",""
"INT/230071964","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-08 00:00:00","MO/230007296","Ready",""
"INT/230073309","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-08 00:00:00","MO/230007300","Ready",""
"INT/230073292","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-08 00:00:00","MO/230007301","Ready",""
"INT/230073384","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-08 00:00:00","MO/230007302","Ready",""
"INT/230072545","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-08 00:00:00","MO/230007303","Waiting",""
"INT/230073303","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-08 00:00:00","MO/230007304","Ready",""
"INT/230075285","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-11 00:00:00","MO/230007341","Ready",""
"INT/230075255","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-11 00:00:00","MO/230007340","Ready",""
"INT/230073794","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-09 00:00:00","MO/230007344","Ready",""
"INT/230073402","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-09 00:00:00","MO/230007345","Ready",""
"INT/230074106","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-09 00:00:00","MO/230007347","Ready",""
"INT/230074777","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-09 00:00:00","MO/230007349","Ready",""
"INT/230073776","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-09 00:00:00","MO/230007351","Ready",""
"INT/230067347","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-08 00:00:00","MO/230007370","Ready",""
"INT/230067887","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-08 00:00:00","MO/230007371","Ready",""
"INT/230070814","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-09 00:00:00","MO/230007373","Ready",""
"INT/230070984","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-07 00:00:00","MO/230007375","Ready",""
"INT/230069373","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-09 00:00:00","MO/230007380","Ready",""
"INT/230072145","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-09 00:00:00","MO/230007382","Ready",""
"INT/230075559","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-09 00:00:00","MO/230007385","Ready",""
"INT/230070812","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-09 00:00:00","MO/230007390","Ready",""
"INT/230073350","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-10 00:00:00","MO/230007400","Ready",""
"INT/230073353","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-10 00:00:00","MO/230007402","Ready",""
"INT/230072336","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-10 00:00:00","MO/230007404","Ready",""
"INT/230073403","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-10 00:00:00","MO/230007406","Ready",""
"INT/230067888","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-13 00:00:00","MO/230007416","Ready",""
"INT/230067329","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-08 00:00:00","MO/230007452","Ready",""
"INT/230076363","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-13 00:00:00","MO/230007472","Ready",""
"INT/230074276","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-11 00:00:00","MO/230008045","Ready",""
"INT/230074801","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-11 00:00:00","MO/230008047","Ready",""
"INT/230073996","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-11 00:00:00","MO/230008048","Ready",""
"INT/230074016","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-11 00:00:00","MO/230008050","Ready",""
"INT/230076287","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-13 00:00:00","MO/230008054","Ready",""
"INT/230075354","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-11 00:00:00","MO/230008068","Ready",""
"INT/230076055","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-11 00:00:00","MO/230008078","Ready",""
"INT/230075613","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-11 00:00:00","MO/230008086","Ready",""
"INT/230074774","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-11 00:00:00","MO/230008088","Ready",""
"INT/230075464","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-11 00:00:00","MO/230008093","Ready",""
"INT/230082095","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-13 00:00:00","MO/230008105","Ready",""
"INT/230080051","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-13 00:00:00","MO/230008118","Ready",""
"INT/230080115","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-13 00:00:00","MO/230008121","Ready",""
"INT/230080549","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-13 00:00:00","MO/230008123","Ready",""
"INT/230071029","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-02-13 00:00:00","MO/230008475","Ready",""
"INT/230082519","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-15 00:00:00","MO/230008690","Ready",""
"INT/230081291","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-13 00:00:00","MO/230008701","Ready",""
"INT/230078886","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-14 00:00:00","MO/230008732","Ready",""
"INT/230079931","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-14 00:00:00","MO/230008733","Ready",""
"INT/230079877","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-14 00:00:00","MO/230008737","Ready",""
"INT/230080888","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-14 00:00:00","MO/230008740","Ready",""
"INT/230081903","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-15 00:00:00","MO/230008761","Ready",""
"INT/230081056","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-15 00:00:00","MO/230008770","Ready",""
"INT/230075133","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-02-15 00:00:00","MO/230008797","Ready",""
"INT/230084812","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-14 00:00:00","MO/230008803","Ready",""
"INT/230082794","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-14 00:00:00","MO/230008804","Ready",""
"INT/230084722","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-14 00:00:00","MO/230008805","Ready",""
"INT/230083417","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-14 00:00:00","MO/230008806","Ready",""
"INT/230084901","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-14 00:00:00","MO/230008809","Ready",""
"INT/230083343","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-14 00:00:00","MO/230008807","Ready",""
"INT/230082357","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-14 00:00:00","MO/230008808","Ready",""
"INT/230082320","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-14 00:00:00","MO/230008810","Ready",""
"INT/230084898","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-14 00:00:00","MO/230008813","Ready",""
"INT/230084838","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-14 00:00:00","MO/230008812","Ready",""
"INT/230082237","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-14 00:00:00","MO/230008815","Ready",""
"INT/230084832","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-14 00:00:00","MO/230008817","Ready",""
"INT/230083320","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-14 00:00:00","MO/230008818","Ready",""
"INT/230087289","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-15 00:00:00","MO/230008819","Ready",""
"INT/230087135","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-15 00:00:00","MO/230008821","Ready",""
"INT/230085217","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-15 00:00:00","MO/230008822","Ready",""
"INT/230084876","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-15 00:00:00","MO/230008824","Ready",""
"INT/230087388","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-15 00:00:00","MO/230008825","Ready",""
"INT/230084882","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-15 00:00:00","MO/230008826","Ready",""
"INT/230085175","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-15 00:00:00","MO/230008827","Ready",""
"INT/230084878","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-15 00:00:00","MO/230008828","Ready",""
"INT/230087441","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-16 00:00:00","MO/230008829","Ready",""
"INT/230088484","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230008836","Ready",""
"INT/230079912","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-14 00:00:00","MO/230008852","Ready",""
"INT/230079988","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-14 00:00:00","MO/230008855","Ready",""
"INT/230082634","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-02-15 00:00:00","MO/230008905","Ready",""
"INT/230084579","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-02-15 00:00:00","MO/230008908","Ready",""
"INT/230084675","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-16 00:00:00","MO/230008937","Ready",""
"INT/230084764","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-16 00:00:00","MO/230008939","Ready",""
"INT/230082190","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-16 00:00:00","MO/230008947","Ready",""
"INT/230083134","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-16 00:00:00","MO/230008951","Ready",""
"INT/230082164","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-16 00:00:00","MO/230008952","Waiting",""
"INT/230084760","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-16 00:00:00","MO/230008953","Ready",""
"INT/230101171","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-16 00:00:00","MO/230008954","Ready",""
"INT/230083003","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-16 00:00:00","MO/230008957","Ready",""
"INT/230087129","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230008959","Ready",""
"INT/230088022","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230008961","Ready",""
"INT/230086970","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-17 00:00:00","MO/230008971","Ready",""
"INT/230089264","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-17 00:00:00","MO/230008974","Ready",""
"INT/230086999","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-17 00:00:00","MO/230008976","Ready",""
"INT/230087021","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-17 00:00:00","MO/230008977","Ready",""
"INT/230090943","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-17 00:00:00","MO/230008978","Ready",""
"INT/230087043","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-17 00:00:00","MO/230008979","Ready",""
"INT/230087839","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-17 00:00:00","MO/230008981","Ready",""
"INT/230085857","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-17 00:00:00","MO/230008984","Ready",""
"INT/230087162","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230008985","Ready",""
"INT/230088449","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230008988","Ready",""
"INT/230088443","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230008993","Ready",""
"INT/230089636","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230008994","Ready",""
"INT/230088444","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230008995","Ready",""
"INT/230090949","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-15 00:00:00","MO/230009028","Ready",""
"INT/230088451","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-16 00:00:00","MO/230009026","Ready",""
"INT/230087149","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-15 00:00:00","MO/230009027","Ready",""
"INT/230087267","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-15 00:00:00","MO/230009030","Ready",""
"INT/230082709","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-13 00:00:00","MO/230009032","Ready",""
"INT/230087446","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-15 00:00:00","MO/230009046","Ready",""
"INT/230088456","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230009083","Ready",""
"INT/230087978","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-16 00:00:00","MO/230009084","Ready",""
"INT/230087569","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-16 00:00:00","MO/230009085","Ready",""
"INT/230087414","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-15 00:00:00","MO/230009086","Ready",""
"INT/230084870","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-14 00:00:00","MO/230009233","Ready",""
"INT/230090989","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-20 00:00:00","MO/230009245","Ready",""
"INT/230095170","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-20 00:00:00","MO/230009247","Ready",""
"INT/230090991","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-20 00:00:00","MO/230009253","Waiting",""
"INT/230090212","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-20 00:00:00","MO/230009690","Ready",""
"INT/230090200","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-20 00:00:00","MO/230009711","Ready",""
"INT/230088472","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230009745","Ready",""
"INT/230092103","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230009747","Ready",""
"INT/230088010","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230009749","Ready",""
"INT/230090395","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230009752","Ready",""
"INT/230089847","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230009754","Ready",""
"INT/230093126","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230009763","Ready",""
"INT/230087723","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230009762","Ready",""
"INT/230087588","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230009765","Ready",""
"INT/230093123","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230009764","Ready",""
"INT/230108419","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-20 00:00:00","MO/230009768","Ready",""
"INT/230088455","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230009774","Ready",""
"INT/230090972","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230009775","Ready",""
"INT/230093130","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230009776","Ready",""
"INT/230099944","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-20 00:00:00","MO/230009778","Waiting",""
"INT/230084345","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-02-22 00:00:00","MO/230010061","Ready",""
"INT/230084404","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-02-20 00:00:00","MO/230010120","Ready",""
"INT/230084408","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-02-20 00:00:00","MO/230010124","Ready",""
"INT/230093118","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230010212","Ready",""
"INT/230093131","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-20 00:00:00","MO/230010219","Ready",""
"INT/230094190","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-20 00:00:00","MO/230010234","Ready",""
"INT/230085005","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-20 00:00:00","MO/230010240","Ready",""
"INT/230093211","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-20 00:00:00","MO/230010243","Ready",""
"INT/230093221","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-20 00:00:00","MO/230010245","Ready",""
"INT/230093124","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-18 00:00:00","MO/230010263","Ready",""
"INT/230095806","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-21 00:00:00","MO/230010280","Ready",""
"INT/230092483","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-20 00:00:00","MO/230010282","Ready",""
"INT/230093064","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-21 00:00:00","MO/230010301","Ready",""
"INT/230093060","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-21 00:00:00","MO/230010319","Ready",""
"INT/230092656","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-21 00:00:00","MO/230010327","Ready",""
"INT/230093074","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-21 00:00:00","MO/230010333","Ready",""
"INT/230095247","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-22 00:00:00","MO/230010360","Ready",""
"INT/230094137","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-22 00:00:00","MO/230010361","Ready",""
"INT/230093225","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-22 00:00:00","MO/230010363","Ready",""
"INT/230094091","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-22 00:00:00","MO/230010375","Waiting",""
"INT/230098201","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-23 00:00:00","MO/230010393","Ready",""
"INT/230100058","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-24 00:00:00","MO/230010432","Ready",""
"INT/230100000","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-24 00:00:00","MO/230010433","Ready",""
"INT/230100588","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-25 00:00:00","MO/230010459","Ready",""
"INT/230103743","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-25 00:00:00","MO/230010461","Ready",""
"INT/230100577","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-25 00:00:00","MO/230010462","Ready",""
"INT/230107161","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-27 00:00:00","MO/230010468","Ready",""
"INT/230098189","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-21 00:00:00","MO/230010483","Ready",""
"INT/230099942","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-21 00:00:00","MO/230010484","Ready",""
"INT/230098192","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-21 00:00:00","MO/230010486","Ready",""
"INT/230099989","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-22 00:00:00","MO/230010491","Ready",""
"INT/230098263","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-20 00:00:00","MO/230010595","Ready",""
"INT/230098113","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-19 00:00:00","MO/230010596","Ready",""
"INT/230099997","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-22 00:00:00","MO/230010597","Ready",""
"INT/230090601","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-02-22 00:00:00","MO/230010606","Ready",""
"INT/230096369","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-02-23 00:00:00","MO/230010620","Waiting",""
"INT/230094192","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-21 00:00:00","MO/230010628","Ready",""
"INT/230092158","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-20 00:00:00","MO/230010645","Ready",""
"INT/230098115","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-23 00:00:00","MO/230010653","Ready",""
"INT/230094579","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-27 00:00:00","MO/230010713","Ready",""
"INT/230110200","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-27 00:00:00","MO/230010717","Ready",""
"INT/230094596","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-27 00:00:00","MO/230010720","Ready",""
"INT/230108429","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-27 00:00:00","MO/230010730","Ready",""
"INT/230097108","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-02-27 00:00:00","MO/230011204","Ready",""
"INT/230100774","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-25 00:00:00","MO/230011414","Ready",""
"INT/230100773","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-25 00:00:00","MO/230011416","Ready",""
"INT/230100620","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-25 00:00:00","MO/230011417","Ready",""
"INT/230100772","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-25 00:00:00","MO/230011427","Ready",""
"INT/230103372","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-26 00:00:00","MO/230011435","Ready",""
"INT/230103396","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-26 00:00:00","MO/230011438","Ready",""
"INT/230105385","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-27 00:00:00","MO/230011455","Ready",""
"INT/230111536","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-28 00:00:00","MO/230011475","Ready",""
"INT/230110189","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-28 00:00:00","MO/230011478","Ready",""
"INT/230108872","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-28 00:00:00","MO/230011482","Ready",""
"INT/230107377","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-28 00:00:00","MO/230011485","Ready",""
"INT/230097583","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-02-27 00:00:00","MO/230011489","Ready",""
"INT/230097633","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-02-27 00:00:00","MO/230011529","Ready",""
"INT/230118294","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-27 00:00:00","MO/230011534","Ready",""
"INT/230102157","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-27 00:00:00","MO/230011536","Ready",""
"INT/230097656","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-02-27 00:00:00","MO/230011549","Ready",""
"INT/230097664","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-02-27 00:00:00","MO/230011556","Ready",""
"INT/230118114","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-27 00:00:00","MO/230011570","Ready",""
"INT/230106533","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-27 00:00:00","MO/230011572","Ready",""
"INT/230111412","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-27 00:00:00","MO/230011573","Ready",""
"INT/230097699","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-27 00:00:00","MO/230011577","Ready",""
"INT/230097702","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-27 00:00:00","MO/230011579","Ready",""
"INT/230097721","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-02-27 00:00:00","MO/230011588","Ready",""
"INT/230109744","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-27 00:00:00","MO/230011614","Waiting",""
"INT/230097853","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-03-03 00:00:00","MO/230011679","Ready",""
"INT/230097885","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-03-03 00:00:00","MO/230011687","Ready",""
"INT/230097923","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-03-01 00:00:00","MO/230011721","Ready",""
"INT/230123637","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-25 00:00:00","MO/230011764","Ready",""
"INT/230099002","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-03-03 00:00:00","MO/230011766","Ready",""
"INT/230108626","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-03-02 00:00:00","MO/230011783","Ready",""
"INT/230109624","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-03-02 00:00:00","MO/230011784","Ready",""
"INT/230114286","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-28 00:00:00","MO/230011785","Waiting",""
"INT/230099474","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-28 00:00:00","MO/230011794","Ready",""
"INT/230118118","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-28 00:00:00","MO/230011795","Ready",""
"INT/230108924","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-03-02 00:00:00","MO/230011798","Ready",""
"INT/230106616","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-28 00:00:00","MO/230011799","Ready",""
"INT/230106773","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-03-01 00:00:00","MO/230011801","Ready",""
"INT/230107304","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-03-01 00:00:00","MO/230011802","Ready",""
"INT/230110890","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-03-02 00:00:00","MO/230011809","Ready",""
"INT/230111055","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-03-02 00:00:00","MO/230011810","Ready",""
"INT/230106516","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-28 00:00:00","MO/230011816","Waiting",""
"INT/230108485","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-03-01 00:00:00","MO/230011817","Ready",""
