"Korporat Code","Name","Net Weight"
"L-CM17KCC-W","Emina Bundling Creamatte 17 Bola Ubi 5.5 g X Kaos Callie Cotton","5.5"
"L-CM18KCC-W","Emina Bundling Creamatte 18 Onde-Onde 5.5 g X Kaos Callie Cotton","5.5"
"L-CM19KCC-W","Emina Bundling Creamatte 19 Pisang Cokelat 5.5 g X Kaos Callie Cotton","5.5"
"FM-CTCMP-EM","Emina Capsule Treat Clay Mask Pomegranate 10 ml","9.328"
"FM-CTWOGT-EM","Emina Capsule Treat Gel Mask Green Tea 10 ml","11.0"
"FM-CTWOH-EM","Emina Capsule Treat Gel Mask Honey 10 ml","11.667"
"FM-CTGMC-EM","Emina Capsule Treat Sleeping Mask Cucumber 10 ml","9.724"
"FM-CTGMR-EM","Emina Capsule Treat Sleeping Mask Rice 10 ml","10.153"
"BO-CLBSPE-EM","Emina Cheek Lit Blush Stick Peach 7 g","7.0"
"BO-CLBSPI-EM","Emina Cheek Lit Blush Stick Pink 7 g","7.0"
"BO-CLBBPW-EM","Emina Cheek Lit Buttery Blush Periwinkle 2.8 g","2.8"
"BO-CLBBPS-EM","Emina Cheek Lit Buttery Blush Persimmon 2.8 g","2.8"
"BO-CLBBPB-EM","Emina Cheek Lit Buttery Blush Pinkerbelle 2.8 g","2.8"
"BO-CLCA-EM","Emina Cheek Lit Cream Blush New Shade A","0.0"
"BO-CLCB-EM","Emina Cheek Lit Cream Blush New Shade B","0.0"
"BO-CLCNB-EM10ML","Emina Cheek Lit Cream Blush Nudie Brown 10 ml","10.0"
"BO-CLCPE-EM10ML","Emina Cheek Lit Cream Blush Peach 10 ml (Pc(s))","10.0"
"BO-CLCPI-EM10ML","Emina Cheek Lit Cream Blush Pink 10 ml (Pc(s))","10.0"
"BO-CLCVI-EM10ML","Emina Cheek Lit Cream Blush Violet 10 ml","9.98"
"FA-CLHP-EM","Emina Cheek Lit Highlighter Powder Nudesparkle 3.8 g","3.8"
"BO-CLBSNT-EM","Emina Cheek Lit Highlighter Stick Nudetwinkle 7 g","7.0"
"BO-CLPBAC-EM","Emina Cheek Lit Pressed Blush Apple Crumble 3.5 g","3.5"
"BO-R2CLPBBS-EM","Emina Cheek Lit Pressed Blush Bittersweet 3.5 g","3.5"
"BO-CLPPB-EM3.5GR","Emina Cheek Lit Pressed Blush Bittersweet 3.5 gr (Pc(s))","3.5"
"BO-CLPPMCB-EM3.5GR","Emina Cheek Lit Pressed Blush Cherry Blossoms 3.5 gr (Pc(s))","3.5"
"BO-CLPBCP-EM","Emina Cheek Lit Pressed Blush Cherry Popsicle 3.5 g","3.5"
"BO-R2CLPBCC-EM","Emina Cheek Lit Pressed Blush Cotton Candy 3.5 g","3.5"
"BO-CLPPCCC-EM3.5GR","Emina Cheek Lit Pressed Blush Cotton Candy 3.5 gr (Pc(s))","3.5"
"BO-R2CLPBML-EM","Emina Cheek Lit Pressed Blush Marshmallow Lady 3.5 g","3.5"
"BO-CLPPPML-EM3.5GR","Emina Cheek Lit Pressed Blush Marshmallow Lady 3.5 gr (Pc(s))","3.5"
"BO-CLPCS-EM3.5GR","Emina Cheek Lit Pressed Blush Sugarcane 3.5 gr (Pc(s))","3.5"
"BO-R2CLPBVB-EM","Emina Cheek Lit Pressed Blush Violet Berry 3.5 g","3.5"
"BO-CLPPTVB-EM3.5GR","Emina Cheek Lit Pressed Blush Violet Berry 3.5 gr (Pc(s))","3.5"
"BUT-CF-EM100ML","Emina Chocofudge Body Ice Cream 100 ml (Pc(s))","0.0"
"TC-CCB-EM12GR","Emina City Chic CC Cake Butterscotch 12 gr (Pc(s))","12.0"
"TC-CCL-EM12GR","Emina City Chic CC Cake Latte 12 gr (Pc(s))","12.0"
"TC-CCM-EM12GR","Emina City Chic CC Cake Meringue 12 gr (Pc(s))","12.0"
"TC-CCP-EM12GR","Emina City Chic CC Cake Peach 12 gr (Pc(s))","12.0"
"CCC-CCL-EM20ML","Emina City Chic CC Cream Light 20 ml (Pc(s))","21.124"
"CCC-CCN-EM20ML","Emina City Chic CC Cream Natural 20 ml (Pc(s))","21.088"
"FM-CMB-EM","Emina Clay Mask Brightening 60 ml","60.0"
"FM-CMSC-EM","Emina Clay Mask Sebum Control 60 ml","78.192"
"FM-CMSS-EM","Emina Clay Mask Soothe & Smooth 60 ml","75.762"
"HBL-CA-EM100ML","Emina Coconut Almond Body Lotion 100 ml (Pc(s))","0.0"
"HBL-CP-EM100ML","Emina Coconut Pineapple Body Lotion 100 ml (Pc(s))","0.0"
"MASK-CLV-EM","Emina Cosmic Lash Volume Mascara 6 g","6.0"
"FM-SL-EM60ML","Emina Cranberry Juice Face Mask 60 ml","60.0"
"L-CM01-EM5.5GR","Emina Creamatte 01 Chocolava 5.5 gr (Pc(s))","5.5"
"L-CM02-EM5.5GR","Emina Creamatte 02 Fuzzy Wuzzy 5.5 gr (Pc(s))","5.5"
"L-CM03-EM5.5GR","Emina Creamatte 03 Mauvelous 5.5 gr (Pc(s))","5.5"
"L-CM04-EM5.5GR","Emina Creamatte 04 Frostbite 5.5 gr (Pc(s))","5.5"
"L-CM05-EM5.5GR","Emina Creamatte 05 Flamingo 5.5 gr (Pc(s))","5.5"
