FACTORY,ITEM CODE / BESAR BATCH,PROCESS TYPE,ROUTING TYPE,ITEM CODE,REFILL CODE,BULK CODE,ITEM NAME,REFILL NAME,BULK NAME,BULK SIZE PRIORITY,NUMBER OF COMPONENT,FM BULK SIZE (KG),MPQ OLAH (KG),MPQ SUPPLY KUNCI (KG),MPQ KEMAS (PCS),MPQ SUPPLY LOG (PCS),OUTPUT PRESSING (PCS/MIN),OUTPUT LABELLING (PCS/MIN),OUTPUT FILLING (PCS/MIN),OUTPUT FILLING/PACKING (PCS/MIN),LINE CODE WEIGHING,LINE CODE PREMIX,LINE CODE MILLING,LINE CODE MIXING,LINE CODE GRINDING,LINE CODE ADJUST,LINE CODE QC BULK,LINE CODE SIEVING,LINE CODE LABELLING,LINE CODE PRESSING,LINE CODE FILLING,LINE CODE FILLING/PACKING,LEADTIME WEIGHING (MIN),LEADTIME PREMIX (HOUR),LEADTIME MILLING (HOUR),LEADTIME MIXING (HOUR),LEADTIME GRINDING (HOUR),LEADTIME ADJUST (HOUR),LEADTIME QC BULK (HOUR),LEADTIME SIEVING (HOUR),LEADTIME LABELLING (HOUR),LEADTIME PRESSING (HOUR),LEADTIME FILLING (HOUR),LEADTIME FILLING/PACKING (HOUR),LEADTIME QC FG (HOUR),LEADTIME KARANTINA (HOUR),TOTAL LEADTIME (DAYS),JUMLAH OPERATOR WEIGHING,JUMLAH OPERATOR PREMIX,JUMLAH OPERATOR MILLING,JUMLAH OPERATOR MIXING,JUMLAH OPERATOR GRINDING,JUMLAH OPERATOR QC BULK,JUMLAH OPERATOR SIEVING,JUMLAH OPERATOR LABELLING,JUMLAH OPERATOR PRESSING,JUMLAH OPERATOR FILLING,JUMLAH OPERATOR FILLING/PACKING,STATUS PEARLIZE,PDT PREMIX CUCI KASAR (HOUR),PDT PREMIX CUCI BERSIH (HOUR),PDT MILLING CUCI KASAR (HOUR),PDT MILLING CUCI BERSIH (HOUR),PDT MIXING CUCI KASAR (HOUR),PDT MIXING CUCI BERSIH (HOUR),PDT GRINDING CUCI KASAR (HOUR),PDT GRINDING CUCI BERSIH (HOUR),SET UP MESIN AWAL (MIN),SET UP MESIN LANJUTAN (MIN),PERSIAPAN (MIN),HELLOM TIME (MIN),GANTI KAIN (MIN),BBM (MIN),CHANGE OVER (MIN),CUCI MESIN (MIN),PENCAIRAN BULK (MIN),WARNA BULK,ASUMSI JUMLAH SHIFT,PDT TANPA CO (HOUR),PDT DENGAN CO (HOUR),LEADTIME KOTOR PREMIX (HOUR),LEADTIME KOTOR MILLING (HOUR),LEADTIME KOTOR MIXING (HOUR),LEADTIME KOTOR LABELLING (HOUR),LEADTIME KOTOR PRESSING (HOUR),LEADTIME KOTOR FILLING (HOUR),LEADTIME KOTOR FILLING/PACKING (HOUR),SHRINK MACHINE,LAST MODIFIED ON,LAST MODIEFIED BY,NOTES
JTK06,BO-W2TD-W4GR/0,STD,RR01,BO-W2TD-W4GR,,,Wardah Tester Container Blush On Seri D 4 gr (Pc(s)),,,NOMINAL_LINE,,0,0,0,1,1,,,,15,,,,,,,QC BULK,,,,,VMP10,,,,,,0,0,,,,,0.00111111111111111,0.5,2,5,,,,,,1,,,,,3,-,,,,,,,,,,,30,,,,,,,-,1,0.5,0.5,,,,,,,0.501111111111111,No,2022-03-22 16:14,OdooBot,
JTK04,L-UHS010-MO2.3G/5,STD,SR09,L-UHS010-MO2.3G,,L-UHS010-BULK,MAKE OVER Ultra Hi-Matte Lipstick 010 Smooch 2.3 g (Pc(s)),,Make Over Ultra Hi-Matte Lipstick 010 Smooch Bulk,SECONDARY_LINE,1,5,5,4.75,1524,1554,,,,9,SWE01,SPM03D,SRM06,SMX02,,SMX02,QC BULK,,,,,LIP08,45,0.75,1,2.25,,5,0.5,,,,,2.82222222222222,0.5,2,5,2,1,1,1,,1,,,,,8,-,0,0,0,0.25,0,0,,,0,0,5,10,0,0,0,0.25,0,-,4,0.254166666666667,0.254166666666667,0.75,1.25,2.25,,,,3.07638888888889,No,2022-08-12 06:41,OdooBot,
JTK04,L-UHS010-MO2.3G/3,STD,SR09,L-UHS010-MO2.3G,,L-UHS010-BULK,MAKE OVER Ultra Hi-Matte Lipstick 010 Smooch 2.3 g (Pc(s)),,Make Over Ultra Hi-Matte Lipstick 010 Smooch Bulk,NOMINAL_LINE,1,3,3,2.75,1008,1038,,,,9,SWE01,SMU01,SRM06,SMX02,,SMX02,QC BULK,,,,,LIP08,45,0.75,1,2,,5,0.5,,,,,1.86666666666667,0.5,2,5,2,1,1,1,,1,,,,,8,-,0,0.25,0,0.25,0,0,,,0,0,5,10,0,0,0,0.25,0,-,0,0.254166666666667,0.254166666666667,1,1.25,2,,,,2.12083333333333,No,2022-08-12 06:41,OdooBot,
JTK02,M-RRYNCN1-W/600,STD,LR15,M-RRYNCN1-W,,M-RRYNC-BULK,Wardah Renew You Night Cream 15 g (Pc(s)),,Wardah Renew You Night Cream,SECONDARY_LINE,1,600,600,570,34556,35590,,,,65,LWE01,,,LVL03,,LVL03,QC BULK,,,,,TUP07,60,,,5,,0,1,,,,,8.86051282051282,0.3,2,4,,,,,,1,,,,,3,-,,,,,0,1.5,,,30,10,0,20,0,10,0,40,0,gelap,0,1.83333333333333,1.83333333333333,,,6.5,,,,10.6938461538462,No,2022-05-31 09:23,Dhyah Ayu Saraswati Devany,
JTK02,M-RRYNCN1-W/400,STD,LR15,M-RRYNCN1-W,,M-RRYNC-BULK,Wardah Renew You Night Cream 15 g (Pc(s)),,Wardah Renew You Night Cream,NOMINAL_LINE,1,400,400,360,22428,22850,,,,60,LWE02,,,LVL03,,LVL03,QC BULK,,,,,TUP11B,70,,,5.5,,0,1,,,,,6.23,0.3,2,4,,,,,,1,,,,,3,-,,,,,0,2.5,,,40,0,0,10,0,0,90,0,0,terang,2,0.833333333333333,2.33333333333333,,,8,,,,7.06333333333333,No,2022-05-31 09:23,Dhyah Ayu Saraswati Devany,
JTK06,MY-RLIPMMS03-W/0,STD,RR01,MY-RLIPMMS03-W,,,Malaysia Wardah Instaperfect MATTETITUDE Matte Stain Lipstick 03. FEMME 3.5 g,,,NOMINAL_LINE,,0,0,0,1,1,,,,18,,,,,,,QC BULK,,,,,VMP10,,,,,,0,0,,,,,0.000925925925925926,0.5,2,5,,,,,,1,,,,,3,-,,,,,,,,,,,30,,,,,,,-,1,0.5,0.5,,,,,,,0.500925925925926,No,2022-03-22 16:14,OdooBot,
JTK02,BBC-EL-W30ML/1000,STD,LR01,BBC-EL-W30ML,,BBC-EL-BULK,Wardah Everyday BB Cream Light 30 ml (Pc(s)),,Everyday BB cream Light Bulk,NOMINAL_LINE,1,1000,1000,978,31206,32140,,,60,,LWE01,,,LVL02,,LVL02,QC BULK,,,,TUP06,,150,,,16,,2,1,,,,8.66833333333333,,0.3,2,5,,,,,,1,,,,3,,-,,,,,0,3,,,25,10,0,20,0,10,25,0,0,gelap,0,1.08333333333333,1.5,,,19,,,9.75166666666667,,No,2022-08-03 07:06,Administrator,
JTK06,MY-TLIM08-W2.3G/0,STD,RR01,MY-TLIM08-W2.3G,,,Wardah Tester Intense Matte Lipstick 08 Retro Red 2.3 g,,,NOMINAL_LINE,,0,0,0,1,1,,,,240,,,,,,,QC BULK,,,,,VMP10,,,,,,0,0,,,,,0.00166666666666667,0.5,2,3,,,,,,1,,,,,3,-,,,,,,,,,,,30,,,,,,,-,1,0.5,0.5,,,,,,,0.501666666666667,No,2022-03-22 16:14,OdooBot,
JTK02,HT-P1G1-P450/1000,STD,LR15,HT-P1G1-P450,,HT-G1-BULK,"Hair Tonic Normal to Oily Hair (Green), 450 ml",,Bulk Hair Tonic Green,NOMINAL_LINE,1,1000,1000,990,2293,2393,,,,5,LWE02,,,LPF02,,LPF02,QC BULK,,,,,EMP02,75,,,7,,0.5,1,,,,,7.64333333333333,0.3,2,3,,,,,,1,,,,,5,-,,,,,0,1.5,,,40,10,0,20,0,10,60,35,0,terang,0,1.58333333333333,2.16666666666667,,,8.5,,,,9.22666666666667,No,2022-08-03 07:06,OdooBot,
JTK02,HT-P1G1-P450/1000,STD,LR15,HT-P1G1-P450,,HT-G1-BULK,"Hair Tonic Normal to Oily Hair (Green), 450 ml",,Bulk Hair Tonic Green,NOMINAL_LINE,1,1000,1000,990,2293,2393,,,,15,LWE02,,,LPF02,,LPF02,QC BULK,,,,,BOP09B,75,,,7,,0.5,1,,,,,2.54777777777778,0.3,2,3,,,,,,1,,,,,5,-,,,,,0,1.5,,,40,10,0,20,0,10,60,35,0,terang,0,1.58333333333333,2.16666666666667,,,8.5,,,,3.71444444444444,No,2022-08-03 07:06,OdooBot,
JTK04,L-CLADC05-W/200,STD,SR09,L-CLADC05-W,,L-CLADC05-BULK,Wardah Colorfit Last All Day Lip Paint 16. Kuala Lumpur Joy,,Wardah Colorfit Last All Day Lip Paint 16. Kuala Lumpur Joy,SECONDARY_LINE,1,200,200,198,46656,47122,,,,24,SWE01,SPM09D,SRM08,SVB05,,SVB05,QC BULK,,,,,BTP03,90,1.5,3,6,,5,0.5,,,,,32.4,0.5,0.5,5,2,1,1,1,,1,,,,,9,-,0,0.5,0,1,0,3.5,,,0,0,5,10,0,0,0,0.5,0,-,0,0.258333333333333,0.258333333333333,2,4,9.5,,,,32.6583333333333,No,2022-08-12 06:41,OdooBot,
JTK04,L-CLADC05-W/80,STD,SR09,L-CLADC05-W,,L-CLADC05-BULK,Wardah Colorfit Last All Day Lip Paint 16. Kuala Lumpur Joy,,Wardah Colorfit Last All Day Lip Paint 16. Kuala Lumpur Joy,SECONDARY_LINE,1,80,80,77,17856,18034,,,,24,SWE01,SPM09D,SRM08,SVB03,,SVB03,QC BULK,,,,,BTP03,60,1,2.25,5,,5,0.5,,,,,12.4,0.5,0.5,5,2,1,1,1,,1,,,,,9,-,0,0.5,0,1,0,2.5,,,0,0,5,10,0,0,0,0.5,0,-,0,0.258333333333333,0.258333333333333,1.5,3.25,7.5,,,,12.6583333333333,No,2022-08-12 06:41,OdooBot,
JTK04,L-CLADC05-W/15,STD,SR09,L-CLADC05-W,,L-CLADC05-BULK,Wardah Colorfit Last All Day Lip Paint 16. Kuala Lumpur Joy,,Wardah Colorfit Last All Day Lip Paint 16. Kuala Lumpur Joy,NOMINAL_LINE,1,15,15,14,3048,3200,,,,18,SWE01,SPM03D,SRM06,SVB01,,SVB01,QC BULK,,,,,BTP02,60,1,1.5,3,,5,0.5,,,,,2.82222222222222,0.5,0.5,5,2,1,1,,,1,,,,,8,-,0,0,0,0.5,0,1.25,,,0,0,5,10,0,0,0,0.5,0,-,0,0.258333333333333,0.258333333333333,1,2,4.25,,,,3.08055555555556,No,2022-08-12 06:41,OdooBot,
JTK02,SRM-DB-WL/600,STD,LR02,SRM-DB-WL,,SRM-DB-BULK,Wonderly Advanced Brightening Face Serum 15 ml,,Wonderly Advanced Brightening Face Serum,SECONDARY_LINE,1,600,600,570,30632,35860,,,12,14,LWE01,,,LVB05,,LVB05,QC BULK,,,,EMP03B,BOP05,60,,,5,,0,1,,,,42.5444444444444,36.4666666666667,0.3,2,7,,,,,,1,,,,3,8,-,,,,,0,2,,,30,60,0,70,0,60,0,30,0,gelap,0,4.16666666666667,4.16666666666667,,,7,,,46.7111111111111,40.6333333333333,No,2022-08-25 03:19,Fawziah Ghina Saraswati,
JTK02,SRM-DB-WL/200,STD,LR02,SRM-DB-WL,,SRM-DB-BULK,Wonderly Advanced Brightening Face Serum 15 ml,,Wonderly Advanced Brightening Face Serum,NOMINAL_LINE,1,200,200,185,10872,11416,,,12,14,LWE01,,,LVL07,,LVL07,QC BULK,,,,EMP03B,BOP05,60,,,3,,0,1,,,,15.1,12.9428571428571,0.3,2,7,,,,,,1,,,,3,8,-,,,,,0,1,,,30,20,0,30,0,20,0,30,0,terang,5,2.16666666666667,2.16666666666667,,,4,,,17.2666666666667,15.1095238095238,No,2022-08-25 03:19,Fawziah Ghina Saraswati,
JTK02,POTS-NLPS2REV17-P/0,SFGPack,LR13,POTS-NLPS2REV17-P,,,Pot Sticker Neutral Platinum Rev-1 720 ml Putri,,,NOMINAL_LINE,,0,0,0,1,1,,4,,,,,,,,,QC BULK,,LBL06,,,,,,,,,0,0,,0.00416666666666667,,,,0,0,5,,,,,,1,,1,,,,-,,,,,,,,,10,0,0,10,0,10,0,0,0,-,2,0.5,0.5,,,,0.504166666666667,,,,No,2022-03-22 16:14,OdooBot,
JTK02,POTS-NLPS2REV17-P/0,SFGPack,LR13,POTS-NLPS2REV17-P,,,Pot Sticker Neutral Platinum Rev-1 720 ml Putri,,,NOMINAL_LINE,,0,0,0,1,1,,4,,,,,,,,,QC BULK,,LBL04,,,,,,,,,0,0,,0.00416666666666667,,,,0,0,5,,,,,,1,,1,,,,-,,,,,,,,,10,0,0,10,0,10,0,0,0,-,2,0.5,0.5,,,,0.504166666666667,,,,No,2022-03-22 16:14,OdooBot,
JTK02,F-L04VC-OMG/400,STD,LR05,F-L04VC-OMG,,F-L04-BULK,OMG Oh My Glam Coverlast Liquid Foundation 32 N Natural,,OMG Oh My Glam Coverlast Liquid Foundation 32 N Natural,NOMINAL_LINE,1,400,400,375,13804,14495,,,,11,LWE01,LMX01A,LRM01,LVL01,,LVL01,QC BULK,,,,,BOP10,60,2,5,7,,3,1,,,,,20.9151515151515,,,5,,,,,,1,,,,,11,-,0,1,0,2,0,3,,,30,20,0,30,0,20,0,60,0,gelap,0,2.66666666666667,2.66666666666667,3,7,10,,,,23.5818181818182,Yes,2022-04-19 02:27,Suniarsih Utami,
JTK04,L-PS08-MO/100,STD,SR09,L-PS08-MO,,L-PS08-BULK,MAKE OVER Powerstay Superlast Lip Cream 08 6 g,,MAKE OVER Powerstay Superlast Lip Cream 08,NOMINAL_LINE,1,100,100,98,14846,15142,,,,36,SWE01,SPM09D,SRM08,SVB04,,SVB04,QC BULK,,,,,BTP03,90,1,2.25,5,,5,0.5,,,,,6.87314814814815,0.5,2,5,2,1,1,1,,1,,,,,11,-,0,0.5,0,1,0,3,,,0,0,5,10,0,0,0,0.25,0,-,0,0.254166666666667,0.254166666666667,1.5,3.25,8,,,,7.12731481481481,No,2022-08-12 06:41,OdooBot,
JTK04,BOTP-CVMPB13R0-W/0,SFGPack,SR12,BOTP-CVMPB13R0-W,,,"Bottle CVM Lip Mousse Printed Barmark 13 Wardah,Penambahan Printing Barmark di PTI",,,NOMINAL_LINE,,0,0,0,9986,9986,,6,,,,,,,,,QC BULK,,SMPL01,,,,,,,,,0,0,,27.7388888888889,,,,0,0,3,,,,,,1,,3,,,,-,,,,,,,,,0,0,5,10,0,0,0,0,0,-,,0.25,0.25,,,,27.9888888888889,,,,No,2022-03-22 16:14,OdooBot,
JTK02,BOTP-PCSHLE450R-P/0,SFGPack,LR13,BOTP-PCSHLE450R-P,,,Botol Print Pure Clean Shampoo Lemon 450 ml Rev-1 Putri,,,NOMINAL_LINE,,0,0,0,1,1,,5.5,,,,,,,,,QC BULK,,MPL02,,,,,,,,,0,0,,0.00303030303030303,,,,0,0,5,,,,,,1,,2,,,,-,,,,,,,,,30,0,0,10,0,10,0,0,,-,,0.833333333333333,0.833333333333333,,,,0.836363636363636,,,,No,2022-03-22 16:14,OdooBot,
JTK01,TC-FC-MO14G/32,MULTIPLEBULK,PR03,TC-FC-MO14G,TC-FCK1&214GRRN-MO,TC-FC-MO-BULK,MAKE OVER Face Contour Kit 14 g (Pc(s)),Two Way Cake Face Contour Kit 01 dan 02 14gr Refil Make Over (Pc(s)),Face Contour Kit Coklat,NOMINAL_LINE,1,32,18,18,1440,1483,2,,,4,PWE02,,,PSM07,PVT07,PSM07,QC BULK,PMS01,,PEP01,,PCP01,55,,,2,2,3,0.5,1,,12,,6,0.5,14,5,2,,,1,1,1,1,,3,,2,Non Pearlize,,,,,0,0.75,0,1.5,0,0,5,0,0,5,0,15,0,-,0,0.416666666666667,0.416666666666667,,,2.75,,12.4166666666667,,6.41666666666667,No,2022-07-22 00:36,Maryam Hadi,
JTK01,TC-FC-MO14G/32,MULTIPLEBULK,PR03,TC-FC-MO14G,TC-FCK1&214GRRN-MO,TC-FC02-MO-BULK,MAKE OVER Face Contour Kit 14 g (Pc(s)),Two Way Cake Face Contour Kit 01 dan 02 14gr Refil Make Over (Pc(s)),Face Contour Kit Putih Tulang,NOMINAL_LINE,2,32,14,14,1440,1483,2,,,4,PWE02,,,PSM07,PVT07,PSM07,QC BULK,PMS01,,PEP01,,PCP01,50,,,2,1.5,1.5,0.5,1,,12,,6,0.5,14,5,2,,,1,1,1,1,,3,,2,Non Pearlize,,,,,0,0.75,0,1.5,0,0,5,0,0,5,0,15,0,-,0,0.416666666666667,0.416666666666667,,,2.75,,12.4166666666667,,6.41666666666667,No,2022-07-22 00:36,Maryam Hadi,
JTK02,CUS-EFC03C-W/150,STD,LR05,CUS-EFC03C-W,,CUS-EFC03-BULK,Wardah Exclusive Flawless Cover Cushion Collab 03 Sandy Beige 15 g,,Exclusive flawless cover cushion 03 sandy beige,SECONDARY_LINE,1,150,150,135,7776,8010,,,,12,LWE02,LMX01A,LRM01,LVL07,,LVL07,QC BULK,,,,,CUP01,70,2,5,10,,3,1,,,,,10.8,0.3,2,5,,,,,,1,,,,,12,-,0,1.5,0,1.5,0,3.5,,,30,10,0,20,0,10,0,60,0,gelap,0,2.16666666666667,2.16666666666667,3.5,6.5,13.5,,,,12.9666666666667,No,2022-08-25 08:51,Odilia Indira Saraswati,
JTK02,CUS-EFC03C-W/50,STD,LR05,CUS-EFC03C-W,,CUS-EFC03-BULK,Wardah Exclusive Flawless Cover Cushion Collab 03 Sandy Beige 15 g,,Exclusive flawless cover cushion 03 sandy beige,NOMINAL_LINE,1,50,50,45,2500,2575,,,,12,LWE02,LMX01A,LRM01,LVL05,,LVL05,QC BULK,,,,,CUP01,70,3,2.5,12,,3,1,,,,,3.47222222222222,0.3,2,5,,,,,,1,,,,,12,-,0,1.5,0,1.5,0,3.5,,,30,0,0,10,0,0,0,60,0,gelap,0,1.66666666666667,1.66666666666667,4.5,4,15.5,,,,5.13888888888889,No,2022-08-25 08:51,Odilia Indira Saraswati,
JTK01,B-PT04-MO35G/60,STD,PR01,B-PT04-MO35G,,B-PT04-BULK,MAKE OVER Silky Smooth Translucent Powder 04 Toffee 35 g (Pc(s)),,Silky Smooth Translucent Powder 04 Toffee,NOMINAL_LINE,1,60,60,60,1598,1646,,,,28,PWE01,,,PSM03,PVT03,PSM03,QC BULK,RUSSEL02,,,,LPP03,65,,,2.5,1.25,2,0.5,1,,,,0.951190476190476,0.5,0,3,2,,,1,1,1,1,,,,8,Pearlize,,,,,0.25,0.75,0.5,0.75,15,0,5,0,0,5,0,30,0,-,0,0.916666666666667,0.916666666666667,,,3.25,,,,1.86785714285714,No,2022-08-12 06:41,OdooBot,
JTK01,B-PT04-MO35G/20,STD,PR01,B-PT04-MO35G,,B-PT04-BULK,MAKE OVER Silky Smooth Translucent Powder 04 Toffee 35 g (Pc(s)),,Silky Smooth Translucent Powder 04 Toffee,SECONDARY_LINE,1,20,20,20,510,525,,,,28,PWE01,,,PSM06,PVT06,PSM06,QC BULK,RUSSEL02,,,,LPP03,65,,,2.25,1.25,2,0.5,1,,,,0.303571428571429,0.5,0,3,2,,,1,1,1,1,,,,8,Pearlize,,,,,0.25,0.75,0.5,0.75,15,0,5,0,0,5,0,30,0,-,0,0.916666666666667,0.916666666666667,,,3,,,,1.2202380952381,No,2022-08-12 06:41,OdooBot,
JTK01,DUSS-DMCP04R0-E/0,SFGPack,PR16,DUSS-DMCP04R0-E,,,Dus Sticker Daily Matte Compact Powder 04 Mocca E,,,NOMINAL_LINE,,0,0,0,24876,25622.28,,15,,,,,,,,,QC BULK,,PLB01,,,,,,,,,0,0,,27.64,,,,0.5,0,2,,,,,,1,,1,,,,-,,,,,,,,,0,0,10,0,0,10,0,30,0,-,,0.833333333333333,0.833333333333333,,,,28.4733333333333,,,,No,2022-05-24 06:44,OdooBot,
JTK06,MY-TLEMC10-W4G/0,STD,RR01,MY-TLEMC10-W4G,,,Wardah Tester Exclusive Matte Lip Cream 10 Berry Pretty 4 g,,,NOMINAL_LINE,,0,0,0,1,1,,,,72,,,,,,,QC BULK,,,,,VMP10,,,,,,0,0,,,,,0.00166666666666667,0.5,2,3,,,,,,1,,,,,3,-,,,,,,,,,,,30,,,,,,,-,6,0.5,0.5,,,,,,,0.501666666666667,No,2022-03-22 16:14,OdooBot,
JTK06,MY-LNLCE-EM/0,STD,RR01,MY-LNLCE-EM,,,Malaysia Emina Poppin’ Matte 05 Easy Peasy,,,NOMINAL_LINE,,0,0,0,425,425,,,,6,,,,,,,QC BULK,,,,,VMP10,,,,,,0,0,,,,,1.18055555555556,0.5,2,3,,,,,,1,,,,,2,-,,,,,,,,,,,15,,,,,,,-,,0.25,0.25,,,,,,,1.43055555555556,No,2022-03-22 16:14,OdooBot,
JTK01,TC-W3ELLB1-W12G/60,STD,PR01,TC-W3ELLB1-W12G,,TC-W1C1-BULK,Wardah Evd Lum Two Way Cake 01 Light Beige 12 g (Pc(s)),,Luminous Two Way Cake 01,NOMINAL_LINE,1,60,60,60,4896,5043,,,,50,PWE01,,,PSM04,PVT05,PSM04,QC BULK,RUSSEL01,,,,PNP01,65,,,3.5,1.5,3,0.5,1,,,,1.632,0.5,0,4,2,,,1,1,1,1,,,,11,Non Pearlize,,,,,0.5,1,0,1.5,15,0,5,0,3,5,0,35,0,-,0,1.05,1.05,,,4.5,,,,2.682,No,2022-08-31 23:05,Maryam Hadi,
JTK02,FMI-MS-KA/80,STD,LR02,FMI-MS-KA,,FMI-MS-BULK,Kahf Everyday Multipurpose Refreshing Spray 100 ml,,Kahf Everyday Multipurpose Refreshing Spray,NOMINAL_LINE,1,80,80,75,735,835,,,5,0,LWE02,,,LMX02,,LMX02,QC BULK,,,,LLM04,BOP04,30,,,3,,0,1,,,,2.45,,0.3,2,5,,,,,,1,,,,2,,-,,,,,0,1,,,30,0,0,10,0,0,0,30,0,gelap,0,1.16666666666667,1.16666666666667,,,4,,,3.61666666666667,,No,2022-08-03 07:06,Administrator,
JTK02,BOTO-SBMRF10R0-EM/0,SFGPack,LR13,BOTO-SBMRF10R0-EM,,,Botol+Shrink Body Mist Rain Forest 10 E (Pc(s)),,,NOMINAL_LINE,,0,0,0,1,1,,6.5,,,,,,,,,QC BULK,,LBL06,,,,,,,,,0,0,,0.00256410256410256,,,,0,0,5,,,,,,1,,1,,,,-,,,,,,,,,10,0,0,10,0,10,0,0,,-,,0.5,0.5,,,,0.502564102564103,,,,No,2022-03-22 16:14,OdooBot,
JTK02,BOTO-SBMRF10R0-EM/0,SFGPack,LR13,BOTO-SBMRF10R0-EM,,,Botol+Shrink Body Mist Rain Forest 10 E (Pc(s)),,,NOMINAL_LINE,,0,0,0,1,1,,6.5,,,,,,,,,QC BULK,,LBL05,,,,,,,,,0,0,,0.00256410256410256,,,,0,0,5,,,,,,1,,1,,,,-,,,,,,,,,10,0,0,10,0,10,0,0,,-,,0.5,0.5,,,,0.502564102564103,,,,No,2022-03-22 16:14,OdooBot,
JTK02,MY-MLNCN2-W/1000,STD,LR15,MY-MLNCN2-W,,M-LNCN-BULK,Malaysia Wardah Lightening Night Cream Advanced Niacinamide 30 g,,Lightening Night Cream Advanced Niacinamide,NOMINAL_LINE,1,1000,1000,1000,30192,31098,,,,30,LWE01,,,LVL03,,LVL03,QC BULK,,,,,JAP03,85,,,4.5,,0,1,,,,,16.7733333333333,0.3,2,5,,,,,,1,,,,,13,-,,,,,0,2.5,,,40,20,0,30,0,20,60,70,0,gelap,0,3,4,,,7,,,,19.7733333333333,No,2022-08-03 07:06,Administrator,
JTK06,L-TIM03-W2.3G/0,STD,RR01,L-TIM03-W2.3G,,,Wardah Tester Intense Matte Lipstick 03 Peach Perfect 2.3 g (Pc(s)),,,NOMINAL_LINE,,0,0,0,1,1,,,,10,,,,,,,QC BULK,,,,,VMP10,,,,,,0,0,,,,,0.00166666666666667,0.5,2,3,,,,,,1,,,,,3,-,,,,,,,,,,,30,,,,,,,-,1,0.5,0.5,,,,,,,0.501666666666667,No,2022-03-22 16:14,OdooBot,
JTK02,M-PSRT-MO/30,STD,LR15,M-PSRT-MO,,M-PSRT-BULK,MAKE OVER Powerskin Radiant Tinted Moisturizer 10 Light 40 ml,,MAKE OVER Powerskin Radiant Tinted Moisturizer 10 Light,NOMINAL_LINE,1,30,30,24,350,645,,,,25,LWE02,,,LVL04,,LVL04,QC BULK,,,,,BOP10,45,,,9,,4,1,,,,,0.233333333333333,0.3,2,5,,,,,,1,,,,,12,-,,,,,0,3.3,,,30,0,0,10,0,0,0,60,0,terang,0,1.66666666666667,1.66666666666667,,,12.3,,,,1.9,No,2022-08-03 07:06,Administrator,
JTK06,MY-TDDCCDL-W20ML/0,STD,RR01,MY-TDDCCDL-W20ML,,,Wardah Tester C-defense DD Cream 01 Light 20 ml,,,NOMINAL_LINE,,0,0,0,1,1,,,,10,,,,,,,QC BULK,,,,,VMP10,,,,,,0,0,,,,,0.00166666666666667,0.5,2,3,,,,,,1,,,,,3,-,,,,,,,,,,,30,,,,,,,-,1,0.5,0.5,,,,,,,0.501666666666667,No,2022-03-22 16:14,OdooBot,
JTK02,HS-NDAHHGN2-W/840,STD,LR15,HS-NDAHHGN2-W,,HS-AHHGEL-BULK,Wardah Nature Daily Aloe Hydramild Hand Sanitizer 240 ml,,Wardah Nature Daily Aloe Hydramild Hand Gel 100/240 ml Bulk,NOMINAL_LINE,1,840,840,810,3258,3358,,,,15,LWE01,,,LVB05,,LVB05,QC BULK,,,,,BOP03,24,,,4.47,,0,1,,,,,3.62,0.3,2,5,,,,,,1,,,,,6,-,,,,,0,0.3,,,40,0,0,10,0,0,60,20,0,gelap,0,1.16666666666667,2.16666666666667,,,4.77,,,,4.78666666666667,No,2022-03-22 16:14,OdooBot,
JTK02,HBL-NFSV2-WL/156,STD,,HBL-NFSV2-WL,,HBL-V2-BULK,NFS Wonderly Brightening Serum Body Lotion Royale 10 ml,,Wonderly Brightening Serum Body Lotion Royale,NOMINAL_LINE,1,156,156,141,0,0,,,,,LWE01,,,LVL07,,LVL07,QC BULK,,,,,,60,,,5,,0,1,,,,,,0.3,2,4,,,,,,1,,,,,,-,,,,,0,1.5,,,0,0,0,0,0,0,0,0,0,terang,0,0,0,,,6.5,,,,,No,2022-09-01 13:46,Odilia Indira Saraswati,Ada lebih dari 1 Bulk Size FM yang menjadi Nominal Line
JTK02,HBL-NFSV2-WL/193,STD,,HBL-NFSV2-WL,,HBL-V2-BULK,NFS Wonderly Brightening Serum Body Lotion Royale 10 ml,,Wonderly Brightening Serum Body Lotion Royale,NOMINAL_LINE,1,193,193,178,0,0,,,,,LWE01,,,LVL07,,LVL07,QC BULK,,,,,,60,,,5,,0,1,,,,,,0.3,2,4,,,,,,1,,,,,,-,,,,,0,1.5,,,0,0,0,0,0,0,0,0,0,terang,0,0,0,,,6.5,,,,,No,2022-09-01 13:46,Odilia Indira Saraswati,Ada lebih dari 1 Bulk Size FM yang menjadi Nominal Line
