FACTORY,ITEM CODE / BESAR BATCH,PROCESS TYPE,ROUTING TYPE,ITEM CODE,REFILL CODE,BULK CODE,ITEM NAME,REFILL NAME,BULK NAME,BULK SIZE PRIORITY,NUMBER OF COMPONENT,FM BULK SIZE (KG),MPQ OLAH (KG),MPQ SUPPLY KUNCI (KG),MPQ KEMAS (PCS),MPQ SUPPLY LOG (PCS),OUTPUT PRESSING (PCS/MIN),OUTPUT LABELLING (PCS/MIN),OUTPUT FILLING (PCS/MIN),OUTPUT FILLING/PACKING (PCS/MIN),LINE CODE WEIGHING,LINE CODE PREMIX,LINE CODE MILLING,LINE CODE MIXING,LINE CODE GRINDING,LINE CODE ADJUST,LINE CODE QC BULK,LINE CODE SIEVING,LINE CODE LABELLING,LINE CODE PRESSING,LINE CODE FILLING,LINE CODE FILLING/PACKING,LEADTIME WEIGHING (MIN),LEADTIME PREMIX (HOUR),LEADTIME MILLING (HOUR),LEADTIME MIXING (HOUR),LEADTIME GRINDING (HOUR),LEADTIME ADJUST (HOUR),LEADTIME QC BULK (HOUR),LEADTIME SIEVING (HOUR),LEADTIME LABELLING (HOUR),LEADTIME PRESSING (HOUR),LEADTIME FILLING (HOUR),LEADTIME FILLING/PACKING (HOUR),LEADTIME QC FG (HOUR),LEADTIME KARANTINA (HOUR),TOTAL LEADTIME (DAYS),JUMLAH OPERATOR WEIGHING,JUMLAH OPERATOR PREMIX,JUMLAH OPERATOR MILLING,JUMLAH OPERATOR MIXING,JUMLAH OPERATOR GRINDING,JUMLAH OPERATOR QC BULK,JUMLAH OPERATOR SIEVING,JUMLAH OPERATOR LABELLING,JUMLAH OPERATOR PRESSING,JUMLAH OPERATOR FILLING,JUMLAH OPERATOR FILLING/PACKING,STATUS PEARLIZE,PDT PREMIX CUCI KASAR (HOUR),PDT PREMIX CUCI BERSIH (HOUR),PDT MILLING CUCI KASAR (HOUR),PDT MILLING CUCI BERSIH (HOUR),PDT MIXING CUCI KASAR (HOUR),PDT MIXING CUCI BERSIH (HOUR),PDT GRINDING CUCI KASAR (HOUR),PDT GRINDING CUCI BERSIH (HOUR),SET UP MESIN AWAL (MIN),SET UP MESIN LANJUTAN (MIN),PERSIAPAN (MIN),HELLOM TIME (MIN),GANTI KAIN (MIN),BBM (MIN),CHANGE OVER (MIN),CUCI MESIN (MIN),PENCAIRAN BULK (MIN),WARNA BULK,ASUMSI JUMLAH SHIFT,PDT TANPA CO (HOUR),PDT DENGAN CO (HOUR),LEADTIME KOTOR PREMIX (HOUR),LEADTIME KOTOR MILLING (HOUR),LEADTIME KOTOR MIXING (HOUR),LEADTIME KOTOR LABELLING (HOUR),LEADTIME KOTOR PRESSING (HOUR),LEADTIME KOTOR FILLING (HOUR),LEADTIME KOTOR FILLING/PACKING (HOUR),SHRINK MACHINE,LAST MODIFIED ON,LAST MODIEFIED BY,NOTES
JTK06,L-W2TE29-W3.8GR/0,STD,RR01,L-W2TE29-W3.8GR,,,Wardah Tester Container Exclusive Lipstick 29 Lavender 3.8 gr (Pc(s)),,,NOMINAL_LINE,,0,0,0,1,1,,,,10,,,,,,,QC BULK,,,,,VMP10,,,,,,0,0,,,,,0.00166666666666667,0.5,2,3,,,,,,1,,,,,3,-,,,,,,,,,,,30,,,,,,,-,1,0.5,0.5,,,,,,,0.501666666666667,No,2022-03-22 16:14,OdooBot,
JTK06,MY-MLDGN1-W/0,STD,RR01,MY-MLDGN1-W,,,Malaysia Wardah Lightening Day Gel 30 g,,,NOMINAL_LINE,,0,0,0,1,1,,,,10,,,,,,,QC BULK,,,,,VMP10,,,,,,0,0,,,,,0.00166666666666667,0.5,2,5,,,,,,1,,,,,3,-,,,,,,,,,,,30,,,,,,,-,,0.5,0.5,,,,,,,0.501666666666667,No,2022-06-13 08:58,Maryam Hadi,
JTK02,CCC-CCN-EM20ML/50,STD,LR01,CCC-CCN-EM20ML,,CCC-CCN-BULK,Emina City Chic CC Cream Natural 20 ml (Pc(s)),,CC Cream Bulk (Kg),NOMINAL_LINE,1,50,50,50,1632,1732,,,5,,LWE02,,,LVL05,,LVL05,QC BULK,,,,EMP01,,75,,,6,,0,1,,,,5.44,,0.3,2,4,,,,,,1,,,,5,,-,,,,,0,2,,,15,0,0,10,0,0,0,40,0,gelap,0,1.08333333333333,1.08333333333333,,,8,,,6.52333333333333,,No,2022-03-22 16:14,OdooBot,
JTK02,FW-PBCFLS-W60ML/3000,STD,LR15,FW-PBCFLS-W60ML,,FW-PBCFLS-BULK,Wardah Perfect Bright Creamy Foam Brightening + Smoothing 60 ml (Pc(s)),,Wardah Perfect Bright Creamy Foam Brightening + Smoothing BULK,NOMINAL_LINE,1,3000,3000,2950,47881,48881,,,,60,LWE02,,,LVL06,,LVL06,QC BULK,,,,,TUP04,230,,,9,,0,1,,,,,13.3002777777778,0.3,2,4,,,,,,1,,,,,3,-,,,,,0,1.5,,,40,10,0,20,0,10,0,55,0,terang,0,2.25,2.25,,,10.5,,,,15.5502777777778,No,2022-03-22 16:14,OdooBot,
JTK02,MY-FWCDEWN2-W/1000,STD,LR02,MY-FWCDEWN2-W,,FW-CDEWN-BULK,Malaysia Wardah C-Defense Energizing Whip Foam 100 ml,,Wardah C-Defense Energizing Whip Foam,NOMINAL_LINE,1,1000,1000,1000,9765,9975,,,65,15,LWE01,,,LVB02,,LVB02,QC BULK,,,,TUP10,MIP08,120,,,7,,0,1,,,,2.50384615384615,10.85,0.3,2,5,,,,,,1,,,,3,3,-,,,,,0,1.5,,,20,0,0,10,0,0,20,0,0,gelap,1,0.5,0.833333333333333,,,8.5,,,3.00384615384615,11.35,No,2022-08-03 07:06,Administrator,
JTK02,SRM-RWSPTEN1-W/1000,STD,LR15,SRM-RWSPTEN1-W,,SRM-RWSPTE-BULK,Wardah Crystal Secret Pure Treatment Essence 50 ml,,Wardah Crystal Secret Pure Treatment Essence,NOMINAL_LINE,1,1000,1000,982,16325,16815,,,,15,LWE02,,,LHL01,,LHL01,QC BULK,,,,,BOP05,26,,,7.45,,0,1,,,,,18.1388888888889,0.3,2,5,,,,,,1,,,,,7,-,,,,,0,2,,,40,20,0,30,0,20,45,40,0,gelap,0,2.5,3.25,,,9.45,,,,20.6388888888889,No,2022-08-03 07:06,Administrator,
JTK02,WARN-TITAOTSCB-BULK/20,SFGBulk,LR19,WARN-TITAOTSCB-BULK,,,Monokrom Lipcream Titan OTS,,,NOMINAL_LINE,1,20,20,20,0,0,,,,,LWE02,,LRM02,,,,QC BULK,,,,,,30,,6,,,0,0.5,,,,,,0,0,5,,,,,,1,,,,,,-,,,0,0,,,,,0,0,0,0,0,0,0,0,0,gelap,0,0,0,,6,,,,,,No,2022-03-22 16:14,OdooBot,Ada lebih dari 1 Bulk Size FM yang menjadi Nominal Line
JTK02,WARN-TITAOTSCB-BULK/10,SFGBulk,LR19,WARN-TITAOTSCB-BULK,,,Monokrom Lipcream Titan OTS,,,NOMINAL_LINE,1,10,10,10,0,0,,,,,LWE02,,LRM02,,,,QC BULK,,,,,,30,,6,,,0,0.5,,,,,,0,0,5,,,,,,1,,,,,,-,,,0,0,,,,,0,0,0,0,0,0,0,0,0,gelap,0,0,0,,6,,,,,,No,2022-03-22 16:14,OdooBot,Ada lebih dari 1 Bulk Size FM yang menjadi Nominal Line
JTK04,L-IPMLMP12-W/80,STD,SR09,L-IPMLMP12-W,,L-IPMLMP12-BULK,Instaperfect Mattesetter Lip Matte Paint 12 The Voyage,,Wardah Instaperfect Mattesetter Lip Matte Paint 12 The Voyage,SECONDARY_LINE,1,80,80,78,13571,13843,,,,21,SWE01,SPM09D,SRM08,SVB03,,SVB03,QC BULK,,,,,BTP02,60,1,2.25,5,,5,0.5,,,,,10.7706349206349,0.5,0.5,4,2,1,1,1,,1,,,,,8,-,0,0.25,0,1,0,2.5,,,0,0,5,0,0,0,0,0.25,0,-,0,0.0875,0.0875,1.25,3.25,7.5,,,,10.8581349206349,No,2022-08-12 06:41,OdooBot,
JTK04,L-IPMLMP12-W/45,STD,SR09,L-IPMLMP12-W,,L-IPMLMP12-BULK,Instaperfect Mattesetter Lip Matte Paint 12 The Voyage,,Wardah Instaperfect Mattesetter Lip Matte Paint 12 The Voyage,SECONDARY_LINE,1,45,45,43.25,7488,7562,,,,21,SWE01,SPM07D,SRM07,SVB02,,SVB02,QC BULK,,,,,BTP02,60,1,1.75,4,,5,0.5,,,,,5.94285714285714,0.5,0.5,4,2,1,1,1,,1,,,,,8,-,0,0.5,0,0.5,0,2,,,0,0,5,0,0,0,0,0.25,0,-,0,0.0875,0.0875,1.5,2.25,6,,,,6.03035714285714,No,2022-08-12 06:41,OdooBot,
