"Korporat Code","Material Type","General Subcategory","General Accountable State","General State","Rnd Process State","Ppc State","Rnd State","Lifecycle State"
"EL-IPHBR-W","Finished Goods","Sellable","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"EL-R2IPHPB-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
"P-HU-KA","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Draft"
"P-SCPHF-KA","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"P-FC-KA","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"P-SCPIW-KA","Finished Goods","Sellable","Confirmed","Confirmed","Draft","Draft","Confirmed","Confirmed"
"P-SCPRO-KA","Finished Goods","Sellable","Confirmed","Confirmed","Draft","Draft","Confirmed","Confirmed"
"P-SCPTB-KA","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"M-BRERC-L","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"BRUS-EXF-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
"BRUS-EXP-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
"PUFF-EXS-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
"L-IMC021-MO6,5G","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Draft","Confirmed"
"L-IMC022-MO6,5G","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Draft","Confirmed"
"EB-PRBP1-MO","Finished Goods","Sellable","Confirmed","Confirmed","Draft","Draft","Draft","Confirmed"
"EB-PRBP2-MO","Finished Goods","Sellable","Confirmed","Confirmed","Draft","Draft","Draft","Confirmed"
"EB-PRBP3-MO","Finished Goods","Sellable","Confirmed","Confirmed","Draft","Draft","Draft","Confirmed"
"CUS-RVPDMCC21-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
"CUS-RVPDMCC51-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
"CUS-RVPDMCN10-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
"CUS-RVPDMCN30-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
"CUS-RVPDMCN50-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
"CUS-RVPDMCW22-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
"CUS-RVPDMCW30-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
"CUS-RVPDMCW33-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
"CUS-RVPDMCW41-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
"CUS-RVPDMCW42-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
"F-LPWC21-MO33ML","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"F-LPWFC31-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"F-LPWC41-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"F-LPWC62-MO33ML","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"F-LPWN10-MO33ML","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"F-LPWN20-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"F-LPWN30-MO33ML","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"F-LPWN40-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"F-LPWN50-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"F-LPWW22-MO33ML","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"F-LPWW30-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"F-LPWW33-MO33ML","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"F-LPWW41-MO33ML","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"F-LPWW42-MO33ML","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"F-LPWW50-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"F-LPWW60-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"ES-BS-MOR3,5G","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"P-BIGA23-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Draft","Confirmed"
"P-SMB23-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"ES-PEPFTG-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
"ES-PEP24K-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
"F-LPWFWC51-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"F-LPWW12-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"F-LPWW21-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"F-LPWW32-MO","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"MY-FTCHG-W","Finished Goods","Sellable","Waiting for Approval","Waiting for Approval","Confirmed","Confirmed","Confirmed","Confirmed"
"MY-ELELT-EM","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Draft"
"MY-FTBSE-EM","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"MY-MBSNC-EM","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"MY-MASKCLV-EM","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Draft"
"MY-LCM01-EM","Finished Goods","Sellable","Confirmed","Confirmed","Waiting for Approval","Confirmed","Confirmed","Confirmed"
"MY-LGS06-EM","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Draft"
"MY-LGS07-EM","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Draft"
"MY-LGS08-EM","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Draft"
"MY-LGS09-EM","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Draft"
"MY-LGS10-EM","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Draft"
"MY-LBLMMC-EM","Finished Goods","Sellable","Confirmed","Confirmed","Waiting for Approval","Confirmed","Confirmed","Confirmed"
"MY-MMPNG-EM","Finished Goods","Sellable","Confirmed","Confirmed","Draft","Draft","Draft","Confirmed"
"MY-SSSBAS-EM","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Draft"
"MY-EBRIPBA-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Draft"
"MY-EBRIPBB-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Draft"
"MY-EBIPEM03-W","Finished Goods","Sellable","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"MY-EBIPEM04-W","Finished Goods","Sellable","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"MY-EBIPEM05-W","Finished Goods","Sellable","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"MY-EBRIPEM01-W","Finished Goods","Sellable","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"MY-EBRIPEM02-W","Finished Goods","Sellable","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"MY-LRIPEI01-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"MY-LRIPEI02-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"MY-LRIPEI03-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"MY-LRIPEI04-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"MY-LRIPEI05-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"MY-LRIPEI06-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"MY-LRIPEI07-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"MY-LRIPEI08-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"MY-ELR2IPHPB-W","Finished Goods","Sellable","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"MY-LRRIPLMP01-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"MY-LRRIPLMP02-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"MY-LRRIPLMP03-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"MY-LRRIPLMP04-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"MY-LRRIPLMP05-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"MY-LRRIPLMP06-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"MY-LRRIPLMP07-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"MY-LRRIPLMP08-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"MY-LRRIPLMP09-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"MY-ESIPB-W","Finished Goods","Sellable","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"MY-ESIPA-W","Finished Goods","Sellable","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"MY-HBWR-KA","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Draft"
"MY-FTKFT-KA","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Draft"
"MY-DRRO-KA","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Draft","Draft"
"MY-HBWEB-KA","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Draft"
"MY-SRMFS-KA","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Draft"
"MY-DRO01-KA","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Draft","Draft"
