Process code;Routing Type;Item code;Refill code;Bulk code;Bulk size;Bulk size_FM;Priority;Filling/Packing line code;Filling/Packing ALT;Filling/Packing loss rate;Filling/Packing production rate;Filling/Packing production rate with change over;Efficiency of Packing;Pressing code;Pressing ALT.;Pressing loss rate;Pressing production rate;Pressing production rate with change over;Efficiency of Pressing;Shieving code;Shieving ALT.;Shieving loss rate;Shieving production rate;Shieving production rate with change over;Efficiency of Shieving;Grinding code;Grinding ALT.;Grinding loss rate;Grinding production rate;Grinding production rate with change over;Efficiency of Grinding;Mixing code;Mixing ALT.;Mixing loss rate;Mixing production rate;Mixing production rate with change over;Efficiency of Mixing;Weighing code;Weighing ALT.;Weighing loss rate;Weighing production rate;Weighing production rate with change over;Efficiency of Weighing;Labelling line code;Labelling ALT;Labelling loss rate;Labelling production rate;Labelling production rate with change over;Efficiency of Labelling
COPACKING;PR03;ES-W1A-W3,3GR;ES-W1A-03-RP-W1,1GR;ES-W1A-03_BULK;14;42;NOMINAL_LINE;PCP02;1;0;240;230;0.96;PEP06;3;0;3480;2167.17;0.62;PMS02;1;0;1;1;1;PMG05;1;0;0.67;0.33;0.5;PSM15;1;0;0.57;0.36;0.64;PWE02;1;0;1.5;1.5;1;;;;;;
COPACKING;PR03;ES-W1G-W3,3GR;ES-W1G-01-RP-W1,1GR;ES-W1G-01_BULK;3;9;NOMINAL_LINE;PCP02;1;0;240;223;0.93;PEP03;1;0;1800;864;0.48;PMS02;1;0;1;1;1;PMG04;1;0;0.67;0.33;0.5;PSM09;1;0;0.67;0.4;0.6;PWE02;1;0;1.5;1.5;1;;;;;;
COPACKING;PR17;ES-W1G-W3,3GR;ES-W1G-02-RP-W1,1GR;ES-W1G-02_BULK;3;9;NOMINAL_LINE;PCP02;1;0;240;223;0.93;PEP03;2;0;1800;864;0.48;PMS02;1;0;1;1;1;;;;;;;PSM12;1;0;0.4;0.29;0.71;PWE02;1;0;1.5;1.5;1;;;;;;
COPACKING;PR17;ES-W1G-W3,3GR;ES-W1G-03-RP-W1,1GR;ES-W1G-03_BULK;3;9;NOMINAL_LINE;PCP02;1;0;240;223;0.93;PEP03;3;0;1800;864;0.48;PMS02;1;0;1;1;1;;;;;;;PSM12;1;0;0.4;0.29;0.71;PWE02;1;0;1.5;1.5;1;;;;;;
COPACKING2FACTORY;PR14;FA-CLFLMHCP-W;FA-CLFLMHCP-RP-W4GR;FA-CLFLMHCP-BULK;3;3;SECONDARY_LINE;;;;;;;PEP03;1;0;1200;708.2;0.59;PMS01;1;0;1;1;1;PMG02;1;0;0.67;0.33;0.5;PSM10;1;0;0.5;0.33;0.67;PWE02;1;0;1.2;1.2;1;;;;;;
COPACKING2FACTORY;PR14;FA-CLFLMHCP-W;FA-CLFLMHCP-RP-W4GR;FA-CLFLMHCP-BULK;80;80;NOMINAL_LINE;;;;;;;PEP04;1;0.3088;1200;1082.54;0.9;RUSSEL01;1;0;1;1;1;PVT08;1;0;0.5;0.29;0.57;PSM05;1;0;0.19;0.16;0.84;PWE02;1;0;1.09;1.09;1;;;;;;
COPACKING2FACTORY;PR14;FA-CLFMDHCP-W;FA-CLFMDHCP-RP-W4GR;FA-CLFMDHCP-BULK;3;3;SECONDARY_LINE;;;;;;;PEP03;1;0;1200;708.2;0.59;PMS01;1;0;1;1;1;PMG02;1;0;0.67;0.33;0.5;PSM10;1;0;0.5;0.33;0.67;PWE02;1;0;1.33;1.33;1;;;;;;
COPACKING2FACTORY;PR14;FA-CLFMDHCP-W;FA-CLFMDHCP-RP-W4GR;FA-CLFMDHCP-BULK;60;60;NOMINAL_LINE;;;;;;;PEP04;1;0.3016;1200;1053.66;0.88;RUSSEL01;1;0;1;1;1;PVT08;1;0;0.5;0.29;0.57;PSM05;1;0;0.19;0.16;0.84;PWE02;1;0;1.2;1.2;1;;;;;;
PRESSTHENFILLINGPACKING;PR03;FA-CLHP-EM;FA-CLHP-RP-EM3,8GR;FA-CLHP-BULK;14;14;SECONDARY_LINE;PCP04;1;0;240;229;0.96;PEP03;1;0.1749;600;494.31;0.82;PMS01;1;0;1;1;1;PMG05;1;0;0.67;0.33;0.5;PSM15;1;0;0.57;0.36;0.64;PWE02;1;0;1.2;1.2;1;;;;;;
PRESSTHENFILLINGPACKING;PR03;FA-CLHP-EM;FA-CLHP-RP-EM3,8GR;FA-CLHP-BULK;9;9;NOMINAL_LINE;PCP02;1;0;240;221;0.92;PEP03;1;0.3244;600;426.67;0.71;PMS01;1;0;1;1;1;PMG05;1;0;0.67;0.33;0.5;PSM15;1;0;0.57;0.36;0.64;PWE02;1;0;1.2;1.2;1;;;;;;
