"Korporat Code","Variant Seller/Vendor/Reference","Variant Seller/Delivery Lead Time","Variant Seller/QC Leadtime in days"
"BOTO-COS10-W","2200151","9","2"
"","2200151","9","2"
"BOTO-CPRLR0-W","2200120","14","2"
"","2200120","14","2"
"","2200120","14","2"
"","2200120","14","2"
"","2200120","14","2"
"","2200120","14","2"
"","2200120","14","2"
"BOTO-DFS170-WHDPE","2200019","8","2"
"BOTO-DFS170IIR0-WHDP","","",""
"BOTO-DFS170R1-WHDPE","2200019","8","2"
"","2200028","8","2"
"","2200028","8","2"
"BOTO-EDTP2-K","2302356","11","2"
"BOTO-EMLCAC-W","2200044","4","2"
"BOTO-EHBW-K","2200036","4","2"
"","2200036","4","2"
"","2200036","4","2"
"","2200036","4","2"
"BOTO-EAHS5-WHDPE","2200014","4","2"
"BOTO-EHYDRAR0-WHDPE","2200014","4","2"
"BOTO-ELSAR1-W","2200014","4","2"
"","2200014","4","2"
"BOTO-ELSAR0-W","2200014","4","2"
"BOTO-ELIG5RC-WLDHD","2200014","4","2"
"BOTO-ELFSRCS-WLDHD","2200014","4","2"
"BOTO-EWHPS5-WHDPE","2200014","4","2"
"BOTO-EO10-B","","",""
"BOTO-ECLT01R1-WPETM","2200120","14","2"
"","2200120","14","2"
"BOTO-ECLT01R0-WPETM","2200120","14","2"
"BOTO-ECLT02R1-WPETM","2200120","14","2"
"","2200120","14","2"
"BOTO-ECLT02R0-WPETM","2200120","14","2"
"BOTO-ECLT03R1-WPETM","2200120","14","2"
"","2200120","14","2"
"BOTO-ECLT03R0-WPETM","2200120","14","2"
"BOTO-EMLSR0-W","2200089","4","2"
"","2200089","4","2"
"","2200089","4","2"
"","2200089","4","2"
"","2200089","4","2"
"","2200089","4","2"
"","2200089","4","2"
"","2200089","4","2"
"","2200089","4","2"
"","2200089","4","2"
"","2200089","4","2"
"","2200089","4","2"
"","2200089","4","2"
"","2200089","4","2"
"BOTO-EMLNSR0-W","2200089","4","2"
"","2200089","4","2"
"","2200089","4","2"
"BOTO-EMLCR1-W","2200044","6","2"
"","2200044","6","2"
"BOTO-EMLCR0-W","2200044","6","2"
"BOTO-EXBLSR0-W","2200163","10","2"
"","2200163","10","2"
"","2200163","10","2"
"","2200163","10","2"
"BOTO-EXLWMR0-W","2200120","11","2"
"","2200120","11","2"
"","2200120","11","2"
"BOTO-GBMC100-L","2200008","4","2"
"BOTO-GBMC225-X","2200001","10","2"
"","2200001","10","2"
"","2200001","10","2"
"","2200001","10","2"
"","2200001","10","2"
"","2200001","10","2"
"BOTO-GAFBR0-MO","","",""
"BOTO-GAATS15-W","","",""
"BOTO-GABHSR0-K","2200025","15","2"
"BOTO-GABSR0-K","2200113","15","2"
"","2200025","15","2"
"BOTO-GNBO5-K","2306553","3","2"
"BOTO-GCBCS20R0-BL","2308295","12","2"
"BOTO-GCBE6R0-W","2200119","15","2"
"","2200151","15","2"
"BOTO-CTKBE10-W","2200151","15","2"
"","2200151","15","2"
"","2200151","15","2"
"","2200119","15","2"
"BOTO-GCSROSR0-W","2200025","15","2"
"","2200113","15","2"
"","2200113","15","2"
"","2200025","15","2"
"BOTO-GDRFTS120-CL","","",""
"BOTO-GEDTHF-K","2306553","6","2"
"","2306553","6","2"
"BOTO-GEDTIW-K","2306553","17","2"
"","2306553","6","2"
"","2306553","6","2"
"BOTO-GEDTRO-K","2306553","17","2"
"","2306553","6","2"
"","2306553","6","2"
"BOTO-GEDTTB-K","2306553","17","2"
"","2306553","6","2"
"BOTO-GFSBA15R0-GG","2200151","16","2"
"","2200151","18","2"
"","2200151","14","2"
"","2200151","18","2"
"","2200151","14","2"
"","2200151","16","2"
"","2200151","18","2"
"","2200151","14","2"
"","2200151","16","2"
"BOTO-GFSDB15R0-GG","2200151","19","2"
"","2200151","21","2"
"","2200151","14","2"
"","2200151","14","2"
"","2200151","19","2"
"","2200151","21","2"
"","2200151","14","2"
"","2200151","19","2"
"","2200151","21","2"
"BOTO-GMUCLT2-CL","","",""
"BOTO-GMUCLT-W","2306553","15","2"
"","2306553","15","2"
"BOTO-GMUCSF-W","","",""
"BOTO-GSC15-GG","2200151","15","2"
"BOTO-GSF15-GG","2200151","15","2"
