Product Korporat Code,BoM Lines/Product Template/Korporat Code
M-GSSNG-L,DUS-GBSNG50R0-L
M-GSSNG-L,M-GSSNG-BULK
M-GSSNG-L,TUBE-GBSNG50R0-L
M-GSSNG-L,STIC-SEALR0-L
M-GSSNG-L,KB-LABAR0-L
M-GSSNG-L,STIC-SEPOR0-X
M-GSSNG-L,PART-UBT50-L
MY-FACLFLMHCP-W,FA-CLFLMHCP-W
MY-FACLFLMHCP-W,STIC-PALLCR1-WM
MY-FACLFLMHCP-W,KB-WBG150R2-W
SRM-RRYIS-W,SRM-RRYUMS-BULK
SRM-RRYIS-W,BOTO-PSFRYIS15-W
SRM-RRYIS-W,PU-PSFBRYIS-W
SRM-RRYIS-W,CAP-PSFBRIS-W
FT-PHASN2-EM,STIC-SMPASFT100R1-E
FT-PHASN2-EM,PLU-PPBLANCT-X
FT-PHASN2-EM,BOTO-PETRF100C-X
FT-PHASN2-EM,FT-PHASN2-BULK
FT-PHASN2-EM,CAP-BSFT100-E
FT-PHASN2-EM,KB-EAR0-KMM125
ES-TGE-MO6G,STIC-BCESTGEMO-PW1W3
ES-TGE-MO6G,PO-TWCMOC105-9288T1P
ES-TGE-MO6G,STIC-BTESGER1-MOMSF
ES-TGE-MO6G,CONT-ESLB3MOASA-2PSC
ES-TGE-MO6G,KB-MOTWC3252-K150M12
ES-TGE-MO6G,PLAS-DMESBOR0-MO
ES-TGE-MO6G,KUAS-ESMO2KSNBR-THG
ES-TGE-MO6G,ES-SGOF2GRNFS-MO
ES-TGE-MO6G,ES-SGG2GRNFS-MO
ES-TGE-MO6G,ES-SGCY2GRNFS-MO
ES-TGE-MO6G,DUS-TESR2-MO
MY-BPRHEDT-KA,BP-RHEDT-BULK
MY-BPRHEDT-KA,BOTO-GEDTRO-K
MY-BPRHEDT-KA,PU-CEDT-K
MY-BPRHEDT-KA,PU-SEDT-K
MY-BPRHEDT-KA,CAP-PEDT-K
MY-BPRHEDT-KA,DUS-EDTROR0-K
MY-BPRHEDT-KA,STIC-PACMGR1-WM
MY-BPRHEDT-KA,KB-KAHFAR0-K
SRM-RLSAN2-W,TUBE-LSAR1-W
SRM-RLSAN2-W,SRM-LSA-BULK
SRM-RLSAN2-W,KB-GKMK-W
SRM-RLSAN2-W,PAP-LSAR0-WPETASTI
SRM-RLSAN2-W,PLAS-VCBSS-EPET
MY-FWLWFN2-W,FW-LWF-BULK
MY-FWLWFN2-W,TUBE-LWFF100R0-WPBL
MY-FWLWFN2-W,STIC-PAAR1-WM
MY-FWLWFN2-W,KB-WT100R1-KMM125BF
M-LNCN1-W,KB-WLS20R2-KMK125CF
M-LNCN1-W,DUS-LNC20RLR1-W
M-LNCN1-W,M-LNCN-BULK
M-LNCN1-W,TUBE-LNC20RLPBLOB-W
CUS-EFC01-W,CUS-EFC01-BULK
CUS-EFC01-W,CONT-ICEFCCR0-W
CUS-EFC01-W,CONT-REFCCR0-W
CUS-EFC01-W,CONT-EFCCR0-W
CUS-EFC01-W,ISPO-IPE4712R0-X
CUS-EFC01-W,PUFF-EFCCR0-W
CUS-EFC01-W,STIC-BEFCC01R0-W
CUS-EFC01-W,STIC-SEFCCR1-W
CUS-EFC01-W,DUS-EFCC01R2-W
CUS-EFC01-W,KB-WIPSKMMR1-W
L-CVM010-W,L-CVM010-BULK
L-CVM010-W,BOTO-CVML10R1-W
L-CVM010-W,CAPA-WCVML10R1-W
L-CVM010-W,STIC-BCVML10R0-W
L-CVM010-W,PS-CVMLMR1-W
L-CVM010-W,STIC-VCVMLM10R1-W
L-CVM010-W,IBOX-AR0-W
L-CVM010-W,KB-WIOTAR1-W
M-BSC-EM,M-BSC-BULK
M-BSC-EM,TUBE-BSMC20R0-EPBL
M-BSC-EM,KB-EAR0-KMM125
M-BSC-EM,DUS-BSMCFR5-EFSC
L-EMC01DP-W,L-EMC01-BULK
L-EMC01DP-W,BOTP-EMLCR0-W
L-EMC01DP-W,CAPA-WEMLNSR0-W
L-EMC01DP-W,STIC-BOTEMLC01R2-W
L-EMC01DP-W,DUS-EMLC01R1-W
L-EMC01DP-W,STIC-HEMLCR1-W
L-EMC01DP-W,IBOX-RRPEMLCR0-W
L-EMC01DP-W,KB-WIOTAR1-W
L-EMC12DP-W,L-EMC12-BULK
L-EMC12DP-W,BOTP-EMLCR0-W
L-EMC12DP-W,CAPA-WEMLNSR0-W
L-EMC12DP-W,STIC-BOTEMLC12R-0WPS
L-EMC12DP-W,DUS-EMLC12R1-W
L-EMC12DP-W,STIC-HEMLCR1-W
L-EMC12DP-W,IBOX-RRPEMLCR0-W
L-EMC12DP-W,KB-WIOTAR1-W
L-EMC05DP-W,L-EMC05-BULK
L-EMC05DP-W,BOTP-EMLCR0-W
L-EMC05DP-W,CAPA-WEMLNSR0-W
L-EMC05DP-W,STIC-BOTEMLC05R-0WPS
L-EMC05DP-W,DUS-EMLC05R1-W
L-EMC05DP-W,STIC-HEMLCR1-W
L-EMC05DP-W,IBOX-RRPEMLCR0-W
L-EMC05DP-W,KB-WIOTAR1-W
L-EMC04DP-W,L-EMC04-BULK
L-EMC04DP-W,BOTP-EMLCR0-W
L-EMC04DP-W,CAPA-WEMLNSR0-W
L-EMC04DP-W,STIC-BOTEMLC04R-0WPS
L-EMC04DP-W,DUS-EMLC04R1-W
L-EMC04DP-W,STIC-HEMLCR1-W
L-EMC04DP-W,IBOX-RRPEMLCR0-W
L-EMC04DP-W,KB-WIOTAR1-W
L-CM12-EM5.5GR,L-CM12-BULK
L-CM12-EM5.5GR,BOTO-PCMR1-E
L-CM12-EM5.5GR,CAPA-CMR0-EM
L-CM12-EM5.5GR,STIC-BOTCMPPR0-EOPPT
L-CM12-EM5.5GR,DUS-CMPPR1-E
L-CM12-EM5.5GR,IBOX-12EE-ED31
L-CM12-EM5.5GR,KB-ECR1-KMK125CF
PH-HU-W,D-W0R-W60MLNP
PH-HU-W,S-W0HTNP-W40ML
PH-HU-W,M-W3MPNP-W30GR
PH-HU-W,M-GT1NP-W40ML
PH-HU-W,BOTO-PET100W-WPET
PH-HU-W,PU-SBMS100-W
PH-HU-W,STIC-ZZWH-WPPVG
PH-HU-W,HANG-WHR2AP190-23NF
PH-HU-W,TAG-HKD35-
PH-HU-W,TAS-SRPHAJI-W
PH-HU-W,POUC-PHAJI-W
PH-HU-W,KB-WPHR2-W
PH-HU-W,BRO-PHW2013-A1910
LT-MP04-EM,LT-MP04-BULK
LT-MP04-EM,CAPA-MPR0-EM
LT-MP04-EM,BOTO-MPR1-EM
LT-MP04-EM,STIC-BOTMPSIR0-ECNF
LT-MP04-EM,DUS-MP04SIR3-E
LT-MP04-EM,IBOX-12EE-ED31
LT-MP04-EM,KB-ECR1-KMK125CF
P-CSP-W,SRM-RWSIBS-W
P-CSP-W,SRM-RWSPTEN1-W
P-CSP-W,TOBG-BCSP-W
P-CSP-W,M-RWSDCN2-W
P-CSP-W,KB-PBCR1-W
P-CSP-W,FW-RWSABHA-W
P-CSP-W,STIC-QRBBCSP-W
P-CSP-W,LEAF-CSCSPR0-W
MY-SSSBSP30-EM,SS-SBSP30-BULK
MY-SSSBSP30-EM,TUBE-SBSPFR1-E
MY-SSSBSP30-EM,STIC-PAPR0-EM
MY-SSSBSP30-EM,KB-EAR0-KMM125
F-IPSF12-W,F-IPSF12-BULK
F-IPSF12-W,TUBE-POSFCF22LI30R0-IP
F-IPSF12-W,DUS-SFCF30R0-IP
F-IPSF12-W,STIC-VSFCF22LI30R0-IP
F-IPSF12-W,KB-WELTWCB-KMM125CF
L-MC03-EM,L-MC03-BULK
L-MC03-EM,CAPC-MTCR0-E
L-MC03-EM,CONT-MTCR0-E
L-MC03-EM,STIC-BMTC3R0-E
L-MC03-EM,DUS-MTC3R0-E
L-MC03-EM,IBOX-12EE-ED31
L-MC03-EM,KB-ECR1-KMK125CF
L-IPMLMP15-W,KB-WIPSKMMR1-W
L-IPMLMP15-W,IBOX-12IMLPR1-WDNF
L-IPMLMP15-W,DUS-MLMPFE15R0-IP
L-IPMLMP15-W,STIC-BMLMPFE15R0-IP
L-IPMLMP15-W,CAPA-CWIMLPR0-W
L-IPMLMP15-W,BOTP-WIMLMPFER0-IP
L-IPMLMP15-W,L-IPMLMP15-BULK
MY-CONSMULCB-EM,CON-SMULCB-BULK
MY-CONSMULCB-EM,TUBE-SMULCNR0-E
MY-CONSMULCB-EM,CAPA-SMULCR0-E
MY-CONSMULCB-EM,DUS-SMULCNR0-E
MY-CONSMULCB-EM,STIC-PACR1-EM
MY-CONSMULCB-EM,KB-EAR0-KMM125
MA-LESM-W,IBOX-LESMR1-W
MA-LESM-W,POUC-LESMR0-W
MA-LESM-W,TISU-LESMR0-W
MA-LESM-W,MA-LESM-BULK
MA-LESM-W,KB-WEPSIR1-W
MA-LESM-W,STIC-QRLESM-W
F-IPSF15-W,F-IPSF15-BULK
F-IPSF15-W,TUBE-POSFCF43CS30R0-IP
F-IPSF15-W,DUS-SFCF30R0-IP
F-IPSF15-W,STIC-VSFCF43CS30R0-IP
