Code/Header;Type;Component code;Type;Coefficient;UOM of Header;UOM of Component;Loos%;No.;Start date;End date
B-HRFP-MO;FG;DUS-HSRFPR0-MO;PM;1;Pc(s);Pc(s);0.02996500437;140;;
B-HRFP-MO;FG;KB-MOAR0-MO;PM;0.02778;Pc(s);Pc(s);0.02996500437;141;;
B-HRFP-MO;FG;POT-HSRFPR0-MO;PM;1;Pc(s);Pc(s);0.02996500437;142;;
B-HRFP-MO;FG;PUFF-HSRFPR0-MO;PM;1;Pc(s);Pc(s);0.02996500437;143;;
B-HRFP-MO;FG;SHIF-HSRFPR0-MO;PM;1;Pc(s);Pc(s);0.02996500437;144;;
B-HRFP-MO;FG;STIC-BHSRFPR0-MO;PM;1;Pc(s);Pc(s);0.02996500437;145;;
B-IPQSP11-W;FG;CAPP-QLPR0-IP;PM;1;Pc(s);Pc(s);0.02976190476;146;;
B-IPQSP11-W;FG;DUS-QLPR0-IP;PM;1;Pc(s);Pc(s);0.02976190476;147;;
B-IPQSP11-W;FG;KB-GKMK-W;PM;0.02083;Pc(s);Pc(s);0.02976190476;148;;
B-IPQSP11-W;FG;POT-QLPR0-IP;PM;1;Pc(s);Pc(s);0.02976190476;149;;
B-IPQSP11-W;FG;PUFF-QLPR0-IP;PM;1;Pc(s);Pc(s);0.02976190476;150;;
B-IPQSP11-W;FG;SHIF-QLPR0-IP;PM;1;Pc(s);Pc(s);0.02976190476;151;;
B-IPQSP11-W;FG;STIC-BQLP11R0-IP;PM;1;Pc(s);Pc(s);0.02976190476;152;;
B-IPQSP11-W;FG;STIC-VQLP11R0-IP;PM;1;Pc(s);Pc(s);0.02976190476;153;;
B-IPQSP12-W;FG;CAPP-QLPR0-IP;PM;1;Pc(s);Pc(s);0.02976190476;154;;
B-IPQSP12-W;FG;DUS-QLPR0-IP;PM;1;Pc(s);Pc(s);0.02976190476;155;;
B-IPQSP12-W;FG;KB-GKMK-W;PM;0.02083;Pc(s);Pc(s);0.02976190476;156;;
B-IPQSP12-W;FG;POT-QLPR0-IP;PM;1;Pc(s);Pc(s);0.02976190476;157;;
B-IPQSP12-W;FG;PUFF-QLPR0-IP;PM;1;Pc(s);Pc(s);0.02976190476;158;;
B-IPQSP12-W;FG;SHIF-QLPR0-IP;PM;1;Pc(s);Pc(s);0.02976190476;159;;
B-IPQSP12-W;FG;STIC-BQLP22R0-IP;PM;1;Pc(s);Pc(s);0.02976190476;160;;
B-IPQSP12-W;FG;STIC-VQLP22R0-IP;PM;1;Pc(s);Pc(s);0.02976190476;161;;
