item_code,product_description
HBW-BWN6A-BD,Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Pouch 800 ml
HBW-BWN6C-BD,Biodef Natural Protection Mint + Green Tea Body Wash Antiseptik Alami Pouch 800 ml
HBW-BWN6D-BD,Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Pouch 800 ml
HBW-EB-KA,Kahf Brightening and Cooling Body Wash 200 ml
HBW-ETBWA-W,Earth Love Life East Balinese Bamboo & Oriental Mint Body Wash 250 ml
HBW-ETBWAN2-W,Earth Love Life East Balinese Bamboo & Oriental Mint Body Wash 450 ml
HBW-ETBWB-W,Earth Love Life Javanese Moringa & Balinese Starfruit Body Wash 250 ml
HBW-ETBWBN2-W,Earth Love Life Javanese Moringa & Balinese Starfruit Body Wash 450 ml
HBW-ETBWC-W,Earth Love Life Bulgarian Rose & East Nusa Vanilla Body Wash 250 ml
HBW-ETBWCN2-W,Earth Love Life Bulgarian Rose & East Nusa Vanilla Body Wash 450 ml
HBW-ETBWD-W,Earth Love Life Spanish Lavender & Javanese Rice Milk Body Wash 250 ml
HBW-ETBWDN2-W,Earth Love Life Spanish Lavender & Javanese Rice Milk Body Wash 450 ml
HBW-ETBWE-W,Earth Love Life South Bali Frangipani & Tropical Coconut Water Body Wash 250 ml
HBW-ETBWEN2-W,Earth Love Life South Bali Frangipani & Tropical Coconut Water Body Wash 450 ml
HBW-GBFBCN2-L,LABORÉ Sensitive Skin Care GentleBiome Face&Body Foaming Cleanser 250 ml
HBW-GBFBCN3-L,	LABORÉ Sensitive Skin Care GentleBiome Face & Body Foaming Cleanser 40 mL
HBW-HWN1-BD,Biodef Natural Protection Mint + Green Tea Hand Wash Antiseptik Alami Pouch 200 ml
HBW-HWN1B-BD,Biodef Natural Protection Mint + Yuzu Hand Wash Antiseptik Alami Pouch 200 ml
HBW-HWN2-BD,Biodef Natural Protection Mint + Green Tea Hand Wash Antiseptik Alami Botol 250 ml
HBW-HWN2B-BD,Biodef Natural Protection Mint + Yuzu Hand Wash Antiseptik Alami Botol 250 ml
HBW-NFSBWN1A-BD,Biodef NFS Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami 15 ml
HBW-R-KA,Kahf Acne Fight and Relaxing Body Wash 200 ml
HBW-RETBWAN2-W,EARTH LOVE LIFE East Balinese Bamboo & Oriental Mint Body Wash Pouch 400 ml
HBW-RETBWBN2-W,EARTH LOVE LIFE Javanese Moringa & Balinese Starfruit Body Wash Pouch 400 ml
HBW-RETBWCN2-W,EARTH LOVE LIFE Bulgarian Rose & East Nusa Vanilla Body Wash Pouch 400 ml
HBW-RETBWDN2-W,EARTH LOVE LIFE Spanish Lavender & Javanese Rice Milk Body Wash Pouch 400 ml
HBW-RETBWEN2-W,EARTH LOVE LIFE South Bali Frangipani & Tropical Coconut Water Body Wash Pouch 400 ml
HBW-TBWN3A-BD,TESTER Biodef Natural Protection Mint + Sea Salt Body Wash 60 ml
HBW-TBWN3C-BD,TESTER Biodef Natural Protection Mint + Green Tea Body Wash 60 ml
HBW-TBWN3D-BD,TESTER Biodef Natural Protection Mint + Yuzu Body Wash 60 ml
HC-HF-W170ML,Wardah Hair Fall Treatment Conditioner 170 ml (Pc(s))
HC-NS-W170ML,Wardah Nutri Shine Conditioner 170 ml (Pc(s))
HC-P1A2-P2,Putri Pure Clean Hair Conditioner Apple 2 L (Pc(s))
HC-P1A2-P200,Putri Pure Clean Hair Conditioner Apple 200 ML (Pc(s))
HC-P1A2-P450,Putri Pure Clean Hair Conditioner Apple 450 ML (Pc(s))
HC-P1F-P2,Putri Pure Clean Hair Conditioner Floral 2 L (Pc(s))
HC-P1F-P200,Putri Pure Clean Hair Conditioner Floral 200 ML (Pc(s))
HC-P1F-P450,Putri Pure Clean Hair Conditioner Floral 450 ML (Pc(s))
HM-P1P-P720,Putri Platinum Hair Mask 720 ML (Pc(s))
HM-P1SPA-P720,Putri SPA Series Hair Mask 720 ml (pc(s))
HS-MHS-MO,Make Over All Purpose Sanitizer 200 ml
HSP-P1N1B3N-P200,Putri Hair Spray Non Aerosol Normal (Biru) 200 ML (Pc(s))
HSP-P1N1B3N-P450,Putri Hair Spray Non Aerosol Normal (Biru) 450 ML (Pc(s))
HSP-P1N1G1S-P200,Putri Hair Spray Non Aerosol Strong (Hijau) 200 ML (Pc(s))
HSP-P1N1G1S-P450,Putri Hair Spray Non Aerosol Strong (Hijau) 450 ML (Pc(s))
HT-P1G-P2,Putri With Nusilk Technology Hair Tonic Ginseng 2 L (Pc(s))
HT-P1G-P200,Putri WNT Hair Tonic Ginseng 200 ML (pc(s))
HT-P1G-P450,Putri With Nusilk Technology Hair Tonic Ginseng 450 ML (pc(s))
HT-P1G1-P2,Putri WNT Hair Tonic (Normal to Oily) 2 L (Pc(s))
HT-P1G1-P200,Putri WNT Hair Tonic (Normal to Oily) 200 ML (pc(s))
HT-P1G1-P450,Putri WNT Hair Tonic (Normal to Oily) 450 ML (pc(s))
HT-P1SEL2-P200D,Putri SPA Energizing Hair Tonic (Lemon) 200 MLD (Pc(s))
HT-P1SEL2-P450,Putri SPA Energizing Hair Tonic (Lemon) 450 ML (Pc(s))
HT-P1SRL-P200D,Putri SPA Relaxing Hair Tonic (Lavender) 200 MLD (Pc(s))
HT-P1SRL-P450,Putri SPA Relaxing Hair Tonic (Lavender) 450 ML (Pc(s))
HT-P1Y1-P2,Putri With Nusilk Technology Hair Tonic (Normal) 2 L (Pc(s))
HT-P1Y1-P200,Putri With Nusilk Technology Hair Tonic (Normal) 200 ML (pc(s))
HT-P1Y1-P450,Putri With Nusilk Technology Hair Tonic (Normal) 450 ML (pc(s))
HWB-EBSSSP-WL,onderly Brightening Exfoliating Body Wash Mode 315 ml
L-CHC01-MO,MAKE OVER Color Hypnose Creamy Lipmatte 01 Charm 4.3 g
L-CHC02-MO,MAKE OVER Color Hypnose Creamy Lipmatte 02 Flirt 4.3 g
L-CHC03-MO,MAKE OVER Color Hypnose Creamy Lipmatte 03 Allure 4.3 g
L-CHC04-MO,MAKE OVER Color Hypnose Creamy Lipmatte 04 Hypnotic 4.3 g
L-CHC05-MO,MAKE OVER Color Hypnose Creamy Lipmatte 05 Scandal 4.3 g
L-CHC06-MO,MAKE OVER Color Hypnose Creamy Lipmatte 06 Kiss 4.3 g
L-CHC07-MO,MAKE OVER Color Hypnose Creamy Lipmatte 07 Temptation 4.3 g
L-CHC08-MO,MAKE OVER Color Hypnose Creamy Lipmatte 08 Addicted 4.3 g
L-CHC09-MO,MAKE OVER Color Hypnose Creamy Lipmatte 09 Undercover 4.3 g
L-CHC10-MO,MAKE OVER Color Hypnose Creamy Lipmatte 10 Bewitched 4.3 g
L-CHC11-MO,MAKE OVER Color Hypnose Creamy Lipmatte 11 Adore 4.3 g
L-CHC12-MO,MAKE OVER Color Hypnose Creamy Lipmatte 12 Magnet 4.3 g
L-CLADC01-W,Wardah Colorfit Last All Day Lip Paint 00. Alluring Jakarta
L-CLADC02-W,Wardah Colorfit Last All Day Lip Paint 13. Dubai Lux
L-CLADC03-W,Wardah Colorfit Last All Day Lip Paint 14. Royal London
L-CLADC04-W,Wardah Colorfit Last All Day Lip Paint 15. Dazzling New York
L-CLADC05-W,Wardah Colorfit Last All Day Lip Paint 16. Kuala Lumpur Joy
L-CLADC06-W,Wardah Colorfit Last All Day Lip Paint 17. Tokyo Breeze
L-CLSA-W,Wardah Crystallure Precious Rouge Matte Stain 01 Peach Soleil 5.5 ml
L-CLSB-W,Wardah Crystallure Precious Rouge Matte Stain 02 Brique Promenade 5.5 ml
L-CLSC-W,Wardah Crystallure Precious Rouge Matte Stain 03 Prune Virtue 5.5 ml
L-CLSD-W,Wardah Crystallure Precious Rouge Matte Stain 04 Veux Rose 5.5 ml
L-CLSE-W,Wardah Crystallure Precious Rouge Matte Stain 05 Rouge Brûlée 5.5 ml
L-CLSF-W,Wardah Crystallure Precious Rouge Matte Stain 06 Spice Deluge 5.5 ml
L-CM01-EM5.5GR,Emina Creamatte 01 Chocolava 5.5 gr (Pc(s))
L-CM02-EM5.5GR,Emina Creamatte 02 Fuzzy Wuzzy 5.5 gr (Pc(s))
L-CM03-EM5.5GR,Emina Creamatte 03 Mauvelous 5.5 gr (Pc(s))
L-CM04-EM5.5GR,Emina Creamatte 04 Frostbite 5.5 gr (Pc(s))
L-CM05-EM5.5GR,Emina Creamatte 05 Flamingo 5.5 gr (Pc(s))
L-CM06-EM5.5GR,Emina Creamatte 06 Jelly Bean 5.5 gr (Pc(s))
L-CM07-EM5.5GR,Emina Creamatte 07 Tumbleweed 5.5 gr (Pc(s))
L-CM08-EM5.5GR,Emina Creamatte 08 Pumpkin Spice 5.5 gr
L-CM09-EM5.5GR,Emina Creamatte 09 Baby Fox 5.5 gr
L-CM10-EM5.5GR,Emina Creamatte 10 Starfish 5.5 gr
L-CM11-EM5.5GR,Emina Creamatte 11 Amazeballs 5.5 gr
L-CM12-EM5.5GR,Emina Creamatte 12 Perky Plum 5.5 gr
L-CM13-EM5.5GR,Emina Creamatte 13 Beet Bites 5.5 gr
L-CM14-EM5.5GR,Emina Creamatte 14 Gingerale 5.5 gr
L-CM15-EM5.5GR,Emina Creamatte 15 Chocopuff 5.5 gr
L-CM16-EM5.5GR,Emina Creamatte 16 Soda Gembira 5.5 gr
L-CM17-EM5.5GR,Emina Creamatte 17 Bola Ubi 5.5 gr
L-CM18-EM5.5GR,Emina Creamatte 18 Onde-onde 5.5 gr
L-CM19-EM5.5GR,Emina Creamatte 19 Pisang Cokelat 5.5 gr
L-CPRLC01-W,WARDAH CRYSTALLURE Precious Liquid Lip Couture 01 Royale 6.5 g
L-CPRLC02-W,WARDAH CRYSTALLURE Precious Liquid Lip Couture 02 Sophistique 6.5 g
L-CPRLC03-W,WARDAH CRYSTALLURE Precious Liquid Lip Couture 03 Grandiose 6.5 g
L-CPRLC04-W,WARDAH CRYSTALLURE Precious Liquid Lip Couture 04 Haute 6.5 g
L-CPRLC05-W,WARDAH CRYSTALLURE Precious Liquid Lip Couture 05 Luxe 6.5 g
L-CQS201-MO2G,MAKE OVER Cliquematte Lip Stylo 201 Eclair 2 g
L-CQS202-MO2G,MAKE OVER Cliquematte Lip Stylo 202 Hollywood 2 g
L-CQS203-MO2G,MAKE OVER Cliquematte Lip Stylo 203 Crush 2 g
L-CQS205-MO2G,MAKE OVER Cliquematte Lip Stylo 205 Jetsetter 2 g
L-CQS209-MO2G,MAKE OVER Cliquematte Lip Stylo 209 Royale 2 g
L-CQS210-MO2G,MAKE OVER Cliquematte Lip Stylo 210 Hotshot 2 g
L-CSGC101-MO,MAKE OVER Color Stick Gloss Crayon 101 Veronica 3 g
L-CSGC102-MO,MAKE OVER Color Stick Gloss Crayon 102 Abigail 3 g
L-CSGC103-MO,MAKE OVER Color Stick Gloss Crayon 103 Emma 3 g
L-CSGC104-MO,MAKE OVER Color Stick Gloss Crayon 104 Chloe 3 g
L-CSGC105-MO,MAKE OVER Color Stick Gloss Crayon 105 Jolene 3 g
L-CSMC101-MO2.6G,MAKE OVER Color Stick Matte Crayon 101 Brooklyn 2.6 g
L-CSMC102-MO2.6G,MAKE OVER Color Stick Matte Crayon 102 Iris 2.6 g
L-CSMC103-MO2.6G,MAKE OVER Color Stick Matte Crayon 103 Harper 2.6 g
L-CSMC104-MO2.6G,MAKE OVER Color Stick Matte Crayon 104 Blake 2.6 g
L-CSMC105-MO2.6G,MAKE OVER Color Stick Matte Crayon 105 Skye 2.6 g
L-CUM01-W,Wardah Colorfit Ultralight Matte Lipstick 01 Parfait Pink 3.6 g
L-CUM02-W,Wardah Colorfit Ultralight Matte Lipstick 02 Summer Peach 3.6 g
L-CUM03-W,Wardah Colorfit Ultralight Matte Lipstick 03 Caramel Nude 3.6 g
L-CUM04-W,Wardah Colorfit Ultralight Matte Lipstick 04 Mocca Brown 3.6 g
L-CUM05-W,Wardah Colorfit Ultralight Matte Lipstick 05 Blossom Pink 3.6 g
L-CUM06-W,Wardah Colorfit Ultralight Matte Lipstick 06 Punch Fuchsia 3.6 g
L-CUM07-W,Wardah Colorfit Ultralight Matte Lipstick 07 Crimson Red 3.6 g
L-CUM08-W,Wardah Colorfit Ultralight Matte Lipstick 08 Woodsy Brown 3.6 g
L-CUMKORA-W,Wardah Colorfit Ultralight Matte Lipstick 09 Romantic Namsan 3.6 g
L-CUMKORB-W,Wardah Colorfit Ultralight Matte Lipstick 10 Stunning Seoul 3.6 g
L-CUMKORC-W,Wardah Colorfit Ultralight Matte Lipstick 11 Sunkissed Jeju 3.6 g
L-CUMKORD-W,Wardah Colorfit Ultralight Matte Lipstick 12 Autumn Nami 3.6 g
L-CUMKORE-W,Wardah Colorfit Ultralight Matte Lipstick 13 Upbeat Hongdae 3.6 g
L-CUSH01-EM,Emina Lip Cushion 01. Let It Peach 9 g
L-CUSH02-EM,Emina Lip Cushion 02. Be Cherry 9 g
L-CUSH03-EM,Emina Lip Cushion 03. Get Berry 9 g
L-CUSH04-EM,Emina Lip Cushion 04. Say Coral 9 g
L-CUSH05-EM,Emina Lip Cushion 05. Squash It Up 9 g
L-CUSH06-EM,Emina Lip Cushion 06. Coffee Please 9 g
L-CVM01-W,Wardah Colorfit Velvet Matte Lip Mousse 01 Brown Dreamer 4 g
L-CVM010-W,Wardah Colorfit Velvet Matte Lip Mousse 10 Lively Coral 4 g
L-CVM011-W,Wardah Colorfit Velvet Matte Lip Mousse 11 Cherish Marmalade 4 g
L-CVM012-W,Wardah Colorfit Velvet Matte Lip Mousse 12 Chic Terracotta 4 g
L-CVM013-W,Wardah Colorfit Velvet Matte Lip Mousse 13 Sweet Cinnamon 4 g
L-CVM014-W,Wardah Colorfit Velvet Matte Lip Mousse 14 Dainty Caramel 4 g
L-CVM02-W,Wardah Colorfit Velvet Matte Lip Mousse 02 Joyful Orange 4 g
L-CVM03-W,Wardah Colorfit Velvet Matte Lip Mousse 03 Rose Ballerina 4 g
L-CVM04-W,Wardah Colorfit Velvet Matte Lip Mousse 04 Pink Sweetheart 4 g
L-CVM05-W,Wardah Colorfit Velvet Matte Lip Mousse 05 Artisan Mauve 4 g
L-CVM06-W,Wardah Colorfit Velvet Matte Lip Mousse 06 Fuchsia Lover 4 g
L-CVM07-W,Wardah Colorfit Velvet Matte Lip Mousse 07 Red Pioneer 4 g
L-CVM08-W,Wardah Colorfit Velvet Matte Lip Mousse 08 Brown Creator 4 g
L-CVM09-W,Wardah Colorfit Velvet Matte Lip Mousse 09 Ombre Charmer 4 g
L-EMC01DP-W,Wardah Exclusive Matte Lip Cream 01 Red-dicted 4g
L-EMC02DP-W,Wardah Exclusive Matte Lip Cream 02 Fuschionately 4g
L-EMC03DP-W,Wardah Exclusive Matte Lip Cream 03 See You Latte 4g
L-EMC04DP-W,Wardah Exclusive Matte Lip Cream 04 Pink Me 4g
L-EMC05DP-W,Wardah Exclusive Matte Lip Cream 05 Speachless 4g
L-EMC06DP-W,Wardah Exclusive Matte Lip Cream 06 Feeling Red 4g
L-EMC07DP-W,"Wardah Exclusive Matte Lip Cream 07 Hello, Ruby 4g"
L-EMC08DP-W,Wardah Exclusive Matte Lip Cream 08 Pinkcredible 4g
L-EMC09DP-W,Wardah Exclusive Matte Lip Cream 09 Mauve On ! 4g
L-EMC10DP-W,Wardah Exclusive Matte Lip Cream 10 Berry Pretty 4g
L-EMC11DP-W,Wardah Exclusive Matte Lip Cream 11 Oh So Nude ! 4g
L-EMC12DP-W,Wardah Exclusive Matte Lip Cream 12 Plum It Up 4g
L-EMC13DP-W,Wardah Exclusive Matte Lip Cream 13 Fruit Punch 4g
L-EMC14DP-W,Wardah Exclusive Matte Lip Cream 14 My Honey Bee 4g
L-EMC15DP-W,Wardah Exclusive Matte Lip Cream 15 Pinky Plumise 4g
L-EMC16DP-W,Wardah Exclusive Matte Lip Cream 16 Heartbeet 4g
L-EMC17DP-W,Wardah Exclusive Matte Lip Cream 17 Rosy Cheek 4g
L-EMC18DP-W,Wardah Exclusive Matte Lip Cream 18 Saturdate Night 4g
L-EMCA-W,Wardah Exclusive Matte Lip Cream Tukar Guling Shade A 4 g
L-EMCB-W,Wardah Exclusive Matte Lip Cream Tukar Guling Shade B 4 g
L-EMCC-W,Wardah Exclusive Matte Lip Cream Tukar Guling Shade C 4 g
L-EMCD-W,Wardah Exclusive Matte Lip Cream Tukar Guling Shade D 4 g
L-EMCE-W,Wardah Exclusive Matte Lip Cream Tukar Guling Shade E 4 g
L-EMCF-W,Wardah Exclusive Matte Lip Cream Tukar Guling Shade F 4 g
L-EVCL01-W5.5G,"Wardah Everyday Cheek and Lip Tint 01 Red, Set, Glow! 5.5 g"
L-EVCL02-W5.5G,Wardah Everyday Cheek and Lip Tint 02 My Baerry! 5.5 g
L-EVCL03-W5.5G,Wardah Everyday Cheek and Lip Tint 03 Pink on Point! 5.5 g
L-EVLCR1-W,Wardah Everyday! Matte Lip Shot 01 #fyp 1.8 g
L-EVLCR2-W,Wardah Everyday! Matte Lip Shot 02 #throwback 1.8 g
L-EVLCR3-W,Wardah Everyday! Matte Lip Shot 03 #nowplaying 1.8 g
L-EVLCR4-W,Wardah Everyday! Matte Lip Shot 04 #ootd 1.8 g
L-EVLCR5-W,Wardah Everyday! Matte Lip Shot 05 #mood 1.8 g
L-GS01-EM,Emina Glossy Stain 01 Autumn Bell 3 g
L-GS02-EM,Emina Glossy Stain 02 Apple Shower 3 g
L-GS03-EM,Emina Glossy Stain 03 Candy Rain 3 g
L-GS04-EM,Emina Glossy Stain 04 Peach Sprinkles 3 g
L-GS05-EM,Emina Glossy Stain 05 Spring Dazzle 3 g
L-HSLWA-MO,Make Over Hydrastay Smooth Lip Whip C01 Grace
L-HSLWB-MO,Make Over Hydrastay Smooth Lip Whip C02 Ballad
L-HSLWC-MO,Make Over Hydrastay Smooth Lip Whip C03 Poetic
L-HSLWD-MO,Make Over Hydrastay Smooth Lip Whip C04 Real
L-HSLWE-MO,Make Over Hydrastay Smooth Lip Whip C05 Swift
L-HSLWF-MO,Make Over Hydrastay Smooth Lip Whip C06 Lively
L-HSLWG-MO,Make Over Hydrastay Smooth Lip Whip C07 Soirée
L-HSLWH-MO,Make Over Hydrastay Smooth Lip Whip C08 Devoted
L-HSLWI-MO,Make Over Hydrastay Smooth Lip Whip C09 Admire
L-HSLWJ-MO,Make Over Hydrastay Smooth Lip Whip C10 Vow
L-HSLWK-MO,Make Over Hydrastay Smooth Lip Whip C11 Suave
L-HSLWL-MO,Make Over Hydrastay Smooth Lip Whip C12 Detail
"L-IMC001-MO6,5G","MAKE OVER Intense Matte Lip Cream 001 Lavish 6,5 g (Pc(s))"
"L-IMC002-MO6,5G","MAKE OVER Intense Matte Lip Cream 002 Heiress 6,5 g (Pc(s))"
"L-IMC003-MO6,5G","MAKE OVER Intense Matte Lip Cream 003 Secret 6,5 g (Pc(s))"
"L-IMC004-MO6,5G","MAKE OVER Intense Matte Lip Cream 004 Vanity 6,5 g (Pc(s))"
"L-IMC005-MO6,5G","MAKE OVER Intense Matte Lip Cream 005 Impulse 6,5 g (Pc(s))"
"L-IMC006-MO6,5G","MAKE OVER Intense Matte Lip Cream 006 Cosmopolitan 6,5 g (Pc(s))"
"L-IMC007-MO6,5G","MAKE OVER Intense Matte Lip Cream 007 Scarlet 6,5 g (Pc(s))"
"L-IMC008-MO6,5G","MAKE OVER Intense Matte Lip Cream 008 Libertine 6,5 g (Pc(s))"
"L-IMC009-MO6,5G","MAKE OVER Intense Matte Lip Cream 009 Posh 6,5 g (Pc(s))"
"L-IMC010-MO6,5G","MAKE OVER Intense Matte Lip Cream 010 Lux 6,5 g (Pc(s))"
"L-IMC011-MO6,5G","MAKE OVER Intense Matte Lip Cream 011 Pompous 6,5 g (Pc(s))"
"L-IMC012-MO6,5G","MAKE OVER Intense Matte Lip Cream 012 Couture 6,5 g (Pc(s))"
"L-IMC013-MO6,5G","MAKE OVER Intense Matte Lip Cream 013 Dainty 6,5 g (Pc(s))"
"L-IMC014-MO6,5G","MAKE OVER Intense Matte Lip Cream 014 Coco 6,5 g (Pc(s))"
"L-IMC015-MO6,5G","MAKE OVER Intense Matte Lip Cream 015 Coquette 6,5 g (Pc(s))"
"L-IMC016-MO6,5G","MAKE OVER Intense Matte Lip Cream 016 Pixie 6,5 g (Pc(s))"
"L-IMC017-MO6,5G","MAKE OVER Intense Matte Lip Cream 017 Savvy 6,5 g (Pc(s))"
"L-IMC018-MO6,5G","MAKE OVER Intense Matte Lip Cream 018 Classic 6,5 g (Pc(s))"
"L-IMC019-MO6,5G","MAKE OVER Intense Matte Lip Cream 019 Vogue 6,5 g (Pc(s))"
"L-IMC020-MO6,5G","MAKE OVER Intense Matte Lip Cream 020 Style 6,5 g (Pc(s))"
L-IPCS01-W,Wardah Instaperfect Litesplash Lip Sorbet 03 Cranberry 4.2 g
L-IPCS02-W,Wardah Instaperfect Litesplash Lip Sorbet 04 Chandler 4.2 g
L-IPCS03-W,Wardah Instaperfect Litesplash Lip Sorbet 02 Pomelo 4.2 g
L-IPCS04-W,Wardah Instaperfect Litesplash Lip Sorbet 01 Malwina 4.2 g
L-IPCS05-W,Wardah Instaperfect Litesplash Lip Sorbet 05 Praline 4.2 g
L-IPCS06-W,Wardah Instaperfect Litesplash Lip Sorbet 06 Sorrel 4.2 g
L-IPGC01-W2.7G,Wardah Instaperfect GLOSS CHIC Lip Crayon 01 Rhythm 2.7 g
L-IPGC02-W2.7G,Wardah Instaperfect GLOSS CHIC Lip Crayon 02 Clue 2.7 g
L-IPGC03-W2.7G,Wardah Instaperfect GLOSS CHIC Lip Crayon 03 Mind 2.7 g
L-IPMC01-W3G,Wardah Instaperfect MATTECENTRIC Lip Crayon 01 Pace 3 g
L-IPMC02-W3G,Wardah Instaperfect MATTECENTRIC Lip Crayon 02 Morale 3 g
L-IPMC03-W3G,Wardah Instaperfect MATTECENTRIC Lip Crayon 03 Honor 3 g
L-IPMC04-W3G,Wardah Instaperfect MATTECENTRIC Lip Crayon 04 Joy 3 g
L-IPMC05-W3G,Wardah Instaperfect MATTECENTRIC Lip Crayon 05 Sense 3 g
L-IPMC06-W3G,Wardah Instaperfect MATTECENTRIC Lip Crayon 06 Soul 3 g
L-IPMLMP10-W,Instaperfect Mattesetter Lip Matte Paint 10 Mosaic
L-IPMLMP11-W,Instaperfect Mattesetter Lip Matte Paint 11 Kaleidoscope
L-IPMLMP12-W,Instaperfect Mattesetter Lip Matte Paint 12 The Voyage
L-IPMLMP13-W,Instaperfect Mattesetter Lip Matte Paint 13 Enchanted
L-IPMLMP14-W,Instaperfect Mattesetter Lip Matte Paint 14 Palace Queen
L-IPMLMP15-W,Instaperfect Mattesetter Lip Matte Paint 15 1001 Nights
L-IPMMS01-W3.5G,Wardah Instaperfect MATTETITUDE Matte Stain Lipstick 01. SWING 3.5 g
L-IPMMS02-W3.5G,Wardah Instaperfect MATTETITUDE Matte Stain Lipstick 02. NOBLE 3.5 g
L-IPMMS03-W3.5G,Wardah Instaperfect MATTETITUDE Matte Stain Lipstick 03. FEMME 3.5 g
L-IPMMS04-W3.5G,Wardah Instaperfect MATTETITUDE Matte Stain Lipstick 04. BUZZ 3.5 g
L-IPMMS05-W3.5G,Wardah Instaperfect MATTETITUDE Matte Stain Lipstick 05. FLUX 3.5 g
L-LACL01-MO0.2G,MAKE OVER Lip Amplify Contour Liner 01 Exposed 0.2 g
L-LACL02-MO0.2G,MAKE OVER Lip Amplify Contour Liner 02 Flatter 0.2 g
L-LACL05-MO0.2G,MAKE OVER Lip Amplify Contour Liner 05 Pin Up 0.2 g
L-LL01-W2.3G,Wardah Lipstick Longlasting 01 Fabulous Peach 2.3 g (Pc(s))
L-LL03-W2.3G,Wardah Lipstick Longlasting 03 Simply Brown 2.3 g (Pc(s))
L-LL08-W2.3G,Wardah Lipstick Longlasting 08 Red Velvet 2.3 g (Pc(s))
L-LL09-W2.3G,Wardah Lipstick Longlasting 09 Vibrant Red 2.3 g (Pc(s))
L-LL10-W2.3G,Wardah Lipstick Longlasting 10 Stylish Mocca 2.3 g (Pc(s))
L-LL17-W2.3G,Wardah Lipstick Longlasting 17 Passionate Red 2.3 g
L-LLS01-EM,Emina Watercolor Lip Serum 01 Dawn
L-LLS02-EM,Emina Watercolor Lip Serum 02 Mist
L-LLS03-EM,Emina Watercolor Lip Serum 03 Dusk
L-LLS04-EM,Emina Watercolor Lip Serum 04 Haze
L-LTA-OMG,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 01 Juicy Strawberry
L-LTB-OMG,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 02 Juicy Grapefruit
L-LTC-OMG,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 03 Juicy Peach
L-LTD-OMG,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 04 Juicy Plum
L-MC01-EM,Emina Mattecrush 01 Bunny Hop
L-MC02-EM,Emina Mattecrush 02 Mauve Squirrel
L-MC03-EM,Emina Mattecrush 03 Red Panda
L-MC04-EM,Emina Mattecrush 04 Salmon Fam
L-MC05-EM,Emina Mattecrush 05 Morrocan Camel
L-MC06-EM,Emina Mattecrush 06 Racoon Paw
L-MLCA-OMG,OMG OH MY GLAM Matte Kiss Lip Cream 01 Dreamy 3 g
L-MLCB-OMG,OMG OH MY GLAM Matte Kiss Lip Cream 02 Juicy 3 g
L-MLCC-OMG,OMG OH MY GLAM Matte Kiss Lip Cream 03 Flame 3 g
L-MLCD-OMG,OMG OH MY GLAM Matte Kiss Lip Cream 04 Sunset 3 g
L-MLCE-OMG,OMG OH MY GLAM Matte Kiss Lip Cream 05 Punch 3 g
L-MLCF-OMG,OMG OH MY GLAM Matte Kiss Lip Cream 06 Sparkle 3 g
L-MLCG-OMG,OMG OH MY GLAM Matte Kiss Lip Cream 07 Delight 3 g
L-MLCH-OMG,OMG OH MY GLAM Matte Kiss Lip Cream 08 Skyfall 3 g
L-MLCI-OMG,OMG OH MY GLAM Matte Kiss Lip Cream 09 Charm 3 g
L-MLCJ-OMG,OMG OH MY GLAM Matte Kiss Lip Cream 10 Shell 3 g
L-MLCK-OMG,OMG OH MY GLAM Matte Kiss Lip Cream 11 Bumble 3 g
L-MLCL-OMG,OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet 3 g
L-MLCM-OMG,OMG Oh My Glam Matte Kiss Lip Cream 13 Latte 3.5 g
L-MLCN-OMG,OMG Oh My Glam Matte Kiss Lip Cream 14 Cappuccino 3.5 g
L-MLCO-OMG,OMG Oh My Glam Matte Kiss Lip Cream 15 Espresso 3.5 g
L-NLCA-EM,Emina Poppin’ Matte 04 Snatched
L-NLCALE1-EM,Emina Poppin' Matte The 90's Edition 06 Roller Skate 4.5 g
L-NLCALE1REG-EM,Emina Poppin' Matte The 90's Edition 06 Roller Skate 4.5 g
L-NLCB-EM,Emina Poppin’ Matte 02 To Be Honest
L-NLCBLE2-EM,Emina Poppin' Matte The 90's Edition 07 Rubic Cubic 4.5 g
L-NLCC-EM,Emina Poppin’ Matte 01 Lowkey
L-NLCCLE3REG-EM,Emina Poppin' Matte The 90's Edition 08 Lovely Tamago 4.5 g
L-NLCD-EM,Emina Poppin’ Matte 03 Game On
L-NLCDLE4-EM,Emina Poppin' Matte The 90's Edition 09 Tossin' Tazos 4.5 g
L-NLCE-EM,Emina Poppin’ Matte 05 Easy Peasy
L-NLCELE5-EM,Emina Poppin' Matte The 90's Edition 10 Spin It Yo-yo 4.5 g
L-NLCXCA-EM,Emina Poppin' Matte X Chatime 11 Chatime Milk Tea
L-NLCXCB-EM,Emina Poppin' Matte X Chatime 12 Hazelnut Chocolate Milk Tea
L-NLCXCC-EM,Emina Poppin' Matte X Chatime 13 Brown Sugar Milk Tea
