item_code,product_description
CUS-HLGCN40-MO,Make Over Hydrastay Lite Glow Cushion N40 Sand 15 g
CUS-HLGCW12-MO,Make Over Hydrastay Lite Glow Cushion W12 Warm Marble 15 g
CUS-HLGCW21-MO,Make Over Hydrastay Lite Glow Cushion W21 Coral Ivory 15 g
CUS-HLGCW30-MO,Make Over Hydrastay Lite Glow Cushion W30 Creme Beige 15 g
CUS-HLGCW32-MO,Make Over Hydrastay Lite Glow Cushion W32 Warm Beige 15 g
CUS-HLGCW50-MO,Make Over Hydrastay Lite Glow Cushion W50 Creme Tan 15 g
CUS-HLGCW60-MO,Make Over Hydrastay Lite Glow Cushion W60 Creme Cocoa 15 g
CUS-HLGN10-MO,Hydrastay Lite Glow Cushion N10 Marble 15 g
CUS-HLGNC21-MO,Hydrastay Lite Glow Cushion C21 Pink Ivory 15 g
CUS-HLGNN30-MO,Hydrastay Lite Glow Cushion N30 Natural Beige 15 g
CUS-HLGNN50-MO,Hydrastay Lite Glow Cushion N50 Tan 15 g
CUS-HLGNW22-MO,Hydrastay Lite Glow Cushion W22 Warm Ivory 15 g
CUS-HLGNW33-MO,Hydrastay Lite Glow Cushion W33 Honey Beige 15 g
CUS-HLGNW41-MO,Hydrastay Lite Glow Cushion W41 Coral Sand 15 g
CUS-HLGNW42-MO,Hydrastay Lite Glow Cushion W42 Warm Sand 15 g
CUS-IPA-W,Instaperfect Skincover Air Cushion 11 Fair Pink 11 g
CUS-IPB-W,Instaperfect Skincover Air Cushion 22 Light Ivory 11 g
CUS-IPC-W,Instaperfect Skincover Air Cushion 32 True Beige 11 g
CUS-IPD-W,Instaperfect Skincover Air Cushion 33 Warm Olive 11 g
CUS-IPE-W,Instaperfect Skincover Air Cushion 43 Creme Sand 11 g
CUS-IPF-W,Instaperfect Skincover Air Cushion 52 Almond 11 g
CUS-PDMCC31-MO,MAKE OVER Powerstay Demi-Matte Cover Cushion C31 Pink Beige
CUS-PDMCC41-MO,MAKE OVER Powerstay Demi-Matte Cover Cushion C41 Cool Sand
CUS-PDMCC62-MO,MAKE OVER Powerstay Demi-Matte Cover Cushion C62 Rich Cocoa
CUS-PDMCN20-MO,MAKE OVER Powerstay Demi-Matte Cover Cushion N20 Ivory
CUS-PDMCN40-MO,MAKE OVER Powerstay Demi-Matte Cover Cushion N40 Sand
CUS-PDMCW12-MO,MAKE OVER Powerstay Demi-Matte Cover Cushion W12 Warm Marble
CUS-PDMCW21-MO,MAKE OVER Powerstay Demi-Matte Cover Cushion W21 Coral Ivory
CUS-PDMCW32-MO,MAKE OVER Powerstay Demi-Matte Cover Cushion W32 Warm Beige
CUS-PDMCW50-MO,MAKE OVER Powerstay Demi-Matte Cover Cushion W50 Crème Tan
CUS-PDMCW60-MO,MAKE OVER Powerstay Demi-Matte Cover Cushion W60 Crème Cocoa
CUS-R2EFC01-W,Wardah Exclusive Flawless Cover Cushion 01 Light Beige 15 g
CUS-R2EFC02-W,Wardah Exclusive Flawless Cover Cushion 02 Honey Beige 15 g
CUS-R2EFC03-W,Wardah Exclusive Flawless Cover Cushion 03 Sandy Beige 15 g
CUS-R2EFC04-W,Wardah Exclusive Flawless Cover Cushion 04 Natural 15 g
CUS-REFC01-W,Wardah Refill Exclusive Flawless Cover Cushion 01 Light Beige 15 g
CUS-REFC02-W,Wardah Refill Exclusive Flawless Cover Cushion 02 Honey Beige 15 g
CUS-REFC03-W,Wardah Refill Exclusive Flawless Cover Cushion 03 Sandy Beige 15 g
CUS-REFC04-W,Wardah Refill Exclusive Flawless Cover Cushion 04 Natural 15 g
CUS-REFIPRVA-W,Instaperfect Refill Skincover Air Cushion 11 Fair Pink 11 g
CUS-REFIPRVB-W,Instaperfect Refill Skincover Air Cushion 22 Light Ivory 11 g
CUS-REFIPRVC-W,Instaperfect Refill Skincover Air Cushion 32 True Beige 11 g
CUS-REFIPRVD-W,Instaperfect Refill Skincover Air Cushion 33 Warm Olive 11 g
CUS-REFIPRVE-W,Instaperfect Refill Skincover Air Cushion 43 Creme Sand 11 g
CUS-REFIPRVF-W,Instaperfect Refill Skincover Air Cushion 52 Almond 11 g
CUS-RREFC01-W,Wardah Refill Exclusive Flawless Cover Cushion 01 Light Beige 15 g
CUS-RREFC02-W,Wardah Refill Exclusive Flawless Cover Cushion 02 Honey Beige 15 g
CUS-RREFC03-W,Wardah Refill Exclusive Flawless Cover Cushion 03 Sandy Beige 15 g
CUS-RREFC04-W,Wardah Refill Exclusive Flawless Cover Cushion 04 Natural 15 g
