SKU code;Supplier code;Percentage;Supplier lead time;QC lead time;MOQ;Lot size;Supplier description;No;Material start date;Material end date
STIC-SEKITR0-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6814;202104;
STIC-SEKITR1-W;2200055;1;2;2;10000;100;MITRA ABADI PRINTING;6815;202111;
STIC-SEMLMR0-W;2200015;1;3;2;50000;100;BEST LABEL, PT;6816;202104;
STIC-SEPJGR0-L;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6817;202202;
STIC-SEPJGR1-L;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6818;202204;
STIC-SEPOR0-X;2200066;1;3;2;20000;100;PELITA ABADI JAYA, CV;6819;202204;
STIC-SEPR0-WM;2200055;1;2;2;2800;100;MITRA ABADI PRINTING;6820;202235;
STIC-SGESBSTRPM-PSM1;2303751;1;3;2;5000;100;THEIA DIGILAB INDONESIA, PT;6821;202130;
STIC-SGESBVRPMO-PSM1;2303751;1;3;2;5000;100;THEIA DIGILAB INDONESIA, PT;6822;202130;
STIC-SHLGCR0-MO;2303747;1;4;2;30000;100;SATYAMITRA LABELJAYA P., PT;6823;202208;
STIC-SLFM60R0-W;2303747;1;3;2;30000;100;SATYAMITRA LABELJAYA P., PT;6824;202104;
STIC-SLFM60R1-W;2303747;1;3;2;30000;100;SATYAMITRA LABELJAYA P., PT;6825;202111;
STIC-SLMOIWR1-W100;2303747;1;3;2;50000;100;SATYAMITRA LABELJAYA P., PT;6826;202104;
STIC-SMPASET100-E;2303747;1;4;2;20000;100;SATYAMITRA LABELJAYA P., PT;6827;202151;
STIC-SMPASFT100-E;2303747;1;4;2;20000;100;SATYAMITRA LABELJAYA P., PT;6828;202208;
STIC-SMPASFT100R1-E;2303747;1;3;2;10000;100;SATYAMITRA LABELJAYA P., PT;6829;202227;
STIC-SMPASFT50-E;2200015;1;3;2;25000;100;BEST LABEL, PT;6830;202120;
STIC-SNPTE100R0-E;2303747;1;4;2;10000;100;SATYAMITRA LABELJAYA P., PT;6831;202127;
STIC-SPLGMR0-MOMD;2200015;1;3;2;2500;100;BEST LABEL, PT;6832;202104;
STIC-SPRTMR0-MOMDO;2200015;1;3;2;5000;100;BEST LABEL, PT;6833;202104;
STIC-SPWCMR1-MOMD;2200015;1;3;2;2500;100;BEST LABEL, PT;6834;202104;
STIC-SSACR0-IP;2303747;1;4;2;50000;100;SATYAMITRA LABELJAYA P., PT;6835;202227;
STIC-SSBFT100-E;2200015;1;3;2;10000;100;BEST LABEL, PT;6836;202104;
STIC-SSBFT50-E;2200015;1;1;2;10000;100;BEST LABEL, PT;6837;202120;
STIC-TRYMER1-MOMSF;2303751;1;3;2;10000;100;THEIA DIGILAB INDONESIA, PT;6838;202130;
STIC-UCLMF01R1-MOMSF;2303751;1;3;2;5000;100;THEIA DIGILAB INDONESIA, PT;6839;202104;
STIC-UCLMF02R1-MOMSF;2303751;1;3;2;5000;100;THEIA DIGILAB INDONESIA, PT;6840;202104;
STIC-UCLMF03R1-MOMSF;2303751;1;3;2;5000;100;THEIA DIGILAB INDONESIA, PT;6841;202104;
STIC-UCLMF04R1-MOMSF;2303751;1;3;2;5000;100;THEIA DIGILAB INDONESIA, PT;6842;202104;
STIC-UCLMF05R1-MOMSF;2303751;1;3;2;5000;100;THEIA DIGILAB INDONESIA, PT;6843;202104;
STIC-UCLMF06R1-MOMSF;2303751;1;3;2;5000;100;THEIA DIGILAB INDONESIA, PT;6844;202104;
STIC-UCLMF07R1-MOMSF;2303751;1;3;2;5000;100;THEIA DIGILAB INDONESIA, PT;6845;202104;
STIC-UCLMF08R1-MOMSF;2303751;1;3;2;5000;100;THEIA DIGILAB INDONESIA, PT;6846;202104;
STIC-UCLMF09R1-MOMSF;2303751;1;3;2;5000;100;THEIA DIGILAB INDONESIA, PT;6847;202104;
STIC-VBCPTCLC01-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6848;202217;
STIC-VBCPTCLC02-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6849;202217;
STIC-VBCPTCLC03-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6850;202217;
STIC-VBPCCPGR0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6851;202213;
STIC-VBPCCPLR0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6852;202213;
STIC-VBPCCPPR0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6853;202213;
STIC-VBPCCPYR0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6854;202213;
STIC-VBPTMLCB01R0-MO;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6855;202144;
STIC-VBPTMLCB02R0-MO;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6856;202144;
STIC-VBPTMLCB03R0-MO;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6857;202144;
STIC-VBPTMLCB04R0-MO;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6858;202144;
STIC-VBPTMLCB05R0-MO;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6859;202144;
STIC-VBPTMLCB06R0-MO;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6860;202144;
STIC-VBPTMLCB07R0-MO;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6861;202144;
STIC-VBPTMLCB08R0-MO;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6862;202144;
STIC-VBPTMLCB09R0-MO;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6863;202144;
STIC-VBPTMLCB10R0-MO;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6864;202144;
STIC-VBPTMLCB11R0-MO;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6865;202144;
STIC-VBPTMLCB12R0-MO;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6866;202144;
STIC-VCGRP12R0-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6867;202203;
STIC-VCGRP12R1-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6868;202127;
STIC-VCGRP13R0-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6869;202203;
STIC-VCGRP13R1-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6870;202127;
STIC-VCLPF11RR0-W;2200055;1;2;2;1000;100;MITRA ABADI PRINTING;6871;202214;
STIC-VCLPF12RR0-W;2200055;1;2;2;1000;100;MITRA ABADI PRINTING;6872;202214;
STIC-VCLPF13RR0-W;2200055;1;2;2;1000;100;MITRA ABADI PRINTING;6873;202214;
STIC-VCLPF14RR0-W;2200055;1;2;2;1000;100;MITRA ABADI PRINTING;6874;202214;
STIC-VCMP22NR0-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6875;202104;
STIC-VCMP22NR1-W;2200055;1;3;2;2500;100;MITRA ABADI PRINTING;6876;202222;
STIC-VCMP23WR0-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6877;202104;
STIC-VCMP23WR1-W;2200055;1;3;2;2500;100;MITRA ABADI PRINTING;6878;202222;
STIC-VCMP32NR0-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6879;202104;
STIC-VCMP32NR1-W;2200055;1;3;2;2500;100;MITRA ABADI PRINTING;6880;202222;
STIC-VCMP43WR0-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6881;202104;
STIC-VCMP43WR1-W;2200055;1;3;2;2500;100;MITRA ABADI PRINTING;6882;202222;
STIC-VCPADCC11R0-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6883;202203;
STIC-VCPADCC12R0-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6884;202104;
STIC-VCPGC11CR0-W;2200055;1;3;2;10000;100;MITRA ABADI PRINTING;6885;202217;
STIC-VCPGC22NR0-W;2200055;1;3;2;10000;100;MITRA ABADI PRINTING;6886;202217;
STIC-VCPGC23WR0-W;2200055;1;3;2;10000;100;MITRA ABADI PRINTING;6887;202217;
STIC-VCPGC32NR0-W;2200055;1;2;2;10000;100;MITRA ABADI PRINTING;6888;202205;
STIC-VCPGC33WR0-W;2200055;1;3;2;10000;100;MITRA ABADI PRINTING;6889;202217;
STIC-VCPGC42NR0-W;2200055;1;3;2;10000;100;MITRA ABADI PRINTING;6890;202217;
STIC-VCPGC43WR0-W;2200055;1;2;2;10000;100;MITRA ABADI PRINTING;6891;202203;
STIC-VCPGC52NR0-W;2200055;1;2;2;10000;100;MITRA ABADI PRINTING;6892;202203;
STIC-VCPRL1R0-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6893;202104;
STIC-VCPRL2R1-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6894;202203;
STIC-VCPRL3R1-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6895;202203;
STIC-VCPRL4R0-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6896;202203;
STIC-VCPRL5R0-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6897;202203;
STIC-VCPSPF11R1-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6898;202203;
STIC-VCPSPF12R1-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6899;202203;
STIC-VCPSPF13R1-W;2200055;1;2;2;5000;100;MITRA ABADI PRINTING;6900;202203;
