"Product/Internal Reference","Product/Product Name","Location","Lot/Serial Number","Inventoried Quantity","Reserved Quantity","Unit of Measure"
"SURF-CCAB-X","SRF1-ABI","JTK 6/Stock/RM/Release-RM","GBMJTK6/JI07092","399.95292","0.0","kg"
"SURF-CCAB-X","SRF1-ABI","JTK 6/Stock/RM/Release-RM","GBMJTK6/JI07089","199.95292","0.0","kg"
"AJID--NL-K","MST1-AAC","JTK 6/Stock/RM/EA-01A1","GBMJTK6/JI07010","399930.95","0.0","g"
"SILI-ECDC-X","SLC2-BGACI","JTK 6/Stock/RM/Release-RM","GBMJTK6/JI07088","71.9334","0.0","kg"
"MYRI-SOCI-X","RHM3-AAI","JTK 6/Stock/RM/GOR-C-31","GBMJTK6/JI07068","975000.0","0.0","g"
"MYRI-SOCI-X","RHM3-AAI","JTK 6/Stock/RM/GOR-C-30","GBMJTK6/JI07068","975000.0","0.0","g"
"MYRI-SOCI-X","RHM3-AAI","JTK 6/Stock/RM/GOR-C-34","GBMJTK6/JI07068","925000.0","0.0","g"
"MYRI-SOCI-X","RHM3-AAI","JTK 6/Stock/RM/GOR-C-34","GBMJTK6/JI07069","50000.0","0.0","g"
"GLYA-ACAHA-DP","AAG3-AAC","JTK 6/Stock/RM/GOR-F-07","GBMJTK6/JI01055","119972.04","0.0","g"
"WAX-SBWX--X","WAX3-ABI","JTK 6/Stock/RM/DA-08B1","GBMJTK6/JH31154","75000.0","0.0","g"
"AQUA---K","RHM1-AAJ","JTK 6/Stock/RM/GOR-B-48","GBMJTK6/JI06055","435400.0","0.0","g"
"AQUA---K","RHM1-AAJ","JTK 6/Stock/RM/GOR-B-48","GBMJTK6/JI06056","435400.0","0.0","g"
"TIT-CR50HD-X","PWD3-AGB","JTK 6/Stock/RM/GOR-D-11","GBMJTK6/JI07110","500000.0","0.0","g"
"PARS-5000-DSM","SCR3-AAD","JTK 6/Stock/RM/FA-09A2","GBMJTK6/JI07057","350000.0","0.0","g"
"SILD--SI5H52D-K","PWD3-ACD","JTK 6/Stock/RM/AA-03B2","GBMJTK6/JI06140","39990.07","0.0","g"
"TALK-C-STJADAITO-K","PWD3-ACF","JTK 6/Stock/RM/AA-07A1","GBMJTK6/JI06139","239975.33","0.0","g"
"TALC-OSBRTPD-X","PWD3-AAI","JTK 6/Stock/RM/GOR-D-35","GBMJTK6/JI07067","600000.0","0.0","g"
"TALC-OSBRTPD-X","PWD3-AAI","JTK 6/Stock/RM/GOR-D-34","GBMJTK6/JI07067","600000.0","0.0","g"
"TALC-OSBRTPD-X","PWD3-AAI","JTK 6/Stock/RM/GOR-D-31","GBMJTK6/JI07067","600000.0","0.0","g"
"TALC-OSBRTPD-X","PWD3-AAI","JTK 6/Stock/RM/GOR-D-30","GBMJTK6/JI07067","600000.0","0.0","g"
"CIRE---K","EMS3-AAI","JTK 6/Stock/RM/AA-07B1","GBMJTK6/JI06110","20000.0","0.0","g"
"EMUL-KSG210-X","EMS1-ABG","JTK 6/Stock/RM/GOR-A-32","GBMJTK6/JH31123","16000.0","0.0","g"
"ACTI-RBN-X","SAI1-AAF","JTK 6/Stock/RM/GOR-E-17","GBMJTK6/JI01052","39928.46","0.0","g"
"RHM-MKMSS-X","RHM3-BIBAF","JTK 6/Stock/RM/GOR-B-21","GBMJTK6/JI06141","14.98893","0.0","kg"
"WARN-YLW3AS-X","CLR3-YLW-AAJ","JTK 6/Stock/RM/Repack-RM","GBMJTK6/JE30062","20000.0","0.0","g"
"RHM-MKMSS-X","RHM3-BIBAF","JTK 6/Stock/RM/GOR-B-21","GBMJTK6/JI06142","14.98602","0.0","kg"
"EXTR-CHEN-X","HRC1-ABD","JTK 6/Stock/RM/GOR-E-17","GBMJTK6/JI05092","24.95452","0.0","kg"
