Attribute number;Attribute value;Attribute description;Attribute name
10;B-PT02-MO35G;MAKE OVER Silky Smooth Translucent Powder 02 Rosy 35 g (Pc(s));Product Name
10;B-PT03-BULK;Silky Smooth Translucent Powder 03 Champagne;Product Name
10;B-PT03-MO35G;MAKE OVER Silky Smooth Translucent Powder 03 Champagne 35 g (Pc(s);Product Name
10;B-PT04-BULK;Silky Smooth Translucent Powder 04 Toffee;Product Name
10;B-PT04-MO35G;MAKE OVER Silky Smooth Translucent Powder 04 Toffee 35 g (Pc(s));Product Name
10;B-PT05-BULK;Silky Smooth Translucent Powder 05 Snow;Product Name
10;B-PT05-MO35G;MAKE OVER Silky Smooth Translucent Powder 05 Snow 35 g (Pc(s));Product Name
10;B-PT06-BULK;Silky Smooth Translucent Powder 06 Buttermilk;Product Name
10;B-PT06-MO35G;MAKE OVER Silky Smooth Translucent Powder 06 Buttermilk 35 g;Product Name
10;B-PT07-BULK;Silky Smooth Translucent Powder 07 Vanilla;Product Name
10;B-PT07-MO35G;MAKE OVER Silky Smooth Translucent Powder 07 Vanilla 35 g;Product Name
10;B-R3L01LB-BULK;Wardah Lightening Matte Powder 01 Light Beige;Product Name
10;B-R3L01LB-W;Wardah Lightening Matte Powder 01 Light Beige 20 g;Product Name
10;B-R3L02B-BULK;Wardah Lightening Matte Powder 02 Beige;Product Name
10;B-R3L02B-W;Wardah Lightening Matte Powder 02 Beige 20 g;Product Name
10;B-R3L03I-BULK;Wardah Lightening Matte Powder 03 Ivory;Product Name
10;B-R3L03I-W;Wardah Lightening Matte Powder 03 Ivory 20 g;Product Name
10;B-R3L04N-BULK;Wardah Lightening Matte Powder 04 Natural;Product Name
10;B-R3L04N-W;Wardah Lightening Matte Powder 04 Natural 20 g;Product Name
10;B-RBMLP01-EM;Emina Bare With Me Mineral Loose Powder 01 Fair 8 g;Product Name
10;B-RBMLP02-EM;Emina Bare With Me Mineral Loose Powder 02 Light Beige 8 g;Product Name
10;B-RBMLP03-EM;Emina Bare With Me Mineral Loose Powder 03 Amber 8 g;Product Name
10;B-RBMLP04-EM;Emina Bare With Me Mineral Loose Powder 04 Ebony 8 g;Product Name
10;B-RBSLP-BULK;Revamp EMINA Bright Stuff Loose Powder;Product Name
10;B-SFLP-EM8G;Emina Sebum Fighter Loose Powder 8 g;Product Name
10;B-SHN12GRNFS-W;Bedak Shading Netto 12gr Refill Not For Sale Wardah (Pc(s));Product Name
10;B-SPB-BULK;Shimmering Powder Bronzed;Product Name
10;B-SPB-MO13GR;MAKE OVER Shimmering Powder Bronzed 13 gr;Product Name
10;B-SPC-BULK;Shimmering Powder Chrystalist;Product Name
10;B-SPC-MO13GR;MAKE OVER Shimmering Powder Chrystalist 13 gr;Product Name
10;B-SPG-BULK;Shimmering Powder Goldinx;Product Name
10;B-SPG-MO13GR;MAKE OVER Shimmering Powder Goldinx 13 gr;Product Name
10;B-SPQ-BULK;Shimmering Powder Quartza;Product Name
10;B-SPQ-MO13GR;MAKE OVER Shimmering Powder Quartza 13 gr;Product Name
10;B-SSOT-BULK;TAVI Smooth + Set Optimizer Powder Tan;Product Name
10;B-TWCGC07-BULK;TWC For Normal Skin 07 GoddessCharm BULK;Product Name
10;B-TWCGC08-BULK;TWC For Normal Skin 08 GoddessCharm BULK;Product Name
10;B-TWCGC08R-DFR14G;TWC Goddess Charm 08 Refill Df Clinic Refill 14 g (Pc(s));Product Name
10;B-TWCGC107RNFS1-DF;Bedak Two Way Cake Goddes Charm 107 Refill Not For Df Clinic (Pc(s));Product Name
10;B-W0C1L04-BULK;Luminous Pressed Powder 04;Product Name
10;B-W0T3LFP04-BULK;Luminous Face Powder 04;Product Name
10;B-W1C1L01-BULK;Luminous Pressed Powder 01;Product Name
10;B-W1C1L02-BULK;Luminous Pressed Powder 02;Product Name
10;B-W1C1L03-BULK;Luminous Pressed Powder 03;Product Name
10;B-W1T3LFP01-BULK;Luminous Face Powder 01;Product Name
10;B-W1T3LFP02-BULK;Luminous Face Powder 02;Product Name
10;B-W1T3LFP03-BULK;Luminous Face Powder 03;Product Name
10;B-W3ELFP01-W30G;Wardah Evd Lum Face Powder 01 Light Beige 30 g (Pc(s));Product Name
10;B-W3ELFP02-W30G;Wardah Evd Lum Face Powder 02 Beige 30 g (Pc(s));Product Name
10;B-W3ELFP03-W30G;Wardah Evd Lum Face Powder 03 Ivory 30 g (Pc(s));Product Name
10;B-W3ELFP04-W30G;Wardah Evd Lum Face Powder 04 Natural 30 g (Pc(s));Product Name
10;BAH-LUVIK30P-X;RHM3-ACD;Product Name
10;BAL-BALTEPLR0-E;Ball Total Eclipse Pen Liner E;Product Name
10;BAL-BPR1D882B08-WT;Plug Bola Pengocok (Gotri) Rev_1 Wardah;Product Name
10;BAL-BROBPPEC-D254W23;Plug Bola Roll On For Wardah/Zahra;Product Name
10;BAL-EXPPLR0-W;Ball Eyexpert Perfect Precision Liner W;Product Name
10;BAL-PSEXPPLR0-W;PS Ball Eyexpert Perfect Precision Liner W;Product Name
10;BAL-PSFEXPPLR0-W;PS Final Ball Eyexpert Perfect Precision Liner W;Product Name
10;BAL-PSTEPLR0-E;PS Ball Total Eclipse Pen Liner E;Product Name
10;BAL-SPPLL-MOSS;Ball Steel Powerstay Precision Liquid Liner MO;Product Name
10;BAL-SSLEL-WSS;Plug Ball Steel Staylast Liquid Eyeliner Wardah;Product Name
10;BASC-UVSSR0-W;Base Closure UVS Sunscreen Stick W;Product Name
10;BASE-CLBPER0-E;Base CLB Stick Peach E;Product Name
10;BASE-CLBPIR0-E;Base CLB Stick Pink E;Product Name
10;BASE-CLHNTR0-E;Base CLH Stick Nudetwinkle E;Product Name
10;BASE-CSS-W;PS Base Closure Sunstick W;Product Name
10;BASE-MMB01-MO;Base Multifix Matte Blusher 01 MO;Product Name
10;BASE-MMB02-MO;Base Multifix Matte Blusher 02 MO;Product Name
10;BASE-MMB03-MO;Base Multifix Matte Blusher 03 MO;Product Name
10;BASE-MMB04-MO;Base Multifix Matte Blusher 04 MO;Product Name
10;BASE-MMB05-MO;Base Multifix Matte Blusher 05 MO;Product Name
10;BASE-PC-BULK;Base Perfect Cover Two Way Cake;Product Name
10;BASE-PCSS-W;PS Base+Plug+Cover Sunstick W;Product Name
10;BASE-PMPF-BULK;Base Powerstay Matte Powder Foundation;Product Name
10;BASE-PNCWSWNLPT-063W;Botol/Pot Pot Night Cream White Secret Wardah;Product Name
10;BASE-PSBS-E;PS Base Blush Stick E;Product Name
10;BASE-PSMT-MO;PS Base Match MO;Product Name
10;BASE-PSMTQP02-MO;PS Base Match 02 QP MO;Product Name
10;BASE-PSMTRH01-MO;PS Base Match 01 RH MO;Product Name
10;BASE-R3L-BULK;Base Wardah Lightening Matte Powder;Product Name
10;BASE-R3LLF-BULK;Base Wardah Lightening Powder Foundation Light Feel;Product Name
10;BASI-LP20H-X;PWD3-AEA;Product Name
10;BBC-BBC-BULK;Emina Beauty Bliss BB Cream Caramel;Product Name
10;BBC-BBL-BULK;Beauty Bliss BB Cream Light Bulk;Product Name
10;BBC-BBN-BULK;Beauty Bliss BB Cream Natural;Product Name
10;BBC-EL-BULK;Everyday BB cream Light Bulk;Product Name
10;BBC-EL-W15ML;Wardah Everyday BB Cream Light 15 ml (pc(s));Product Name
10;BBC-EL-W30ML;Wardah Everyday BB Cream Light 30 ml (Pc(s));Product Name
10;BBC-EN-BULK;Everyday BB Cream Natural Bulk;Product Name
10;BBC-EN-W15ML;Wardah Everyday BB Cream Natural 15 ml (Pc(s));Product Name
10;BBC-EN-W30ML;Wardah Everyday BB Cream Natural 30 ml (Pc(s));Product Name
10;BBC-HSBBC-BULK;EMINA Daily Matte BB Cream 03 Caramel;Product Name
10;BBC-HSBBC-EM;Emina Daily Matte BB Cream 03 Caramel 16 g;Product Name
10;BBC-HSBBL-BULK;EMINA Daily Matte BB Cream 01 Light;Product Name
10;BBC-HSBBL-EM;Emina Daily Matte BB Cream 01 Light 16 g;Product Name
10;BBC-HSBBN-BULK;EMINA Daily Matte BB Cream 02 Natural;Product Name
10;BBC-HSBBN-EM;Emina Daily Matte BB Cream 02 Natural 16 g;Product Name
10;BBC-LL-BULK;Lightening BB Cream Light;Product Name
10;BBC-LL-W15ML;Wardah Lightening BB Cream Light 15 ml (pc(s));Product Name
10;BBC-LL-W30ML;Wardah Lightening BB Cream Light 30 ml (Pc(s));Product Name
10;BBC-LN-BULK;Lightening BB Cream Natural Bulk;Product Name
10;BBC-LN-W15ML;Wardah Lightening BB Cream Natural 15 ml (pc(s));Product Name
10;BBC-LN-W30ML;Wardah Lightening BB Cream Natural 30 ml (Pc(s));Product Name
10;BEN-BEN-WT;RHM3-ACC;Product Name
10;BENE-K200-X;RHM3-ADD;Product Name
10;BENT-38V-X;RHM3-ADI;Product Name
10;BENT-BGISDV-X;RHM2-AAB;Product Name
10;BENT-BGVS5PC-X;RHM2-AAD;Product Name
10;BENT-TXID18-X;SLC2-AAI;Product Name
10;BETA-A98MR-X;MST3-AAE;Product Name
10;BHT---K;BHT;Product Name
10;BHT-CRTL-X;ASB3-AAB;Product Name
10;BIO-HYAL-BIL;MST3-AAB;Product Name
10;BO-01PFRNFSN3,5-MO;Blush on 01 Pink Fantasist Refill Not For Sale Ne Make Over (Pc(s));Product Name
10;BO-02IPRNFSN3,5-MO;Blush on 02 Iredescent Pink Refill Not For Sale Ne Make Over (Pc(s));Product Name
10;BO-03PP1RNFS3,5-MO;Blush on 03 Promicious Peach Refill Not For Sale 3 Make Over (Pc(s));Product Name
10;BO-04RERNFSN3,5-MO;Blush on 04 Royal Espresso Refill Not For Sale Net Make Over (Pc(s0);Product Name
10;BO-05BSRNFSN3,5-MO;Blush on 05 Brown Strada Refill Not For Sale Netto Make Over (Pc(s));Product Name
10;BO-06CSRNFS3,5G-MO;Blush on 06 Caribbean Sunset Refill Not For Sale 3 Make Over (Pc(s));Product Name
10;BO-07SSRNFSN3,5-MO;Blush on 07 Scarlet Sheen Refill Not For Sale Nett Make Over (Pc(s));Product Name
10;BO-08CCRNFSN3,5-MO;Blush on 08 Cruise Coral Refill Not For Sale Netto Make Over (Pc(s));Product Name
10;BO-CLBBPB-BULK;Emina Cheek Lit Buttery Blush 03 Pinkerbelle;Product Name
10;BO-CLBBPS-BULK;Emina Cheek Lit Buttery Blush 02 Persimmon;Product Name
10;BO-CLBSNT-BULK;Emina Cheek Lit Highlighter Stick Nudetwinkle;Product Name
10;BO-CLBSNT-EM;Emina Cheek Lit Highlighter Stick Nudetwinkle 7 g;Product Name
10;BO-CLBSPE-BULK;Emina Cheek Lit Blush Stick Peach;Product Name
10;BO-CLBSPE-EM;Emina Cheek Lit Blush Stick Peach 7 g;Product Name
10;BO-CLBSPI-BULK;Emina Cheek Lit Blush Stick Pink;Product Name
10;BO-CLBSPI-EM;Emina Cheek Lit Blush Stick Pink 7 g;Product Name
10;BO-CLCNB-BULK;Cheeklit Cream Blush Nudie Brown Bulk;Product Name
10;BO-CLCNB-EM10ML;Emina Cheek Lit Cream Blush Nudie Brown 10 ml;Product Name
10;BO-CLCPE-BULK;Cheek Lit Cream Blush Peach Bulk;Product Name
10;BO-CLCPE-EM10ML;Emina Cheek Lit Cream Blush Peach 10 ml (Pc(s));Product Name
10;BO-CLCPI-BULK;Cheeklit Cream Blush Pink Bulk;Product Name
10;BO-CLCPI-EM10ML;Emina Cheek Lit Cream Blush Pink 10 ml (Pc(s));Product Name
10;BO-CLCVI-BULK;Cheeklit Cream Blush Violet Bulk;Product Name
10;BO-CLCVI-EM10ML;Emina Cheek Lit Cream Blush Violet 10 ml;Product Name
10;BO-CLPBAC-BULK;EMINA Cheek Lit Pressed Blush Apple Crumble;Product Name
10;BO-CLPBAC-RP-EM3,5GR;Refill Press EMINA Cheek Lit Pressed Blush Apple Crumble;Product Name
10;BO-CLPBCP-BULK;EMINA Cheek Lit Pressed Blush Cherry Popsicle;Product Name
10;BO-CLPBCP-RP-EM3,5GR;Refill Press EMINA Cheek Lit Pressed Blush Cherry Popsicle;Product Name
10;BO-CLPCS-BULK;Cheek Lit Pressed Blush Sugarcane;Product Name
10;BO-CLPCS-EM3.5GR;Emina Cheek Lit Pressed Blush Sugarcane 3.5 gr (Pc(s));Product Name
10;BO-CLPCS-RP-EM3,5GR;Refill Press Cheek Lit Pressed Blush Sugarcane 3,5GR (Pc(s));Product Name
10;BO-CLPPB-BULK;Cheek Lit Pressed Blush Bittersweet;Product Name
10;BO-CLPPB-EM3.5GR;Emina Cheek Lit Pressed Blush Bittersweet 3.5 gr (Pc(s));Product Name
10;BO-CLPPB-RP-EM3,5GR;Refill Press Blush on Cheek Lit Pressed Blush Bittersweet 3,5GR (Pc(s));Product Name
10;BO-CLPPCCC-BULK;Cheek Lit Pressed Blush Cotton Candy;Product Name
10;BO-CLPPCCC-EM3.5GR;Emina Cheek Lit Pressed Blush Cotton Candy 3.5 gr (Pc(s));Product Name
10;BO-CLPPCCC-RP-EM3,5G;Refill Press Cheek Lit Pressed Blush Pink Candy Cotton 3,5GR (Pc(s));Product Name
10;BO-CLPPMCB-BULK;Cheek Lit Pressed Blush Cherry Blosoms;Product Name
10;BO-CLPPMCB-EM3.5GR;Emina Cheek Lit Pressed Blush Cherry Blossoms 3.5 gr (Pc(s));Product Name
10;BO-CLPPMCB-RP-EM3,5G;Refill Press Cheek Lit Pressed Blush Cherry Blossoms 3,5GR (Pc(s));Product Name
10;BO-CLPPPML-BULK;Cheek Lit Pressed Blush Marshmallow lady (PBM);Product Name
10;BO-CLPPPML-EM3.5GR;Emina Cheek Lit Pressed Blush Marshmallow Lady 3.5 gr (Pc(s));Product Name
10;BO-CLPPPML-RP-EM3,5G;Refill Press Cheek Lit Pressed Blush Marshmallow Lady 3,5GR (Pc(s));Product Name
10;BO-CLPPTVB-BULK;Cheek Lit Pressed Blush Violet Berry;Product Name
10;BO-CLPPTVB-EM3.5GR;Emina Cheek Lit Pressed Blush Violet Berry 3.5 gr (Pc(s));Product Name
10;BO-CLPPTVB-RP-EM3,5G;Refill Press Cheek Lit Pressed Blush Violet Berry 3,5GR (Pc(s));Product Name
10;BO-CM-A_BULK;Cheek Marbles A;Product Name
10;BO-CM-B_BULK;Cheek Marbles B;Product Name
10;BO-CM-C_BULK;Cheek Marbles C;Product Name
10;BO-CM-D_BULK;Cheek Marbles D;Product Name
10;BO-CM-E_BULK;Cheek Marbles E;Product Name
10;BO-CM-MO20G;MAKE OVER Cheek Marbles 20 g (Pc(s));Product Name
10;BO-COCBMM-BULK;Wardah Colorfit Cream Blush 02 MERRY MAUVE bulk;Product Name
