"Korporat Code","Name"
"HBW-NFSBWN1C-BD","Biodef NFS Natural Protection Mint + Green Tea Body Wash Antiseptik Alami 15 ml"
"HBW-NFSBWN1A-BD","Biodef NFS Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami 15 ml"
"HBW-NFSBWN1D-BD","Biodef NFS Natural Protection Mint + Yuzu Body Wash Antiseptik Alami 15 ml"
"HS-HSN1FG-BD","Biodef Natural Protection Hand Spray Sanitizer Food Grade 100 ml"
"HBW-BWC-BULK","Biodef Natural Protection Mint + Green Tea Body Wash Antiseptik Alami"
"HBW-BWN1C-BD","Biodef Natural Protection Mint + Green Tea Body Wash Antiseptik Alami Botol 275 ml"
"HBW-BWN5C-BD","Biodef Natural Protection Mint + Green Tea Body Wash Antiseptik Alami Botol 550 ml"
"HBW-BWN2C-BD","Biodef Natural Protection Mint + Green Tea Body Wash Antiseptik Alami Pouch 400 ml"
"HBW-BWN6C-BD","Biodef Natural Protection Mint + Green Tea Body Wash Antiseptik Alami Pouch 800 ml"
"HBW-BWN4C-BD","Biodef Natural Protection Mint + Green Tea Body Wash Jerrycan 5 L"
"HBW-HW-BULK","Biodef Natural Protection Mint + Green Tea Hand Wash Antiseptik Alami"
"HBW-HWN2-BD","Biodef Natural Protection Mint + Green Tea Hand Wash Antiseptik Alami Botol 250 ml"
"HBW-HWN1-BD","Biodef Natural Protection Mint + Green Tea Hand Wash Antiseptik Alami Pouch 200 ml"
"HBW-HWN3-BD","Biodef Natural Protection Mint + Green Tea Hand Wash Jerrycan 5 L"
"HBW-BW-BULK","Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami"
"HBW-BWN1A-BD","Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Botol 275 ml"
"HBW-BWN5A-BD","Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Botol 550 ml"
"HBW-BWN2A-BD","Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Pouch 400 ml"
"HBW-BWN6A-BD","Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Pouch 800 ml"
"HBW-BWN4A-BD","Biodef Natural Protection Mint + Sea Salt Body Wash Jerrycan 5 L"
"HBW-BWD-BULK","Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami"
"HBW-BWN1D-BD","Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Botol 275 ml"
"HBW-BWN5D-BD","Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Botol 550 ml"
"HBW-BWN2D-BD","Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Pouch 400 ml"
"HBW-BWN6D-BD","Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Pouch 800 ml"
"HBW-BWN4D-BD","Biodef Natural Protection Mint + Yuzu Body Wash Jerrycan 5 L"
"HBW-HWB-BULK","Biodef Natural Protection Mint + Yuzu Hand Wash Antiseptik Alami"
"HBW-HWN2B-BD","Biodef Natural Protection Mint + Yuzu Hand Wash Antiseptik Alami Botol 250 ml"
"HBW-HWN1B-BD","Biodef Natural Protection Mint + Yuzu Hand Wash Antiseptik Alami Pouch 200 ml"
"HBW-HWN3B-BD","Biodef Natural Protection Mint + Yuzu Hand Wash Jerrycan 5 L"
"P-RAM1-BD","Biodef Ramadhan 2023 – Adventurous Mom Package 1"
"P-RAM2-BD","Biodef Ramadhan 2023 – Adventurous Mom Package 2"
"P-RAM3-BD","Biodef Ramadhan 2023 – Adventurous Mom Package 3"
"P-RCM1-BD","Biodef Ramadhan 2023 – City Mom Package 1"
"P-RCM2-BD","Biodef Ramadhan 2023 – City Mom Package 2"
"P-RCM3-BD","Biodef Ramadhan 2023 – City Mom Package 3"
"P-RCM4-BD","Biodef Ramadhan 2023 – City Mom Package 4"
"P-RHLM1-BD","Biodef Ramadhan 2023 – Home Loving Mom Package 1"
"P-RHLM2-BD","Biodef Ramadhan 2023 – Home Loving Mom Package 2"
"P-RHLM3-BD","Biodef Ramadhan 2023 – Home Loving Mom Package 3"
"P-RHLM4-BD","Biodef Ramadhan 2023 – Home Loving Mom Package 4"
"P-BA-L","Birthday Package A"
"BO-SPF01-BULK","Blush On 01 Pink Fantasist"
"BO-SIP02-BULK","Blush On 02 Irredescent Pink"
"BO-SPS03-BULK","Blush On 03 Promiscious Peach"
"BO-SRE04-BULK","Blush On 04 Royal Espresso"
"BO-SBS05-BULK","Blush On 05 Brown Strada"
"BO-SCS06-BULK","Blush On 06 Caribbean Sunset"
"BO-SSS07-BULK","Blush On 07 Scarlet Sheen"
"BO-SCC08-BULK","Blush On 08 Cruise Coral"
"BO-SST09-BULK","Blush On 09 Summer Twist"
"BO-SKPP10-BULK","Blush On 10 Passion Pink"
"BO-01PFRNFSN3,5-MO","Blush on 01 Pink Fantasist Refill Not For Sale Ne Make Over (Pc(s))"
"BO-02IPRNFSN3,5-MO","Blush on 02 Iredescent Pink Refill Not For Sale Ne Make Over (Pc(s))"
"BO-03PP1RNFS3,5-MO","Blush on 03 Promicious Peach Refill Not For Sale 3 Make Over (Pc(s))"
"BO-04RERNFSN3,5-MO","Blush on 04 Royal Espresso Refill Not For Sale Net Make Over (Pc(s0)"
"BO-05BSRNFSN3,5-MO","Blush on 05 Brown Strada Refill Not For Sale Netto Make Over (Pc(s))"
"BO-06CSRNFS3,5G-MO","Blush on 06 Caribbean Sunset Refill Not For Sale 3 Make Over (Pc(s))"
"BO-07SSRNFSN3,5-MO","Blush on 07 Scarlet Sheen Refill Not For Sale Nett Make Over (Pc(s))"
"BO-08CCRNFSN3,5-MO","Blush on 08 Cruise Coral Refill Not For Sale Netto Make Over (Pc(s))"
"BO-W0F-02 BULK","Blush on New Look Seri F 02 BULK"
"BO-W0G-01 BULK","Blush on New Look Seri G 01 BULK"
"BO-W0E-01 BULK","Blush on New Seri E 01 BULK"
"BO-S01PF6GRRNFS-MO","Blush on Single 01 Pink Fantasist 6gr Refill Not f Make Over (Pc(s))"
"BO-S03PP6GRRNFS-MO","Blush on Single 03 Promiscious Peach 6gr Refill No Make Over (Pc(s))"
"BO-S06CS6GRRNFS-MO","Blush on Single 06 Caribean Sunset 6gr Refill Not Make Over (Pc(s))"
"BO-S07SS6GRRNFS-MO","Blush on Single 07 Scarlet Sheen 6gr Refill Not fo Make Over (Pc(s))"
"BO-S08CC6GRRNFS-MO","Blush on Single 08 Cruise Coral 6gr Refill Not for Make Over (Pc(s))"
"BO-W0D1&2RNFS4G-W","Blush on W0 D 01 & 02 Refill Not For Sale 4 gr Wardah (Pc(s))"
"BO-W0D015GRRNFS-W","Blush on W0 D 01 5gr Refill Not for Sale Wardah (Pc(s))"
"BO-W0E015GRRNFS-W","Blush on W0 E 01 5gr Refill Not for Sale Wardah (Pc(s))"
"BO-W0F025GRRNFS-W","Blush on W0 F 02 5gr Refill Not for Sale Wardah (Pc(s))"
"BO-W0G015GRRNFS-W","Blush on W0 G 01 5gr Refill Not for Sale Wardah (Pc(s))"
"BO-W1A1&2RNFS4G-W","Blush on W1 A 01 & 02 Refill Not For Sale 4 gr Wardah (Pc(s))"
"BO-W1B1&2RNFS4G-W","Blush on W1 B 01 & 02 Refill Not For Sale 4 gr Wardah (Pc(s))"
"BO-W1C1&2RNFS4G-W","Blush on W1 C 01 & 02 Refill Not For Sale 4 gr Wardah (Pc(s))"
"BCR-NMBMS-WBH","Body Massage with Scrub (NM)"
"BCR-NMBS-WBH","Body Spa (NM)"
"FW-BS-BULK","Bright Stuff Face Wash BULK"
"M-BSTUC-BULK","Bright Stuff Tone up Cream"
"BUKU-BYS2126-MO","Buku Because You`re Special,21x26cm,C:AC260 4/4 Glossy1/0 Embos,I:AP100 4/4,124hal,LemPanas,Shrink"
"C--BULK","Bulk Cold Wave Strong"
"CB-A-BULK","Bulk Cream Bath Avocado"
"CB-G-BULK","Bulk Cream Bath Ginseng"
"CB-K-BULK","Bulk Cream Bath Kemiri"
"CB-L1-BULK","Bulk Cream Bath Lidah Buaya"
"F-LLUBW1-WBULK","Bulk Foundation Liquid Luminous Beige WNL"
"F-LLUNW1-BULK","Bulk Foundation Liquid Luminous Natural WNL"
"F-LLUNWW1-WBULK","Bulk Foundation Liquid Luminous Natural White WNL"
"HC-A2-BULK","Bulk Hair Conditioner Apple"
"HC-F-BULK","Bulk Hair Conditioner Floral"
"HM-P-BULK","Bulk Hair Mask"
"HSP-N1B3N-BULK","Bulk Hair Spray Non Aerosol Blue Normal"
"HSP-N1G1S-BULK","Bulk Hair Spray Non Aerosol Green Strong"
"HT-G-BULK","Bulk Hair Tonic Ginseng"
"HT-G1-BULK","Bulk Hair Tonic Green"
"HT-Y1-BULK","Bulk Hair Tonic Yellow"
"SRM-H-BULK","Bulk Hydration Serum Make Over"
"L-EB18C33-BULK","Bulk L-EB18C33"
"L-E42-BULK","Bulk Lipstick Exclusive 42"
"L-EC2C30-BULK","Bulk Lipstick Exclusive Golden Coral 30"
"L-EL1C29-BULK","Bulk Lipstick Exclusive Lavender 29"
"L-ER16C23-BULK","Bulk Lipstick Exclusive Ruby Red 23"
"L-NWB1C8-BULK","Bulk Lipstick New Brown 08"
"L-NWCLC13-BULK","Bulk Lipstick New Cocoa Looks 13"
"L-NWV11C7-BULK","Bulk Lipstick New Dark Violet 07 Bulk"
"L-NWR1N3-BULK","Bulk Lipstick New Red 03 Bulk"
"L-NWR13C11-BULK","Bulk Lipstick New Satin Red 11 Bulk"
"L-WSCBC2-BULK","Bulk Lipstick Wonder Shine Creamy Brown 02"
"LW-Z-BULK","Bulk Lulur Wangi Zaitun"
"MK--BULK","Bulk Minyak Kemiri"
"M-PD-BULK","Bulk Moisturizer-pelembab Platinum Deep"
"N-L-BULK","Bulk Neutralizer"
"N-P3P-BULK","Bulk Neutralizer Platinum Triple P"
"SL--BULK","Bulk Setting Lotion"
"S-A2-BULK","Bulk Shampoo Apple Botol"
"S-G-BULK","Bulk Shampoo Ginseng"
"S-SPARLAV-BULK","Bulk Shampoo Spa Lavender"
"S-SPAEL-BULK","Bulk Shampoo Spa Lemon"
"SGL--BULK","Bulk Styling Glaze"
"SUNS-GP67S-30-BULK","Bulk Sunscreen Gel SPF 30"
"WL--BULK","Bulk Wet Look"
"P-PBA-MO","Bundling Package Perfect"
"P-NFSASRMPFC-W","Bundling Wardah Acnederm Pure Foaming Cleanser 60 ml dengan Wardah NFS Acnederm Acne Care Serum 2 ml"
"SRM-RCD-BULK","C Defense Serum Revamp"
"DDC-CDL-BULK","C-Defense DD Cream Light Bulk"
"DDC-CDN-BULK","C-Defense DD Cream Natural Bulk"
"FMI-CDFM-BULK","C-Defense Face Mist Bulk"
"SRM-CD-BULK","C-Defense Serum Bulk"
"CCC-CCL-BULK","CC Cream Bulk (Kg)"
"CCC-CCN-BULK","CC Cream Bulk (Kg)"
"BO-CPLP01-BULK","CRYSTALLURE Precious Lustre Prism Blush - 01"
"BO-CPLP02-BULK","CRYSTALLURE Precious Lustre Prism Blush - 02"
"BO-CPLP03-BULK","CRYSTALLURE Precious Lustre Prism Blush - 03"
"BO-CPLP04-BULK","CRYSTALLURE Precious Lustre Prism Blush - 04"
"DF-PCSR-BULK","CSR Disinfectan Store All Indonesia 400 ml"
"BO-CLCPE-BULK","Cheek Lit Cream Blush Peach Bulk"
"FA-CLHP-BULK","Cheek Lit Highlighter Powder"
"BO-CLPPB-BULK","Cheek Lit Pressed Blush Bittersweet"
"BO-CLPPMCB-BULK","Cheek Lit Pressed Blush Cherry Blosoms"
"BO-CLPPCCC-BULK","Cheek Lit Pressed Blush Cotton Candy"
"BO-CLPPPML-BULK","Cheek Lit Pressed Blush Marshmallow lady (PBM)"
"BO-CLPCS-BULK","Cheek Lit Pressed Blush Sugarcane"
"BO-CLPPTVB-BULK","Cheek Lit Pressed Blush Violet Berry"
"BO-CM-A BULK","Cheek Marbles A"
"BO-CM-B BULK","Cheek Marbles B"
"BO-CM-C BULK","Cheek Marbles C"
"BO-CM-D BULK","Cheek Marbles D"
"BO-CM-E BULK","Cheek Marbles E"
"BO-CLCNB-BULK","Cheeklit Cream Blush Nudie Brown Bulk"
"BO-CLCPI-BULK","Cheeklit Cream Blush Pink Bulk"
"BO-CLCVI-BULK","Cheeklit Cream Blush Violet Bulk"
"TC-CCB-BULK","City Chic CC Cake Butterscotch (CKB)"
"TC-CCL-BULK","City Chic CC Cake Latte (CKL)"
"TC-CCM-BULK","City Chic CC Cake Maringue (CKM)"
"TC-CCP-BULK","City Chic CC Cake Peach (CKP)"
"L-CHC01-BULK","Color Hypnose Creamy Lipmatte 01 Charm"
"L-CHC02-BULK","Color Hypnose Creamy Lipmatte 02 Flirt"
"L-CHC03-BULK","Color Hypnose Creamy Lipmatte 03 Allure"
"L-CHC04-BULK","Color Hypnose Creamy Lipmatte 04 Hypnotic"
"L-CHC05-BULK","Color Hypnose Creamy Lipmatte 05 Scandal"
"L-CHC06-BULK","Color Hypnose Creamy Lipmatte 06 Kiss"
"L-CHC07-BULK","Color Hypnose Creamy Lipmatte 07 Temptation"
"L-CHC08-BULK","Color Hypnose Creamy Lipmatte 08 Addicted"
"L-CHC09-BULK","Color Hypnose Creamy Lipmatte 09 Undercover"
"L-CHC10-BULK","Color Hypnose Creamy Lipmatte 10 Bewitched"
"L-CHC11-BULK","Color Hypnose Creamy Lipmatte 11 Adore"
"L-CHC12-BULK","Color Hypnose Creamy Lipmatte 12 Magnet"
"B-CLCLPA-BULK","Colorfit Mattifying Powder 22N Light Ivory"
"B-CLCLPB-BULK","Colorfit Mattifying Powder 23W Warm Ivory"
"B-CLCLPC-BULK","Colorfit Mattifying Powder 32N Neutral Beige"
"B-CLCLPD-BULK","Colorfit Mattifying Powder 43W Golden Sand"
"TWC-CLFTA-BULK","Colorfit Velvet Powder Foundation 11C Pink Fair"
"TWC-CLFTB-BULK","Colorfit Velvet Powder Foundation 22N Light Ivory"
"TWC-CLFTC-BULK","Colorfit Velvet Powder Foundation 23W Warm Ivory"
"TWC-CLFTD-BULK","Colorfit Velvet Powder Foundation 32N Neutral Beige"
"TWC-CLFTE-BULK","Colorfit Velvet Powder Foundation 33W Olive Beige"
"TWC-CLFTG-BULK","Colorfit Velvet Powder Foundation 42N Neutral Sand"
"TWC-CLFTF-BULK","Colorfit Velvet Powder Foundation 43W Golden Sand"
"TWC-CLFTH-BULK","Colorfit Velvet Powder Foundation 52N Almond"
"CB-RSH-BULK","Cream Bath Rich SPA Hair Treatment Bulk (Kg)"
"L-CMME03-BULK","Creamatte Metallic Edition 03 Unicorn Glow"
"MUP-NMCB-WBH","Creambath (NM)"
"F-W2CLUB5-BULK","Creamy Foundation Beige Light Feel Bulk"
"F-W2CLUB51-BULK","Creamy Foundation Light Beige Light Feel Bulk"
"F-W2CLUN-BULK","Creamy Foundation Natural Light Feel Bulk"
"F-W2CLUSP-BULK","Creamy Foundation Sheer Pink Light Feel Bulk"
"CM-CML-BULK","Creamy Milk Cleansing Lotion Bulk"
"P-CLBOISC-W","Crystallure Box of Indulgence - Skincare Travel Size"
"P-CLD-P","Crystallure Day Package"
"REM-CDAMG-BULK","Crystallure Double Action Micellar Gel Bulk (Kg)"
"FT-CHG-BULK","Crystallure Dual Refining Treatment Solution"
"FT-CHGN2P-W","Crystallure Dual Refining Treatment Solution 10 ml"
"FT-CHG-W","Crystallure Dual Refining Treatment Solution 120 ml"
"FT-RCHG-W","Crystallure Dual Refining Treatment Solution 120 ml Revamp"
"FT-RCHG-BULK","Crystallure Dual Refining Treatment Solution Revamp"
"P-CLER-W","Crystallure Essential Regime Set"
"P-CESR-W","Crystallure Essential Skincare Routine"
"P-CLFR-W","Crystallure Full Regime Set"
"SRM-CLA-BULK","Crystallure Lift Ampoule Serum"
"SRM-CLA-W","Crystallure Lift Ampoule Serum 30 ml"
"FW-CFW-W","Crystallure Moisture Rich Cleansing Foam 100 ml"
"FW-RCFW-W","Crystallure Moisture Rich Cleansing Foam 100 ml Revamp"
"FW-CFWN2P-W","Crystallure Moisture Rich Cleansing Foam 15 ml"
"FW-RCFW-BULK","Crystallure Moisture Rich Cleansing Foam Revamp"
"P-CLM-W","Crystallure Moisturizer Package"
"P-CLNR-W","Crystallure Night Regime Set"
"SRM-CAB-W","Crystallure Supreme Activating Booster Essence 30 ml"
"SRM-RCAB-W","Crystallure Supreme Activating Booster Essence 30 ml Revamp"
"SRM-CAB-BULK","Crystallure Supreme Activating Booster Essence Bulk (kg)"
"M-CSAOC-W","Crystallure Supreme Activating Overnight Cream 50 g"
"M-RCSAOC-W","Crystallure Supreme Activating Overnight Cream 50 g Revamp"
"SRM-RCSAE-W","Crystallure Supreme Advanced Eye Serum 15 ml Revamp"
"SRM-CSAE-BULK","Crystallure Supreme Advanced Eye Serum Bulk (Kg)"
"REM-RCDAMG-W","Crystallure Supreme Double Action Micellar Gel 150 ml Revamp"
"SRM-CSRO-W","Crystallure Supreme Revitalizing Oil Serum 30 ml"
"SRM-RCSRO-W","Crystallure Supreme Revitalizing Oil Serum 30 ml Revamp"
"SRM-CSRO-BULK","Crystallure Supreme Revitalizing Oil Serum Bulk"
"M-RCSRRC-W","Crystallure Supreme Revitalizing Rich Cream 50 g Revamp"
"P-DMU1-W","Define Your Make Up"
"MUR-DISA-BULK","Dirt-Less In Sight Make Up Remover Fase A Bulk"
"MUR-DISB-BULK","Dirt-Less In Sight Make Up Remover Fase B Bulk"
"F-WODF-BES-BULK","Double Function Kit (Base Eye Shadow) Bulk"
"F-WODF-CON01-BULK","Double Function Kit (Concealer 01) bulk"
"HBW-RETBWCN2-W","EARTH LOVE LIFE Bulgarian Rose & East Nusa Vanilla Body Wash Pouch 400 ml"
"HBW-RETBWAN2-W","EARTH LOVE LIFE East Balinese Bamboo & Oriental Mint Body Wash Pouch 400 ml"
"P-ETNYAP-W","EARTH LOVE LIFE Festive Package 2023 A – Pink"
"P-ETNYAY-W","EARTH LOVE LIFE Festive Package 2023 A – Yellow"
"P-ETNYBYRD-W","EARTH LOVE LIFE Festive Package 2023 B - Yellow"
"P-ETNYBGRD-W","EARTH LOVE LIFE Festive Package 2023 B – Green"
"P-ETNYBPRD-W","EARTH LOVE LIFE Festive Package 2023 B – Pink"
"HBW-RETBWBN2-W","EARTH LOVE LIFE Javanese Moringa & Balinese Starfruit Body Wash Pouch 400 ml"
"HBW-RETBWEN2-W","EARTH LOVE LIFE South Bali Frangipani & Tropical Coconut Water Body Wash Pouch 400 ml"
"HBW-RETBWDN2-W","EARTH LOVE LIFE Spanish Lavender & Javanese Rice Milk Body Wash Pouch 400 ml"
"P-ETNYAG-W","EARTH New Year Package A – Green"
"GWP-ERDP-W","EARTH Reed Diffuser"
"BP-BMIS-BULK","EMINA Body Mist Indian Summer Bulk"
"BP-BMSS-BULK","EMINA Body Mist Ocean Mist Bulk"
"BP-BMPD-BULK","EMINA Body Mist Pixie Dust Bulk"
"BP-BMRF-BULK","EMINA Body Mist Rain Forest Bulk"
"FT-BSE-BULK","EMINA Bright Stuff Exfoliating Toner"
"FS-BSFS-BULK","EMINA Bright Stuff Face Scrub Bulk"
"SRM-BSS-BULK","EMINA Bright Stuff Face Serum Bulk"
