Process code;Routing type;Item code;Refill code;Bulk code;Bulk size;Bulk size_FM;Priority;Filling/Packing line code;Filling/Packing ALT.;Filling/Packing loss rate;Filling/Packing production rate;Filling/Packing production rate with change over;Efficiency of Filling/Packing;Filling code;Filling ALT.;Filling loss rate;Filling production rate;Filling production rate with change over;Efficiency of Filling;Labelling code;Labelling ALT.;Labelling loss rate;Labelling production rate;Labelling production rate with change over;Efficiency of labelling;Mixing code;Mixing ALT.;Mixing loss rate;Mixing production rate;Mixing production rate with change over;Efficiency of mixing;Milling code;Milling ALT.;Milling loss rate;Milling production rate;Milling production rate with change over;Efficiency of milling;Premix code;Premix ALT.;Premix loss rate;Premix production rate;Premix production rate with change over;Efficiency of premix;Weighing code;Weighing ALT.;Weighing loss rate;Weighing production rate;Weighing production rate with change over;Efficiency of weighing;flag item;flag bulk;flag refill
STD;LR16;BO-HLT01-MO;;BO-HLT01-BULK;50;50;NOMINAL_LINE;;;;;;;EMP15;1;0.316;600;444.16;0.74;;;;;;;LVL05;1;0;0.2;0.13;0.67;LRM02;1;0;0.33;0.22;0.67;;;;;;;LWE02;1;0;0.8;0.8;1;Pc(s);g;
STD;LR16;BO-HLT01-MO;;BO-HLT01-BULK;120;120;SECONDARY_LINE;;;;;;;EMP15;1;0.1975;600;492.58;0.82;;;;;;;LVL07;1;0;0.25;0.15;0.62;LRM02;1;0;0.2;0.15;0.77;;;;;;;LWE02;1;0;0.67;0.67;1;Pc(s);g;
STD;LR16;BO-HLT02-MO;;BO-HLT02-BULK;50;50;NOMINAL_LINE;;;;;;;EMP15;1;0.271;600;451.39;0.75;;;;;;;LVL05;1;0;0.2;0.13;0.67;LRM02;1;0;0.33;0.22;0.67;;;;;;;LWE02;1;0;0.8;0.8;1;Pc(s);g;
STD;LR16;BO-HLT02-MO;;BO-HLT02-BULK;120;120;SECONDARY_LINE;;;;;;;EMP15;1;0.1975;600;492.58;0.82;;;;;;;LVL07;1;0;0.25;0.15;0.62;LRM02;1;0;0.2;0.15;0.77;;;;;;;LWE02;1;0;0.67;0.67;1;Pc(s);g;
STD;LR16;BO-HLT03-MO;;BO-HLT03-BULK;50;50;NOMINAL_LINE;;;;;;;EMP15;1;0.2725;600;451.16;0.75;;;;;;;LVL05;1;0;0.2;0.13;0.67;LRM02;1;0;0.33;0.22;0.67;;;;;;;LWE02;1;0;0.8;0.8;1;Pc(s);g;
STD;LR16;BO-HLT03-MO;;BO-HLT03-BULK;120;120;SECONDARY_LINE;;;;;;;EMP15;1;0.1975;600;492.58;0.82;;;;;;;LVL07;1;0;0.25;0.15;0.62;LRM02;1;0;0.2;0.15;0.77;;;;;;;LWE02;1;0;0.67;0.67;1;Pc(s);g;
STD;LR16;BO-HLT04-MO;;BO-HLT04-BULK;50;50;NOMINAL_LINE;;;;;;;EMP15;1;0.2725;600;451.16;0.75;;;;;;;LVL05;1;0;0.2;0.13;0.67;LRM02;1;0;0.33;0.22;0.67;;;;;;;LWE02;1;0;0.8;0.8;1;Pc(s);g;
STD;LR16;BO-HLT04-MO;;BO-HLT04-BULK;120;120;SECONDARY_LINE;;;;;;;EMP15;1;0.1975;600;492.58;0.82;;;;;;;LVL07;1;0;0.25;0.15;0.62;LRM02;1;0;0.2;0.15;0.77;;;;;;;LWE02;1;0;0.67;0.67;1;Pc(s);g;
STD;LR16;BO-HLT05-MO;;BO-HLT05-BULK;50;50;NOMINAL_LINE;;;;;;;EMP15;1;0.2725;600;451.16;0.75;;;;;;;LVL05;1;0;0.2;0.13;0.67;LRM02;1;0;0.33;0.22;0.67;;;;;;;LWE02;1;0;0.8;0.8;1;Pc(s);g;
STD;LR16;BO-HLT05-MO;;BO-HLT05-BULK;120;120;SECONDARY_LINE;;;;;;;EMP15;1;0.1975;600;492.58;0.82;;;;;;;LVL07;1;0;0.25;0.15;0.62;LRM02;1;0;0.2;0.15;0.77;;;;;;;LWE02;1;0;0.67;0.67;1;Pc(s);g;
