"#","Schedule Due","Kode SL","Snfg","Nama Fg","Jumlah Pcs","Qty Release","Qty Not Hit","Type","Remark","Level 1","Level 2","Level 3","Actions"
"219","2022-07-11","ux1 ","FA-UGHP-MO/H0009","MAKE OVER Powerstay Ultra Glow Highlighter 3 x 3.5 g","1300","1241","59","NI","di close karena refil habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"220","2022-07-11","(not set)","L-CLADC04-W/BSH0001","Wardah Colorfit Last All Day Lip Paint 15. Dazzling New York","1008","408","600","NI","Stok packaging habis","Internal – Material Supply","Raw Material Supply","Quantity tidak sesuai",""
"221","2022-07-11","xd1 ","BP-SPCE-W35ML/H0005","Wardah Scentsation Peaceful Eau De Toilette 35 ml (Pc(s))","7668","7488","180","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"222","2022-07-11","dm1 ","FM-MCC-W60ML/H0016","Wardah Nature Daily Mineral+ Clarifying Clay Mask 60 ml","13608","12888","720","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"223","2022-07-11","ke1 ","PRM-PCCYW-MO/H0004","MAKE OVER POWERSTAY Color Correcting Primer Yellow 25 ml","1483","","1483","NI","(not set)","(not set)","(not set)","(not set)",""
"224","2022-07-11","adv6 ","FW-FW01-KA/H0066","Kahf Gentle Exfoliating Face Scrub 100 ml","9120","9000","120","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"225","2022-07-11","AKM1 ","EL-ELT-EM/H0002","EMINA Total Eclipse Pen Liner 1 ml","14545","12840","1705","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"226","2022-07-11","wv2 ","FT-LFT-W/H0057","Wardah Lightening Face Toner 125 ml","23640","22824","816","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"227","2022-07-11","rs1 ","TC-R3LLF01-W/H0030","Wardah Lightening Powder Foundation Light Feel 01 Light Beige 12 g","7488","7449","39","NI","di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"228","2022-07-11","en2 ","BO-CLCPI-EM10ML/H0006","Emina Cheek Lit Cream Blush Pink 10 ml (Pc(s))","3760","3710","50","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"229","2022-07-11","iy2 ","FW-BSW-EM/H0019","Emina Bright Stuff Whip Face Wash 50 ml","18449","18100","349","NI","BULK HABIS ","Loss MPQ","Bulk habis","Hilang karena proses",""
"230","2022-07-11","AXI1 ","L-LTD-OMG/H0002","OMG Oh My Glam Juicy Kiss Lip Tint Serum – 04 Juicy Plum","8876","8700","176","NI","loss MPQ","Loss MPQ","Packaging habis","Reject &gt; standar",""
"231","2022-07-11","fn1 ","WL-P1-P100/H0008","Putri Wet Look 100 ML (Pc(s))","5560","5544","16","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"232","2022-07-11","qp1 ","L-GS01-EM/H0008","Emina Glossy Stain 01 Autumn Bell 3 g","29568","28992","576","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"233","2022-07-11","yx2 ","M-LDCN1-W/H0025","Wardah Lightening Day Cream Advanced Niacinamide 20 mL","43940","17280","26660","NH,NI","(not set)","(not set)","(not set)","(not set)",""
"234","2022-07-11","sc1 ","TC-RR3LLF04-W/H0028","Wardah Refill Lightening Powder Foundation Light Feel 04 Natural 12 g","27072","11520","15552","NI","sortir karena puff ketinggalan 1 pcs di mesin kartoning kejepit di finger","Man","Human Error","Human Error Pengemasan",""
"235","2022-07-11","(not set)","L-CLADC03-W/BSH0001","Wardah Colorfit Last All Day Lip Paint 14. Royal London","1008","638","370","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"236","2022-07-11","sb1 ","TC-RR3LLF03-W/H0032","Wardah Refill Lightening Powder Foundation Light Feel 03 Sheer Pink 12 g","27360","26398","962","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"237","2022-07-11","aze1 ","SRM-RAGIS-W/H0001","Wardah Renew You Anti Aging Intensive Serum 17 ml (New Pack)","31646","25200","6446","NI","(not set)","(not set)","(not set)","(not set)",""
"238","2022-07-11","wc1 ","SS-SBSP30-EM/H0018","Emina Skin Buddy Sun Protection SPF 30 PA+++ 60 ml","15813","15696","117","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"239","2022-07-11","abg1 ","L-CUMKORE-W/H0016","Wardah Colorfit Ultralight Matte Lipstick 13 Upbeat Hongdae 3.6 g","4752","4541","211","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"240","2022-07-09","xf1 ","F-PTCMCW22-MO/H0011","MAKE OVER Powerstay Total Cover Matte Cream Foundation W22 Warm Ivory 12 g","1152","1145","7","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"241","2022-07-09","yq2 ","L-CHC01-MO/H0016","MAKE OVER Color Hypnose Creamy Lipmatte 01 Charm 4.3 g","528","486","42","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"242","2022-07-09","xg1 ","F-PTCMCW33-MO/H0011","MAKE OVER Powerstay Total Cover Matte Cream Foundation W33 Honey Beige 12 g","216","205","11","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"243","2022-07-09","aax1 ","L-HSLWB-MO/H0004","Make Over Hydrastay Smooth Lip Whip C02 Ballad 6.5 g","360","","360","NH,NI","Due kemas belum di update .","Leadtime","Select Kendala","Standar tidak ada/belum update",""
"244","2022-07-09","dv3 ","L-LL09-W2.3G/H0027","Wardah Lipstick Longlasting 09 Vibrant Red 2.3 g (Pc(s))","1752","1750","2","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"245","2022-07-09","pn2 ","L-CUMKORD-W/H0014","Wardah Colorfit Ultralight Matte Lipstick 12 Autumn Nami 3.6 g","4752","4656","96","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"246","2022-07-09","QP1 ","L-GS01-EM/H0007","Emina Glossy Stain 01 Autumn Bell 3 g","29568","27804","1764","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"247","2022-07-08","ael1 ","L-EMC01DP-W/H0002","Wardah Exclusive Matte Lip Cream 01 Red-dicted 4g","22608","21792","816","NI","dusat habis","Internal – Material Supply","Select Kendala","Delay Pengiriman",""
"248","2022-07-08","qi2 ","BO-W1A-W4GR/H0011","Wardah Blush On A 4 gr","3000","2991","9","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"249","2022-07-08","bi3 ","FW-PCSAC-KA/H0086","Kahf Oil and Acne Care Face Wash 100 ml","9508","8745","763","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"250","2022-07-08","(not set)","LB-EVFSS-W4G/BSH0013","Wardah Everyday Fruity Sheer Lip Balm Strawberry 4 g","816","653","163","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"251","2022-07-08","pn1 ","L-CUMKORD-W/H0013","Wardah Colorfit Ultralight Matte Lipstick 12 Autumn Nami 3.6 g","4752","4436","316","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"252","2022-07-08","vo3 ","TC-RRE03-W/H0035","Wardah Refill Exclusive Two Way Cake 03 Sandy Beige 12 g","7425","7227","198","NI","di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"253","2022-07-08","(not set)","TC-W3RELLI4-W12G/BSH0006","Wardah Refill Evd Lum Two Way Cake 04 Light Ivory 12 g (Pc(s))","576","527","49","NI","di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"254","2022-07-08","vp1 ","TC-RRE04-W/H0032","Wardah Refill Exclusive Two Way Cake 04 Natural 12 g","7470","7056","414","NI","bUlk habis di close","Loss MPQ","Bulk habis","Hilang karena proses",""
"255","2022-07-08","(not set)","L-REMA04-W/BSH0001","Wardah Exclusive Matte Lipstick 04 Orange 3.5 g","576","542","34","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"256","2022-07-08","UG3 ","LB-EVLNH-W4G/H0023","Wardah Everyday Moisture Lip Nutrition Honey 4 g","4272","","4272","NH,NI","(not set)","(not set)","(not set)","(not set)",""
"257","2022-07-08","xb1 ","BP-SBSE-W35ML/H0005","Wardah Scentsation Bliss Eau De Toilette 35 ml (Pc(s))","7632","6732","900","NI","(not set)","(not set)","(not set)","(not set)",""
"258","2022-07-08","fp1 ","TC-RPC08-MO12G/H0011","MAKE OVER Perfect Cover Refill TWC 08 Honey 12 g (Pc(s))","1440","","1440","NH,NI","efek bulk telat release dan di close karena bulk habis","Leadtime","Leadtime &gt; Standard","Efek Domino Pendingan",""
"259","2022-07-08","aer1 ","L-EMC16DP-W/H0002","Wardah Exclusive Matte Lip Cream 16 Heartbeet 4g","9792","9792","","NH","(not set)","(not set)","(not set)","(not set)",""
"260","2022-07-08","UG2 ","LB-EVLNH-W4G/H0022","Wardah Everyday Moisture Lip Nutrition Honey 4 g","4272","","4272","NH,NI","Due kemas belum update","Leadtime","Leadtime &gt; Standard","Select Kendala",""
"261","2022-07-08","uc1 ","L-IPMMS03-W3.5G/H0008","Wardah Instaperfect MATTETITUDE Matte Stain Lipstick 03. FEMME 3.5 g","792","648","144","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
