"Product Korporat Code","BoM Lines/Product Template/Korporat Code","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"MY-CUSIPF-W","CUS-IPF-W","1.0","Pc(s)"
"","STIC-PALLCR1-WM","1.0","Pc(s)"
"","KB-WIPSKMMR1-W","0.0208333","Pc(s)"
"REM-GOC-TA","REM-GOC-BULK","0.1","kg"
"","TUBE-TGTO1C100R0-T","1.0","Pc(s)"
"","DUS-TGTO1C100R0-T","1.0","Pc(s)"
"","KB-SATURNUSR0-T","0.0833333","Pc(s)"
"","STIC-PINGDGTO1C100-T","1.0","Pc(s)"
"","STIC-SDGTO1C100-T","1.0","Pc(s)"
"L-REMO43-W","L-REMO43-BULK","0.0035","kg"
"","CONT-EMLRLR0-WRL","1.0","Pc(s)"
"","CAPC-EMLRLR0-WRL","1.0","Pc(s)"
"","STIC-BTEMO43R1-WCNF","1.0","Pc(s)"
"","DUS-EMOR0-WIMVG","1.0","Pc(s)"
"","STIC-BCEMO43R1-WCNF","1.0","Pc(s)"
"","IBOX-12ELRLR1-W","0.08333","Pc(s)"
"","KB-WLER1-KMK125CF","0.00694","Pc(s)"
"P-SSHUE-L","FW-GS-L","1.0","Pc(s)"
"","M-BRERMC-L","1.0","Pc(s)"
"","SS-DUVSDE-L","1.0","Pc(s)"
"","POUC-BSP22-L","1.0","Pc(s)"
"","LEAF-HUEP-L","1.0","Pc(s)"
"","KB-LABBR0-L","0.5","Pc(s)"
"SRM-PSDS-MO","SRM-PSDS-BULK","0.03","kg"
"","BOTO-PSIPSSR0-MO","1.0","Pc(s)"
"","BOTO-PSPSSR0-MO","1.0","Pc(s)"
"","PU-PSPSSR0-MO","1.0","Pc(s)"
"HBW-ETBWCN2-W","HBW-ETBWC-BULK","0.45","kg"
"","PU-LED28BR0-W","1.0","Pc(s)"
"","STIC-FRVBW450R0-ELL","1.0","Pc(s)"
"","STIC-BRVBW450R0-ELL","1.0","Pc(s)"
"","BOTO-PETE450-ELL","1.0","Pc(s)"
"","KB-WBETAR1-W","0.0769231","Pc(s)"
"L-REMA06-W","L-REMA06-BULK","0.0035","kg"
"","CAPC-ELRLR0-WASBS","1.0","Pc(s)"
"","CONT-ELRLR0-WASBS","1.0","Pc(s)"
"","STIC-BTEMA06R1-WCNF","1.0","Pc(s)"
"","DUS-EMAR0-WIMVG","1.0","Pc(s)"
"","STIC-BCEMA06R1-WRL","1.0","Pc(s)"
