"SNFG","Reference","Product","Sediaan","Scheduled Start Date","Scheduled Finished Date","Operation Type","Manufacturing Order","State","Streamline","Unit of Measure"
"P-RURM-BD/I0001","P-RURM-BD/I0001","[P-RURM-BD] Biodef Ramadhan Package 2023 Urban Mom","J6","2023-01-26","2023-01-26","PTI: Jatake 6 - Kemas","MO/230004139","Confirmed","SL","Pc(s)"
"P-ROUM-BD/I0001","P-ROUM-BD/I0001","[P-ROUM-BD] Biodef Ramadhan Package 2023 Outdoor Mom","J6","2023-01-26","2023-01-26","PTI: Jatake 6 - Kemas","MO/230004140","Confirmed","SL","Pc(s)"
"P-RHLM-BD/I0001","P-RHLM-BD/I0001","[P-RHLM-BD] Biodef Ramadhan Package 2023 Home Lovin’ Mom","J6","2023-01-26","2023-01-26","PTI: Jatake 6 - Kemas","MO/230004141","Confirmed","SL","Pc(s)"
"P-SCPHF-KA/I0001","P-SCPHF-KA/I0001","[P-SCPHF-KA] Kahf Humbling Forest Essential Package","J6","2023-01-26","2023-01-27","PTI: Jatake 6 - Kemas","MO/230004142","Confirmed","SL","Pc(s)"
"P-FC-KA/I0001","P-FC-KA/I0001","[P-FC-KA] Kahf Facial Care Package","J6","2023-01-26","2023-01-27","PTI: Jatake 6 - Kemas","MO/230004143","Confirmed","SL","Pc(s)"
"P-SCPIW-KA/I0001","P-SCPIW-KA/I0001","[P-SCPIW-KA] Kahf Invigorating Waterfall Essential Package","J6","2023-01-27","2023-01-30","PTI: Jatake 6 - Kemas","MO/230004144","Confirmed","SL","Pc(s)"
"P-SCPRO-KA/I0001","P-SCPRO-KA/I0001","[P-SCPRO-KA] Kahf Revered Oud Essential Package","J6","2023-01-26","2023-01-27","PTI: Jatake 6 - Kemas","MO/230004145","Confirmed","SL","Pc(s)"
"P-SCPTB-KA/I0001","P-SCPTB-KA/I0001","[P-SCPTB-KA] Kahf True Brotherhood Essential Package","J6","2023-01-26","2023-01-27","PTI: Jatake 6 - Kemas","MO/230004146","Confirmed","SL","Pc(s)"
"FM-RLN2-W/I0001","MO-FM-RLN2-BULK/I0001","[FM-RLN2-BULK] Wardah Lightening Blue Clay Mask Bulk","L","2023-01-23","2023-01-24","PTI: Jatake 2 - Olah","MO/230004151","Confirmed","A","kg"
"WARN-ABIO-MONEL/I0001","MO-WARN-ABIO-MONEL/I0001","[WARN-ABIO-MONEL] Monokrom Elastomer Black A-IO","S","2023-01-24","2023-01-27","PTI: Jatake 1 - Antara","MO/230004159","Confirmed","A","kg"
"WARN-TE--PBULK/I0010","MO-WARN-TE--PBULK/I0010","[WARN-TE--PBULK] Stok warna Tudor Eboni -PowderBULK","L","2023-01-26","2023-01-27","PTI: Jatake 2 - Antara","MO/230004152","Confirmed","B","kg"
"LB-EVFSS-W4G/I0007","LB-EVFSS-W4G/I0007","[LB-EVFSS-W4G] Wardah Everyday Fruity Sheer Lip Balm Strawberry 4 g","S","2023-01-23","2023-01-27","PTI: Jatake 1 - Kemas","MO/230004154","Confirmed","B","Pc(s)"
"LB-EVLNH-W4G/I0006","LB-EVLNH-W4G/I0006","[LB-EVLNH-W4G] Wardah Everyday Moisture Lip Nutrition Honey 4 g","S","2023-01-23","2023-01-27","PTI: Jatake 1 - Kemas","MO/230004155","Confirmed","B","Pc(s)"
"L-HSLWL-MO/I0003","L-HSLWL-MO/I0003","[L-HSLWL-MO] Make Over Hydrastay Smooth Lip Whip C12 Detail 6.5 g","S","2023-01-23","2023-01-27","PTI: Jatake 1 - Kemas","MO/230004156","Confirmed","A","Pc(s)"
"BOTP-CADLP13DLR0-W/PLI0002","BOTP-CADLP13DLR0-W/PLI0002","[BOTP-CADLP13DLR0-W] Bottle Printed CAD Lip Paint 13 Dubai Lux W","S","2023-01-30","2023-02-01","PTI: Jatake 6 - SFG Kemas","MO/230004160","Confirmed","","Pc(s)"
"BOTP-CADLP16KLR0-W/PLI0002","BOTP-CADLP16KLR0-W/PLI0002","[BOTP-CADLP16KLR0-W] Bottle Printed CAD Lip Paint 16 Kuala Lumpur Joy W","S","2023-01-31","2023-02-01","PTI: Jatake 6 - SFG Kemas","MO/230004161","Confirmed","","Pc(s)"
"BOTP-CADLP16KLR0-W/PLI0003","BOTP-CADLP16KLR0-W/PLI0003","[BOTP-CADLP16KLR0-W] Bottle Printed CAD Lip Paint 16 Kuala Lumpur Joy W","S","2023-02-01","2023-02-02","PTI: Jatake 6 - SFG Kemas","MO/230004162","Confirmed","","Pc(s)"
"BOTP-MLMPR0-IP/PLI0001","BOTP-MLMPR0-IP/PLI0001","[BOTP-MLMPR0-IP] Bottle Printing Mattesetter Lip Matte Paint Instaperfect,3 Pass Digital Printed","S","2023-01-30","2023-01-31","PTI: Jatake 6 - SFG Kemas","MO/230004163","Confirmed","","Pc(s)"
"BOTP-MLMPR0-IP/PLI0002","BOTP-MLMPR0-IP/PLI0002","[BOTP-MLMPR0-IP] Bottle Printing Mattesetter Lip Matte Paint Instaperfect,3 Pass Digital Printed","S","2023-01-31","2023-02-01","PTI: Jatake 6 - SFG Kemas","MO/230004164","Confirmed","","Pc(s)"
"BOTP-MLMPR0-IP/PLI0003","BOTP-MLMPR0-IP/PLI0003","[BOTP-MLMPR0-IP] Bottle Printing Mattesetter Lip Matte Paint Instaperfect,3 Pass Digital Printed","S","2023-02-01","2023-02-02","PTI: Jatake 6 - SFG Kemas","MO/230004165","Confirmed","","Pc(s)"
"BOTP-MLMPR0-IP/PLI0004","BOTP-MLMPR0-IP/PLI0004","[BOTP-MLMPR0-IP] Bottle Printing Mattesetter Lip Matte Paint Instaperfect,3 Pass Digital Printed","S","2023-02-02","2023-02-03","PTI: Jatake 6 - SFG Kemas","MO/230004166","Confirmed","","Pc(s)"
"BOTP-EMLCR0-W/PLI0022","BOTP-EMLCR0-W/PLI0022","[BOTP-EMLCR0-W] Bottle Print Exclusive Matte Lip Cream Wardah,DigitalPrinted","S","2023-01-30","2023-02-01","PTI: Jatake 6 - SFG Kemas","MO/230004167","Confirmed","","Pc(s)"
"BOTP-EMLCR0-W/PLI0023","BOTP-EMLCR0-W/PLI0023","[BOTP-EMLCR0-W] Bottle Print Exclusive Matte Lip Cream Wardah,DigitalPrinted","S","2023-01-31","2023-02-02","PTI: Jatake 6 - SFG Kemas","MO/230004168","Confirmed","","Pc(s)"
"BOTP-EMLCR0-W/PLI0024","BOTP-EMLCR0-W/PLI0024","[BOTP-EMLCR0-W] Bottle Print Exclusive Matte Lip Cream Wardah,DigitalPrinted","S","2023-01-31","2023-02-02","PTI: Jatake 6 - SFG Kemas","MO/230004169","Confirmed","","Pc(s)"
"BOTP-EMLCR0-W/PLI0025","BOTP-EMLCR0-W/PLI0025","[BOTP-EMLCR0-W] Bottle Print Exclusive Matte Lip Cream Wardah,DigitalPrinted","S","2023-02-02","2023-02-04","PTI: Jatake 6 - SFG Kemas","MO/230004170","Confirmed","","Pc(s)"
"BOTP-EMLCR0-W/PLI0026","BOTP-EMLCR0-W/PLI0026","[BOTP-EMLCR0-W] Bottle Print Exclusive Matte Lip Cream Wardah,DigitalPrinted","S","2023-02-02","2023-02-04","PTI: Jatake 6 - SFG Kemas","MO/230004171","Confirmed","","Pc(s)"
"BOTP-EMLCR0-W/PLI0027","BOTP-EMLCR0-W/PLI0027","[BOTP-EMLCR0-W] Bottle Print Exclusive Matte Lip Cream Wardah,DigitalPrinted","S","2023-02-03","2023-02-06","PTI: Jatake 6 - SFG Kemas","MO/230004172","Confirmed","","Pc(s)"
"BOTP-EMLCR0-W/PLI0028","BOTP-EMLCR0-W/PLI0028","[BOTP-EMLCR0-W] Bottle Print Exclusive Matte Lip Cream Wardah,DigitalPrinted","S","2023-02-03","2023-02-06","PTI: Jatake 6 - SFG Kemas","MO/230004173","Confirmed","","Pc(s)"
"BOTP-EMLCR0-W/PLI0029","BOTP-EMLCR0-W/PLI0029","[BOTP-EMLCR0-W] Bottle Print Exclusive Matte Lip Cream Wardah,DigitalPrinted","S","2023-02-05","2023-02-06","PTI: Jatake 6 - SFG Kemas","MO/230004174","Confirmed","","Pc(s)"
"BOTP-PCHCAREV12-P/PLI0002","BOTP-PCHCAREV12-P/PLI0002","[BOTP-PCHCAREV12-P] Botol Print Pure Clean Conditioner Apple Rev-1 Putri 200 ML","L","2023-01-30","2023-02-01","PTI: Jatake 6 - SFG Kemas","MO/230004175","Confirmed","","Pc(s)"
"POTP-CBAV720REV-P/PLI0001","POTP-CBAV720REV-P/PLI0001","[POTP-CBAV720REV-P] Pot Print Creambath Aloe Vera Rev-1  720 ml Putri","L","2023-01-30","2023-01-31","PTI: Jatake 6 - SFG Kemas","MO/230004176","Confirmed","","Pc(s)"
"BOTP-HTSPALREV1-P/PLI0001","BOTP-HTSPALREV1-P/PLI0001","[BOTP-HTSPALREV1-P] Botol Print Hair Tonic Spa Lavender Rev-1  200 ml Putri","L","2023-01-30","2023-01-31","PTI: Jatake 6 - SFG Kemas","MO/230004177","Confirmed","","Pc(s)"
"BOTP-HTNKREV120-P/PLI0001","BOTP-HTNKREV120-P/PLI0001","[BOTP-HTNKREV120-P] Botol Print Hair Tonic Normal Kuning Rev-1 200 ml Putri","L","2023-01-30","2023-02-01","PTI: Jatake 6 - SFG Kemas","MO/230004178","Confirmed","","Pc(s)"
"BOTP-PCHCFREV14-P/PLI0001","BOTP-PCHCFREV14-P/PLI0001","[BOTP-PCHCFREV14-P] Botol Print Pure Clean Hair Conditioner Floral 450 ml Rev-1","L","2023-01-31","2023-02-02","PTI: Jatake 6 - SFG Kemas","MO/230004179","Confirmed","","Pc(s)"
"BOTP-PCHCFREV12-P/PLI0002","BOTP-PCHCFREV12-P/PLI0002","[BOTP-PCHCFREV12-P] Botol Print Pure Clean Hair Conditioner Floral Rev-1 Putri","L","2023-02-01","2023-02-03","PTI: Jatake 6 - SFG Kemas","MO/230004180","Confirmed","","Pc(s)"
