"#","Nomo","Snfg","Snfg Komponen","Posisi","Jenis Proses","Lanjutan","Datetime Write","Start","Due","Nama Fg","Process Status","Is Done","Koitem FG","No Batch","Actions"
"30","MO-M-RWSDC-BULK/I0009","M-RWSDCNP-W/I0001","M-RWSDCNP-W/I0001","QC FG","JADWAL BARU","2","(not set)","2023-02-06","2023-02-09","Wardah Crystal Secret Brightening Day Cream 9 ml &lt;SFG&gt;","Processing","Done","M-RWSDCNP-W","BJ07A",""
"31","MO-FW-NSHTC-BULK/I0001","FW-NSHTC-W/I0001","FW-NSHTC-W/I0001","QC FG","JADWAL BARU","1","(not set)","2023-02-13","2023-02-17","Wardah Head to Toe Cleanser 40 ml","Processing","Done","FW-NSHTC-W","BJ17A",""
"32","MO-FW-NSCB-BULK/I0003","FW-NSCB-KA/I0003","FW-NSCB-KA/I0003","QC FG","JADWAL BARU","1","(not set)","2023-03-16","2023-03-17","Kahf Cooling and Brightening Face Wash 100 ml","Processing","Done","FW-NSCB-KA","CJ21A",""
"33","MO-SRM-RBSS-BULK/I0001","SRM-RBSS-EM/I0001","SRM-RBSS-EM/I0001","QC FG","JADWAL BARU","1","(not set)","2023-03-07","2023-03-09","Emina Bright Stuff Face Serum 30 ml","Processing","Done","SRM-RBSS-EM","CJ08A",""
"34","MO-BBC-RL02-BULK/I0001","BBC-RL02N1-W/I0001","BBC-RL02N1-W/I0001","QC FG","JADWAL BARU","1","(not set)","2023-03-27","2023-04-08","Wardah Lightening Fresh BB Tint 02 Light Ivory (22N) 30 ml","Processing","Done","BBC-RL02N1-W","CJ27A",""
"35","MO-L-MLCQ-BULK/I0001","L-MLCQ-OMG/I0001","L-MLCQ-OMG/I0001","QC FG","JADWAL BARU","1","(not set)","2023-03-20","2023-03-25","OMG OH MY GLAM Matte Kiss Lip Cream Socialite Edition 17 Queen 3.5 g","Processing","Done","L-MLCQ-OMG","CJ18A",""
"36","MO-SS-DUVSDE-BULK/I0009","SS-DUVSDENP-L/I0002","SS-DUVSDENP-L/I0002","QC FG","JADWAL BARU","1","(not set)","2023-03-24","2023-03-25","LABORE Sensitive Skin Care BiomeProtect Physical Sunscreen 10 ml &lt;SFG&gt;","Processing","Done","SS-DUVSDENP-L","CJ24A",""
"37","MO-SS-NSFBH-BULK/I0001","SS-NSFBH-KA/I0001","SS-NSFBH-KA/I0001","QC FG","JADWAL BARU","1","(not set)","2023-02-20","2023-02-23","Kahf Complete Protection Face and Body Sunscreen Moisturizer 100 ml","Processing","Done","SS-NSFBH-KA","BJ21A",""
"38","MO-D-R1ADP-BULK/I0001","D-W0R-W60MLNP/I0001","D-W0R-W60MLNP/I0001","QC FG","JADWAL BARU","1","(not set)","2023-02-22","2023-02-27","Wardah Deo Roll On Non Perfume 60 ml (Pc(s))","Processing","Done","D-W0R-W60MLNP","BJ23A",""
"39","MO-SS-NSFBH-BULK/I0002","SS-NSFBH-KA/I0002","SS-NSFBH-KA/I0002","QC FG","JADWAL BARU","1","(not set)","2023-03-14","2023-03-15","Kahf Complete Protection Face and Body Sunscreen Moisturizer 100 ml","Processing","Done","SS-NSFBH-KA","CJ23A",""
"40","MO-SS-NSSPF30-BULK/I0001","SS-NSSPF30-W/I0001","SS-NSSPF30-W/I0001","QC FG","JADWAL BARU","3","(not set)","2023-03-02","2023-03-07","Wardah Sun Shield 40 ml","Processing","Done","SS-NSSPF30-W","CJ06A",""
"41","MO-SS-NSSPF30-BULK/I0002","SS-NSSPF30-W/I0002","SS-NSSPF30-W/I0002","QC FG","JADWAL BARU","3","(not set)","2023-04-03","2023-04-05","Wardah Sun Shield 40 ml","Processing","Done","SS-NSSPF30-W","DJ04A",""
"42","MO-L-GS09-BULK/I0002","L-GS09-EM/I0002","L-GS09-EM/I0002","QC FG","JADWAL BARU","2","(not set)","2023-04-01","2023-04-10","Emina Glossy Stain 09 Red Bean 3 g","Processing","Done","L-GS09-EM","DJ03A",""
"43","MO-SS-SB50-BULK/I0001","SS-SB50-EM/I0001","SS-SB50-EM/I0001","QC FG","JADWAL BARU","1","(not set)","2023-03-06","2023-03-10","Emina Sun Battle SPF 50 PA++++ for Barrier Hydraboost 30 ml","Processing","Done","SS-SB50-EM","CJ07A",""
"44","MO-SS-SBAS-BULK/I0002","SS-SBAS-EM/I0002","SS-SBAS-EM/I0002","QC FG","JADWAL BARU","1","(not set)","2023-03-04","2023-03-08","Emina Sun Battle SPF 50 PA++++ for Acne and Sebum Fighter 30 ml","Processing","Done","SS-SBAS-EM","CJ06A",""
"45","MO-D-NSAP-BULK/I0001","D-NSAP-W/I0001","D-NSAP-W/I0001","QC FG","JADWAL BARU","2","(not set)","2023-03-02","2023-03-09","Wardah Anti-Perspirant Deodorant 60 ml","Processing","Done","D-NSAP-W","CJ04A",""
"46","MO-D-NSDH-BULK/I0001","D-NSDH-KA/I0001","D-NSDH-KA/I0001","QC FG","JADWAL BARU","1","(not set)","2023-02-22","2023-03-09","Kahf Comforting Antiperspirant Deodorant 50 ml","Processing","Done","D-NSDH-KA","CJ01A",""
"47","MO-D-NSDH-BULK/I0002","D-NSDH-KA/I0002","D-NSDH-KA/I0002","QC FG","JADWAL BARU","1","(not set)","2023-03-16","2023-03-27","Kahf Comforting Antiperspirant Deodorant 50 ml","Processing","Done","D-NSDH-KA","CJ16A",""
"48","MO-D-RO02-BULK/I0001","D-RO02-KA/I0001","D-RO02-KA/I0001","QC FG","JADWAL BARU","1","(not set)","2023-02-07","2023-02-10","Kahf Dynamics Force Antiperspirant Deodorant 45 ml","Processing","Done","D-RO02-KA","BJ08A",""
"49","MO-SS-UVSDSIF-BULK/I0001","SS-UVSDSIF-W/I0001","SS-UVSDSIF-W/I0001","QC FG","JADWAL BARU","1","(not set)","2023-03-02","2023-03-08","Wardah UV Shield Essential Sunscreen Gel SPF 30 40 ml (REVAMP)","Processing","Done","SS-UVSDSIF-W","CJ06A",""
"50","MO-SS-UVSAMSF-BULK/I0002","SS-UVSAMSF-W/I0002","SS-UVSAMSF-W/I0002","QC FG","JADWAL BARU","1","(not set)","2023-03-29","2023-04-02","Wardah UV Shield Aqua Fresh Essence SPF 50 30 ml (REVAMP MATTE FINISH)","Processing","Done","SS-UVSAMSF-W","CJ30A",""
"51","MO-FW-GS-BULK/I0002","FW-GSNP-L/I0002","FW-GSNP-L/I0002","QC FG","JADWAL BARU","1","(not set)","2023-03-24","2023-03-25","LABORE Sensitive Skin Care GentleBiome Mild Cleanser 15 ml &lt;SFG&gt;","Processing","Done","FW-GSNP-L","CJ24B",""
"52","-","BOTO-SBSLPR4-E/I0099","BOTO-SBSLPR4-E/I0099","QC FG","JADWAL BARU","1","2023-04-05 07:10:44+07","2023-03-27","2023-04-08","Botol+Shrink Bright Stuff Loose Powder REV-4 Emina.HDPE-LDPE.NoFinishing","Next Process","Done","BOTO-SBSLPR4-E","(not set)",""
"53","MO-FW-RWSABHA-BULK/I0037","FW-RWSABHA-W/I0035","FW-RWSABHA-W/I0035","KEMAS_2","FILLING-PACKING_INLINE","1","2023-04-05 07:10:00+07","2023-04-04","2023-04-19","Wardah Crystal Secret Foaming Cleanser with Natural AHA+PHA 100 ml","Processing","(not set)","FW-RWSABHA-W","DJ04A",""
"54","MO-L-MLCL-BULK/I0026","L-MLCL-OMG/I0026","L-MLCL-OMG/I0026","PENGOLAHAN","OLAH 1","2","2023-04-05 07:06:00+07","2023-04-03","2023-04-08","OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet 3.5 g","Processing","(not set)","L-MLCL-OMG","DJ05A",""
"55","MO-L-MLCK-BULK/I0019","L-MLCK-OMG/I0019","L-MLCK-OMG/I0019","KEMAS_2","FILLING-PACKING_INLINE","2","2023-04-05 07:05:00+07","2023-04-01","2023-04-05","OMG OH MY GLAM Matte Kiss Lip Cream 11 Bumble 3.5 g","Processing","(not set)","L-MLCK-OMG","DJ01A",""
"56","MO-D-RO-BULK/I0020","D-RO-KA/I0020","D-RO-KA/I0020","PENGOLAHAN","OLAH 2","2","2023-04-05 06:52:00+07","2023-04-04","2023-04-06","Kahf Soothing Antiperspirant Deodorant 50 ml","Processing","(not set)","D-RO-KA","DJ05A",""
"57","MO-L-CUMKORB-BULK/I0021","L-CUMKORB-W/I0021","L-CUMKORB-W/I0021","KEMAS_2","FILLING-PACKING_INLINE","1","2023-04-05 06:32:00+07","2023-04-03","2023-04-09","Wardah Colorfit Ultralight Matte Lipstick 10 Stunning Seoul 3.6 g","Next Process","(not set)","L-CUMKORB-W","DJ04A",""
"58","MO-L-CVM014-BULK/I0007","L-CVM014-W/I0007","L-CVM014-W/I0007","KEMAS_2","FILLING-PACKING_INLINE","1","2023-04-05 06:30:00+07","2023-04-01","2023-04-05","Wardah Colorfit Velvet Matte Lip Mousse 14 Dainty Caramel 4 g","Next Process","(not set)","L-CVM014-W","DJ03A",""
"59","MO-FW-PCSAC-BULK/I0156","FW-PCSAC-KA/I0156","FW-PCSAC-KA/I0156","KEMAS_2","FILLING-PACKING_INLINE","1","2023-04-05 06:30:00+07","2023-03-27","2023-04-12","Kahf Oil and Acne Care Face Wash 100 ml","Next Process","(not set)","FW-PCSAC-KA","DJ04A",""
"60","MO-L-CHC05-BULK/I0016","L-CHC05-MO/I0016","L-CHC05-MO/I0016","KEMAS_2","FILLING-PACKING_INLINE","1","2023-04-05 06:29:00+07","2023-04-03","2023-04-09","MAKE OVER Color Hypnose Creamy Lipmatte 05 Scandal 4.3 g","Next Process","(not set)","L-CHC05-MO","DJ04A",""
"61","MO-FW-PCSAC-BULK/I0158","FW-PCSAC-KA/I0158","FW-PCSAC-KA/I0158","PENGOLAHAN","OLAH 2","1","2023-04-05 06:29:00+07","2023-03-27","2023-04-12","Kahf Oil and Acne Care Face Wash 100 ml","Next Process","(not set)","FW-PCSAC-KA","DJ05B",""
"62","MO-HBL-V5-BULK/I0007","HBL-V5-WL/I0007","HBL-V5-WL/I0007","KEMAS_1","FILLING","1","2023-04-05 06:29:00+07","2023-04-03","2023-04-06","Wonderly Brightening Serum Exfoliating Lotion Mode 300 ml","Next Process","(not set)","HBL-V5-WL","DJ04A",""
"63","MO-L-MLCM-BULK/I0023","L-MLCM-OMG/I0023","L-MLCM-OMG/I0023","KEMAS_2","FILLING-PACKING_INLINE","1","2023-04-05 06:28:00+07","2023-04-03","2023-04-06","OMG Oh My Glam Matte Kiss Lip Cream 13 Latte 3.5 g","Next Process","(not set)","L-MLCM-OMG","DJ03A",""
"64","(not set)","CUS-DM06-EM/BSI0001","CUS-DM06-EM/BSI0001","KEMAS_2","FILLING-PACKING_INLINE","2","2023-04-05 06:28:00+07","2023-04-03","2023-04-10","Emina Daily Matte Cushion W04 Mocca 15 g","Next Process","(not set)","CUS-DM06-EM","(not set)",""
"65","MO-FT-LFT-BULK/I0048","FT-LFT-W/I0032","FT-LFT-W/I0032","QC BULK","MASUK SPESIFIKASI","1","2023-04-05 06:27:10+07","2023-04-04","2023-04-08","Wardah Lightening Face Toner 125 ml","Next Process","Done","FT-LFT-W","DJ04A",""
"66","MO-D-NSAP-BULK/I0002","D-NSAP-W/I0002","D-NSAP-W/I0002","KEMAS_1","FILLING","1","2023-04-05 06:27:00+07","2023-04-03","2023-04-06","Wardah Anti-Perspirant Deodorant 60 ml","Next Process","(not set)","D-NSAP-W","DJ04A",""
"67","MO-TC-PC05-BULK/I0042","TC-R2E05-W/I0010","TC-R2E05-W/I0010","KEMAS_2","PRESS+FILLING+PACKING","1","2023-04-05 06:27:00+07","2023-04-03","2023-04-08","Wardah Exclusive Two Way Cake 05 Coffee Beige 12 g","Next Process","(not set)","TC-R2E05-W","DJ04A",""
"68","MO-S-USS-BULK/I0034","S-USSEC-W/I0034","S-USSEC-W/I0034","KEMAS_2","FILLING-PACKING_INLINE","2","2023-04-05 06:27:00+07","2023-04-01","2023-04-05","Wardah Hairfall Treatment Shampoo 170 ml","Next Process","(not set)","S-USSEC-W","DJ04A",""
"69","MO-L-RIPEI01-BULK/I0007","L-RIPEI01-W/I0004","L-RIPEI01-W/I0004","KEMAS_2","FILLING-PACKING_INLINE","1","2023-04-05 06:27:00+07","2023-04-01","2023-04-05","Instaperfect Everlast Intense Matte Liquid 01 EXCEPTIONAL 4.2 g","Next Process","(not set)","L-RIPEI01-W","DJ04A",""
"70","MO-B-CLCLPC-BULK/I0027","B-CLCLPC-W/I0027","B-CLCLPC-W/I0027","KEMAS_2","FILLING-PACKING_INLINE","1","2023-04-05 06:27:00+07","2023-04-03","2023-04-08","Wardah Colorfit Mattifying Powder 32N Neutral Beige 15 g","Next Process","(not set)","B-CLCLPC-W","DJ04A",""
"71","MO-L-MLCD-BULK/I0016","L-MLCD-OMG/I0016","L-MLCD-OMG/I0016","PENGOLAHAN","OLAH 2","1","2023-04-05 06:27:00+07","2023-04-03","2023-04-08","OMG OH MY GLAM Matte Kiss Lip Cream 04 Sunset 3.5 g","Next Process","(not set)","L-MLCD-OMG","DJ04A",""
